Team,Start Frame,End Frame,Start X,Start Y,End X,End Y,From,To
attack,32,98,26.90575427201185,4.28433009236041,-0.8734393034110521,-17.69723757421266,9,10
attack,98,156,-0.8734393034110521,-17.69723757421266,-34.79627511777899,-14.822375078118252,10,11
