frame,ball_x,276_x,277_x,278_x,1793_x,3570_x,5841_x,5842_x,5843_x,5845_x,6325_x,9475_x,ball_y,276_y,277_y,278_y,1793_y,3570_y,5841_y,5842_y,5843_y,5845_y,6325_y,9475_y,1793_vx,1793_vy,276_vx,276_vy,277_vx,277_vy,278_vx,278_vy,3570_vx,3570_vy,5841_vx,5841_vy,5842_vx,5842_vy,5843_vx,5843_vy,5845_vx,5845_vy,6325_vx,6325_vy,9475_vx,9475_vy
10,-5.678226405124455,-19.13988888255724,-18.74121295914976,-19.136033542670212,-12.186828301667145,-16.569066332583773,-3.816279596368574,2.3795918367347024,8.328571428571411,-2.8157830675349933,-11.63331311025247,-44.05850340136055,-17.826198238358316,8.251595817722633,-0.8991153302816534,-13.765435495380938,-23.785176869985293,-10.906194108087696,13.556299019644856,-3.3928571428571312,-14.107142857142831,-20.03662814793976,-6.952724563175237,-1.4285714285714333,-5.051691648694196,2.2774771378254144,-3.5869019130638895,-2.0276560309730995,-2.8704818703472563,-1.7728758203307486,-5.995291938136244,0.869768171926236,-4.38869422960615,-2.2933095608389054,-1.395161775329099,0.9171380647309135,-1.8542274052478864,0.2551020408163358,-1.1846452866861972,0.051020408163314615,-5.3961010443490816,2.617712224054226,-2.4994147017497426,-4.576720351103805,0.0,0.0
11,-6.015464901497909,-19.314614560735713,-18.884131892930267,-19.42653104284023,-12.436278418796807,-16.76634957945253,-3.8975726675603313,2.2868804664723053,8.269339164237124,-3.082720486003046,-11.755264213178087,-44.05850340136055,-17.666217089003222,8.156602736999318,-0.9803215464631927,-13.719978587045315,-23.669299162433433,-11.015017168485311,13.575373876172627,-3.380102040816313,-14.104591836734663,-19.90854653821726,-7.173471392378478,-1.4285714285714333,-4.992531644279327,2.3153985877006984,-3.4994154714176364,-1.908276781375857,-2.859608146800068,-1.633264920480761,-5.821125851203306,0.9065015988865505,-3.9809292371202223,-2.1746667948975733,-1.6133493193098754,0.4127496755549286,-1.8542274052478227,0.2551020408163497,-1.1846452866861055,0.051020408163334904,-5.339304778410371,2.5646797541858137,-2.4420359526878395,-4.417043388534115,0.0,0.0
12,-6.342616965885377,-19.48508846452808,-19.02653787731315,-19.70859963485865,-12.682858768247847,-16.94412618419061,-3.989462313337975,2.194169096209907,8.21010689990279,-3.3468320014003674,-11.874421726005025,-44.05850340136055,-17.507513373127992,8.067368239583127,-1.0547757325734954,-13.672750921557316,-23.551579271471198,-11.117863230259495,13.570010626866598,-3.3673469387755084,-14.102040816326491,-19.783040362994786,-7.386287043564963,-1.4285714285714333,-4.935136290707811,2.352242255907575,-3.414379983695547,-1.7931051152335415,-2.8493491588477275,-1.4982243190557538,-5.65254768817213,0.9419167419336613,-3.5907963945069605,-2.055126822428802,-1.8252808110277474,-0.07601244112141387,-1.8542274052477583,0.25510204081630783,-1.1846452866860853,0.05102040816324356,-5.282786716996407,2.5131710641849936,-2.386164150713392,-4.25841982819918,0.0,0.0
13,-6.660277576745595,-19.651433141630527,-19.16846164907818,-19.982518714920616,-12.926657582562495,-17.103277754291668,-4.091635731088395,2.1014577259475025,8.150874635568496,-3.6081315239532685,-11.990860996087571,-44.05850340136055,-17.350106748271187,7.983681946301299,-1.1227064035337824,-13.623818413112629,-23.43207108618208,-11.214687433083881,13.540990585351729,-3.354591836734694,-14.099489795918338,-19.660033433278972,-7.591224186846446,-1.4285714285714333,-4.879505587979544,2.3880081424462465,-3.3317954498975713,-1.6821410325460306,-2.8397049064904976,-1.3677540160556434,-5.489557449042763,0.9760136010675627,-3.218295701766271,-1.934689643432534,-2.0309562504831145,-0.5491482852980463,-1.8542274052477352,0.2551020408162799,-1.1846452866861132,0.05102040816324354,-5.226546860107533,2.4631861540521722,-2.3317992958265115,-4.100849670098895,0.0,0.0
14,-6.9690417125373765,-19.81377113973931,-19.309933945005106,-20.2485676792212,-13.1677630942829,-17.24468589724933,-4.203780118198477,2.0087463556851275,8.091642371234187,-3.86663296388796,-12.104657370780199,-44.05850340136055,-17.194016871971428,7.9053334779811335,-1.1843420742653128,-13.573246975906873,-23.310828495649385,-11.305444916632059,13.489095065253016,-3.3418367346938513,-14.096938775510164,-19.53944956007636,-7.788335492334635,-1.4285714285714333,-4.825639536094609,2.4226962473166824,-3.251661870023809,-1.575384533313362,-2.8306753897281247,-1.24185401148057,-5.332155133815184,1.00879217628826,-2.8634271588981504,-1.8133552579089032,-2.2303756376758743,-1.0066578569749747,-1.854227405247799,0.2551020408162799,-1.1846452866861155,0.051020408163263836,-5.170585207743466,2.414725023787137,-2.278941388027294,-3.9443329142332635,0.0,0.0
15,-7.269504351719461,-19.972225006550598,-19.450985501873625,-20.507025923955474,-13.406263535951226,-17.369232220557194,-4.32558267205502,1.91603498542276,8.0324101068999,-4.122350231430653,-12.21588619743721,-44.05850340136055,-17.039263401767258,7.83211245544983,-1.2399112596893462,-13.521102524135767,-23.18790538895665,-11.3900908205777,13.415105380195431,-3.3290816326530663,-14.094387755102012,-19.421212554393673,-7.977673630141293,-1.4285714285714333,-4.77353813505307,2.456306570518762,-3.173979244074242,-1.472835617535466,-2.8222606085608346,-1.120524305330463,-5.180340742489236,1.0402524675959108,-2.5261907659026606,-1.691123665857732,-2.4235389726059444,-1.4485411561521844,-1.8542274052477798,0.2551020408162952,-1.1846452866860955,0.051020408163253705,-5.114901759904151,2.367787673389858,-2.2275904273156146,-3.7888695606023677,0.0,0.0
16,-7.562260472750741,-20.126917289760613,-19.59164705646357,-20.758172845318565,-13.64224714010962,-17.47779833170891,-4.456730590044946,1.823323615160355,7.973177842565581,-4.375297236807681,-12.32462282341302,-44.05850340136055,-16.88586599519722,7.763808499534694,-1.2896424747270983,-13.467450971994934,-23.063355655187195,-11.468580284594402,13.31980284380397,-3.3163265306122476,-14.091836734693851,-19.30524622723743,-8.159291270378125,-1.4285714285714333,-4.72320138485481,2.488839112052535,-3.098747572048798,-1.374494285212405,-2.814460562988523,-1.0037648976052116,-5.034114275065197,1.070394474990317,-2.2065865227797694,-1.567994867279212,-2.6104462552734082,-1.8747981828298061,-1.8542274052478216,0.2551020408163903,-1.184645286686027,0.05102040816327401,-5.059496516589843,2.322374102860445,-2.1777464136914357,-3.6344596092060804,0.0,0.0
17,-7.847905054089942,-20.277970537065574,-19.731949345554604,-21.002287839505527,-13.875802139300259,-17.571265838198126,-4.59691106955513,1.7306122448979726,7.913945578231271,-4.625487890245207,-12.430942596062023,-44.05850340136055,-16.733844309799956,7.700211231062956,-1.333764234299853,-13.412358233680047,-22.937233183424453,-11.540868448355813,13.203968769703614,-3.3035714285714333,-14.089285714285689,-19.19147438961426,-8.33324108315688,-1.4285714285714333,-4.674629285499872,2.520293871918053,-3.0259668539475775,-1.2803605363440773,-2.8072752530111598,-0.8915757883049683,-4.893475731542856,1.0992181984715799,-1.9046144295295264,-1.4439688621731253,-2.7910974856781987,-2.285428937007694,-1.854227405247715,0.2551020408163218,-1.184645286686093,0.05102040816329431,-5.00436947780032,2.278484312198878,-2.129409347154971,-3.4811030600444774,0.0,0.0
18,-8.1270330741959,-20.425507296161697,-19.87192310592656,-21.239650302711464,-14.107016766065382,-17.65051634751846,-4.745811307972412,1.6379008746355823,7.8547133138969905,-4.872936101969499,-12.534920862738552,-44.05850340136055,-16.58321800311396,7.641110270861905,-1.3725050533288548,-13.355890223386746,-22.809591862751866,-11.606910451535517,13.068384471519362,-3.2908163265306096,-14.086734693877524,-19.07982085253081,-8.499575738589307,-1.4285714285714333,-4.62782183698826,2.550670850115182,-2.9556370897704802,-1.1904343709306937,-2.8007046786287146,-0.7839569774297337,-4.758425111922274,1.1267236380396082,-1.6202744861518223,-1.319045650539716,-2.965492663820254,-2.680433418685933,-1.8542274052478438,0.25510204081627996,-1.184645286686116,0.05102040816321818,-4.949520643535671,2.236118301404894,-2.0825792277059105,-3.32879991311765,0.0,0.0
19,-8.40023951152734,-20.56965011474516,-20.011599074359133,-21.47053963113147,-14.33597925294703,-17.716431467163527,-4.903118502683668,1.5451895043731696,7.795481049562681,-5.117655782206812,-12.636632970797027,-44.05850340136055,-16.434006732677858,7.586295239758785,-1.4060934467353194,-13.298112855310706,-22.68048558225281,-11.666661433807219,12.913831262876165,-3.2780612244897718,-14.084183673469346,-18.97020942699363,-8.65834790678709,-1.4285714285714333,-4.582779039319904,2.579970046644177,-2.887758279517577,-1.1047157889720258,-2.794748839841411,-0.6809084649793543,-4.628962416203532,1.1529107936944827,-1.3535666926467878,-1.1932252323787242,-3.133631789699851,-3.0598116278644016,-1.8542274052478431,0.25510204081639026,-1.184645286686095,0.0510204081632943,-4.894950013795962,2.19527607047901,-2.0372560553444727,-3.177550168425423,0.0,0.0
