frame,ball_x,15_x,1779_x,3969_x,5047_x,6593_x,6594_x,10286_x,17595_x,ball_y,15_y,1779_y,3969_y,5047_y,6593_y,6594_y,10286_y,17595_y,stretch_index,Time [s],10286_vx,10286_vy,10286_speed,15_vx,15_vy,15_speed,17595_vx,17595_vy,17595_speed,1779_vx,1779_vy,1779_speed,3969_vx,3969_vy,3969_speed,5047_vx,5047_vy,5047_speed,6593_vx,6593_vy,6593_speed,6594_vx,6594_vy,6594_speed
10,37.79879360311667,28.778406778534574,36.71410949373964,39.72403489048628,37.572316861771036,39.08936047703013,38.89618028227174,39.59104992863462,41.29460434045693,-4.401640715338224,-0.4540233000009539,-4.39881724706589,5.52118266514715,8.598953197524033,-3.4433528810181206,-11.427294108028642,-4.948686251148729,13.044026885603131,26.997639727400333,0.5,-3.755390213567762,0.5670423664652954,3.7979590178840903,-1.554779734620766,-3.616433209098314,3.936486908279583,-1.1785732676685257,-2.3962991481949354,2.670446508526737,-2.0876916616442185,-3.7337965340645884,4.27781404830686,-2.309497365253199,-0.8659546781081291,2.4665067574707398,-2.590542824846429,-1.8924250689951045,3.2081435081873195,-2.245277334739504,-1.0869058614876348,2.4945209282808407,-1.7919584430476985,-0.9578682815977654,2.0319022384211767
11,37.77441595931946,28.706603123408783,36.60221752690044,39.609619378677095,37.44478924364673,38.98927332766534,38.80873467460258,39.409618714122885,41.23301958394734,-4.485264395568846,-0.6190887626091817,-4.572937883707154,5.478545934290454,8.509027103438761,-3.487216822300555,-11.467385022443844,-4.927363992941835,12.927921561418701,26.974181341542522,0.55,-3.6314532250167977,0.44112458721895914,3.658147540345249,-1.474577633997772,-3.3455430381669076,3.656095925835854,-1.2278063124567289,-2.3282545026994272,2.6321621094166576,-2.2234555316005755,-3.4957230395403176,4.142925786226226,-2.292892244134248,-0.8536195837713045,2.446634675837176,-2.552078105739618,-1.8026561805370531,3.12452747835956,-2.026102556068687,-0.9004759826598437,2.2171938487771605,-1.7520058507689584,-0.8163090334691501,1.9328437441376372
12,37.74917195493421,28.63784696002717,36.48389696169305,39.49591957272512,37.31914671789645,38.89953592801481,38.72320935411272,39.234313625669095,41.16907039564167,-4.558710596023938,-0.7717155613208883,-4.7354876032900926,5.436503833984638,8.423486096305588,-3.522339198566849,-11.50076024308175,-4.911970638120246,12.815064769033768,26.9487162927609,0.6000000000000001,-3.5089307038565614,0.322546519513135,3.5237240161109864,-1.4136277991161603,-3.0967697602366373,3.4041631133584183,-1.2750949483771836,-2.2632838667092465,2.597753065378496,-2.3520274989651972,-3.2643046983735173,4.023396391074574,-2.2785781269903436,-0.8417269727532047,2.4290785449340864,-2.5143762582594724,-1.7149544414948537,3.0435434454763137,-1.8191075617845542,-0.7256446823378669,1.9584975175748807,-1.7136001071829656,-0.6819951579232354,1.844327173461425
13,37.723123097264676,28.571175675102488,36.35950739324696,39.382820922431534,37.19535114093882,38.819539288859154,38.63952697836751,39.06506393990381,41.102853995983374,-4.622462123575798,-0.913009540786156,-4.88679916348255,5.395034240063811,8.342226818653733,-3.549299938742372,-11.527782038571491,-4.902139201106898,12.705302807973089,26.921299072717638,0.65,-3.3878226500873145,0.21130816334786365,3.3944061996676362,-1.371930229976042,-2.870113375307585,3.1811544041497912,-1.3204391754297868,-2.2013872402243955,2.5670343584440927,-2.4734075637379602,-3.039541510564172,3.918744387019761,-2.266555013821565,-0.8302768450535348,2.4138416000458123,-2.47743728240595,-1.629319851868343,2.9651945413323655,-1.6242923518872283,-0.5624119605215379,1.7189045516656891,-1.676741212289414,-0.5549266549598844,1.7661836499568047
14,37.696330893614714,28.50562665534777,36.229408416691804,39.27020887759764,37.073364369192525,38.74867442097897,38.55761020493235,38.90179893345746,41.03446760541591,-4.677001785096652,-1.0440765456550238,-5.027205321952419,5.354115028362056,8.26514591301245,-3.5686789717523406,-11.548812677542173,-4.897502696324796,12.598481977761372,26.89198529736923,0.7000000000000001,-3.2681290637085514,0.10740951872301806,3.269893634626185,-1.3494849265772448,-2.665573883379694,2.9877070965566714,-1.363838993614438,-2.142564623244972,2.539811009757244,-2.5875957259190066,-2.8214334761123143,3.828333645454838,-2.256822904627771,-0.8192692006725313,2.400927247132478,-2.441261178179416,-1.5457524116575825,2.889482074391738,-1.4416569263765866,-0.41077781721100765,1.4990373939572779,-1.6414291660887308,-0.4351035245792442,1.6981180125032616
15,37.6688568512882,28.44023728747593,36.093959627157204,39.1579688880247,36.95314825907622,38.68633233515502,38.47738169137257,38.74444788296052,40.96400844438252,-4.722812387458823,-1.1660224205775547,-5.157038836367576,5.313724074713405,8.192140021910879,-3.581056226522078,-11.564214428622966,-4.897694138196903,12.494448577923372,26.860831462805976,0.75,-3.1498499447208212,0.010850585638765745,3.149868633684025,-1.346291888919597,-2.4831512844529966,2.8246313302183816,-1.4052944029314625,-2.0868160157708817,2.5158802520367205,-2.694591985508217,-2.609980595017929,3.7513763707118564,-2.249381799409207,-0.8087040396101384,2.3903390351988056,-2.405847945579568,-1.4642521208626058,2.816405263931323,-1.2712012852526908,-0.2707422524061113,1.2997130740536649,-1.607663968580673,-0.32252576678117806,1.6396970165583475
16,37.640762477588886,28.37404495819987,35.95352061977275,39.04598640351389,36.83466466700858,38.63190404216791,38.39876409525358,38.59294006504338,40.891573733326716,-4.760376737534568,-1.2799530102038164,-5.27663246439587,5.27383925495196,8.123105787878288,-3.587011631976853,-11.574349560442984,-4.902346541146191,12.393048907983804,26.827894746511,0.8,-3.0329852931237156,-0.07836863590490592,3.0339975991088632,-1.3623511170038378,-2.322845578527515,2.6928817552366517,-1.4448054033804731,-2.0341414178021315,2.4950338597412816,-2.7943963425058724,-2.405182867280966,3.6869439301502926,-2.244231698165688,-0.7985813618662542,2.382080625539742,-2.3711975846064854,-1.3848189794833208,2.745960959515058,-1.112925428515642,-0.14230526610698577,1.1219865410059542,-1.5754456197652797,-0.21719338156565526,1.5903464609428761
17,37.6121092798207,28.30608705423254,35.80845098966799,38.93414687386656,36.71787544940824,38.58478055279832,38.32168007414069,38.447204756336625,40.817260692691875,-4.790177642196195,-1.3869741591838474,-5.3863189637052,5.234438444911764,8.057939853443878,-3.5871251170419733,-11.579580341631377,-4.9110929195956725,12.29412926746739,26.79323285440718,0.8500000000000001,-2.9175351089173365,-0.1602481459081621,2.921932678901466,-1.3976626108290344,-2.1846567656031564,2.593489147308135,-1.4823719949615923,-1.9845408293387172,2.4770605634014715,-2.887008796911589,-2.2070402929015387,3.6339849542803297,-2.2413726008973356,-0.7889011674409551,2.3761557583717,-2.337310095260047,-1.3074529875197651,2.6781433486613238,-0.9668293561655209,-0.025466858313563656,0.9671647040787824,-1.544774119642694,-0.11910636893274677,1.549359031289457
18,37.58295876528739,28.235400962286924,35.65911033197256,38.82233574888387,36.60274246269388,38.544352877826896,38.24605228559935,38.3071712334706,40.74116654292133,-4.812697908315923,-1.4881917121677306,-5.486431091963429,5.195499520426906,7.996538861136849,-3.581976610642694,-11.580269040817257,-4.923566287968267,12.197535955898893,26.756903914345635,0.9,-2.8034993921018065,-0.23478794437088318,2.8133137436725937,-1.4522263703956841,-2.068584845680029,2.5274502358404,-1.5179941776752264,-1.938014250380726,2.461748475806303,-2.972429348725488,-2.0155528718795477,3.591349274646859,-2.2408045076039484,-0.7796634563342991,2.372568217447355,-2.3041854775405772,-1.2321541449720184,2.6129436564688153,-0.8329130682018007,0.07977297097415455,0.8367245102657032,-1.5156494682125907,-0.02826472888260517,1.5159129940045755
19,37.55337244129285,28.161024069075825,35.50585824181599,38.71043847836713,36.48922756328418,38.51001202803433,38.17180338719487,38.172768773075795,40.6633885044585,-4.828420342766062,-1.5847115138055186,-5.5773016068384305,5.157000357331449,7.938799453486426,-3.572146041704294,-11.57677792662973,-4.939399660686963,12.103115272803022,26.71896641695605,0.9500000000000001,-2.690878142677023,-0.3019880312930871,2.7077706604846026,-1.526042395703827,-1.9746298187579945,2.49558977290213,-1.5516719515205828,-1.8945616809280956,2.4488874633140627,-3.0506579979477104,-1.830720604214948,3.557815643219794,-2.2425274182858086,-0.7708682285461951,2.3713217933350093,-2.2718237314477507,-1.158922451839902,2.550349841913417,-0.7111765646251096,0.1734142217561578,0.732014069795975,-1.4880716654753958,0.05533153858501853,1.4891000170414692
