frame,ball_x,894_x,1778_x,12666_x,12667_x,15145_x,23197_x,29595_x,38288_x,52137_x,ball_y,894_y,1778_y,12666_y,12667_y,15145_y,23197_y,29595_y,38288_y,52137_y,12666_vx,12666_vy,12667_vx,12667_vy,15145_vx,15145_vy,1778_vx,1778_vy,23197_vx,23197_vy,29595_vx,29595_vy,38288_vx,38288_vy,52137_vx,52137_vy,894_vx,894_vy,Time [s]
0,37.98138860190103,12.88213814775295,37.98138860190103,28.233046486989032,37.53718708212106,28.125000705402215,34.23115999247264,40.61510540361671,44.878649948151775,-48.89924393824884,-2.8994250134774755,9.557288286828774,-2.8994250134774755,8.547868735826292,24.040308072697993,-6.244902677833334,-15.117679025223547,3.499541608993072,-6.690234782121161,-1.1564677499909766,,,,,,,,,,,,,,,,,,,0.0
1,37.96905746569544,12.94114006883838,37.96905746569544,28.179236643386204,37.311016702978755,28.267012794665888,34.30994318084318,40.658971100334654,44.8294635128503,-48.89924393824884,-3.111377869438513,9.570264236501599,-3.111377869438513,8.534477495094114,23.98340269364254,-5.959303760140609,-14.79287463243937,3.5107649115551283,-6.7083134795849455,-1.1564677499909766,,,,,,,,,,,,,,,,,,,0.05
2,37.95524489586338,12.98908453556292,37.95524489586338,28.124833113023055,37.08856190715904,28.383447807228972,34.360473223565926,40.69829061344748,44.78095063866179,-48.89924393824884,-3.3083251769012785,9.578875552019042,-3.3083251769012785,8.520074312424583,23.922961035761652,-5.728760064291645,-14.494891306546368,3.520211460137272,-6.7288690002041065,-1.1564677499909766,,,,,,,,,,,,,,,,,,,0.1
3,37.94001239970883,13.026241852093065,37.94001239970883,28.069863296827013,36.86965120620083,28.475712463573547,34.384283943048686,40.733053420378106,44.732978628871116,-48.89924393824884,-3.4907497427380054,9.583229682283887,-3.4907497427380054,8.504705892830195,23.859146311924203,-5.550199940856118,-14.22213595460848,3.527969169665612,-6.751749118940668,-1.1564677499909766,,,,,,,,,,,,,,,,,,,0.15000000000000002
4,37.92342148453548,13.052882322595451,37.92342148453548,28.014354595725315,36.65411311164313,28.545213484181666,34.38290916169925,40.763248998549074,44.6854147867632,-48.89924393824884,-3.6591343738210433,9.583434076198884,-3.6591343738210433,8.488418941323424,23.792121734999057,-5.420551740403687,-13.973015483689629,3.5341259550662683,-6.7768016107566424,-1.1564677499909766,-1.1090779849364296,-0.3238708296356053,-4.317621429595155,-1.3339630237483084,1.4462892314467979,2.715829986261544,-0.32935801131316106,-3.387004896551379,0.033857269323322337,5.046133135819599,0.6034906603294944,0.12665230505805955,-0.9565847107636215,-0.49496083479997305,0.0,0.0,0.5436215767092227,0.008385834410639906,0.2
5,37.90553365764728,13.069276251236555,37.90553365764728,27.958334410645588,36.441776135024924,28.593357589535504,34.35788270192541,40.78886682538317,44.638126415622835,-48.89924393824884,-3.8139618770226,9.579596182666796,-3.8139618770226,8.471260162916785,23.722050517855077,-5.336743813504049,-13.745936800853768,3.53876973126537,-6.803874250614046,-1.1564677499909766,-1.1193076644991808,-0.3413073676331432,-4.253599070805924,-1.3948958281249952,1.0191509263603291,1.7990245152059101,-0.35529624561135614,-3.1158623389222466,-0.4391762991643791,4.6052973741602035,0.5119356335930344,0.09639212102694725,-0.951075291411578,-0.5353637956284273,0.0,0.0,0.33869073948400186,-0.07245991453087036,0.25
6,37.88641042634797,13.07569394218295,37.88641042634797,27.9018301425151,36.23246878788516,28.62155150011713,34.310738386135014,40.809896378303286,44.590980818735034,-48.89924393824884,-3.9557150592149815,9.571823450590419,-3.9557150592149815,8.453276262622756,23.649095873361134,-5.295704510726857,-13.539306813164789,3.5419884131890473,-6.832814813474856,-1.1564677499909766,-1.128989325513814,-0.3578098053808126,-4.193006481237395,-1.4525643751243473,0.6201470309157537,0.9436520327567492,-0.380004333832602,-2.8543759187386843,-0.8815334194961468,4.196323471222121,0.4201701553116216,0.06789023551823473,-0.9482198063620777,-0.5727222556971486,0.0,0.0,0.13916598558972323,-0.1511566854169593,0.30000000000000004
7,37.866113297941425,13.072405699601179,37.866113297941425,27.84486919226128,36.02601958176275,28.631201936408594,34.243010036735804,40.82632713473203,44.54384529938451,-48.89924393824884,-4.0848767272704585,9.560223328872498,-4.0848767272704585,8.43451394545383,23.573421014386085,-5.294362182641794,-13.351532427686687,3.543869915763393,-6.8634710743011516,-1.1564677499909766,-1.1381229679807143,-0.37337814287868965,-4.135843660889569,-1.5069686647463447,0.24927754511300074,0.14971253891412206,-0.40348227597758884,-2.6025456360006243,-1.2932140916717978,3.81921142700552,0.3281942254848908,0.04114664853201713,-0.9480182556150599,-0.6070362150060987,0.0,0.0,-0.05495268497341503,-0.2277044782478147,0.35000000000000003
8,37.84470377973147,13.05968182765778,37.84470377973147,27.78747896081149,35.82225702819668,28.623715618892003,34.156231476135645,40.838148572092216,44.49658716085625,-48.89924393824884,-4.201929688061299,9.544903266415794,-4.201929688061299,8.415019916422514,23.49518915379879,-5.329645179818541,-13.181020551483298,3.54450215391456,-6.895690808054895,-1.1564677499909766,-1.1467085918991717,-0.38801238012667777,-4.08211060976287,-1.5581086969910578,-0.09345753104776724,-0.5827939663219589,-0.4257300720457684,-2.3603714907080073,-1.6742183156914334,3.473961241510278,0.23600784411332906,0.01616136006821454,-0.9504706391706056,-0.6383056735552879,0.0,0.0,-0.24366527220582407,-0.302103293023269,0.4
9,37.82224337902197,13.037792630519323,37.82224337902197,27.72968684909322,35.62100963872595,28.600499268049486,34.051936526742274,40.84535016780655,44.449073706435065,-48.89924393824884,-4.307356748459818,9.525970712123106,-4.307356748459818,8.394840880541299,23.41456350446813,-5.398481852826783,-13.026178091618625,3.543973042568654,-6.9293217896981085,-1.1564677499909766,-1.1547461972700084,-0.4017125171247773,-4.031807327856913,-1.6059844718584055,-0.40805819756675366,-1.2538674829515217,-0.4467477220373438,-2.1278534828609663,-2.02454609155481,3.1605729147365627,0.1436110111971597,-0.007065629873123561,-0.9555769570285525,-0.6665306313447009,0.0,0.0,-0.4269717761071131,-0.37435312974339835,0.45
