frame,ball_x,262_x,263_x,264_x,2749_x,2750_x,2751_x,2752_x,2753_x,2754_x,3271_x,11156_x,ball_y,262_y,263_y,264_y,2749_y,2750_y,2751_y,2752_y,2753_y,2754_y,3271_y,11156_y,stretch_index,Time [s],11156_vx,11156_vy,11156_speed,262_vx,262_vy,262_speed,263_vx,263_vy,263_speed,264_vx,264_vy,264_speed,2749_vx,2749_vy,2749_speed,2750_vx,2750_vy,2750_speed,2751_vx,2751_vy,2751_speed,2752_vx,2752_vy,2752_speed,2753_vx,2753_vy,2753_speed,2754_vx,2754_vy,2754_speed,3271_vx,3271_vy,3271_speed
10,6.936867051322103,-8.820395622123481,-10.34585667918402,-10.292349701156773,8.307714662569595,13.314561229321267,13.413832521645011,5.400186736626477,-1.0582318917026292,5.49577143634767,-10.606704256702088,-42.15800476709763,14.04032546120621,24.03607017398033,1.873726599285576,-6.939267767674203,27.49563717532467,18.717849533279225,10.612177861201301,19.77119267451298,9.051811809874673,-7.321683175266048,15.49719517683292,-0.11066252351390148,18.267479814881384,0.5,-0.7748084461108615,0.2906108393288532,0.8275160349504705,1.8129980525533387,0.20130881764752118,1.8241401203374814,0.28020322393105956,0.40710872348225957,0.4942179270693389,-0.061982087059528256,0.35740730735803083,0.3627420053828518,2.105755481794989,0.7024882305195288,2.2198414049494852,0.4057610462082753,-1.0973977780032331,1.1700102178128478,-0.6869397765924694,-1.3649702211850465,1.528080482627426,0.5140135001159507,-0.8481168323863589,0.9917217551705325,0.34351875452173186,-3.875350595066074,3.890545896064861,1.709518976368738,-2.040249235746298,2.661779869660181,-0.5932543535744069,-0.38733957929879737,0.7085073589782654
11,6.421150996588502,-8.739432751977063,-10.337550908099285,-10.302837462326277,8.410445959644282,13.333530072190326,13.379825099914978,5.4221975147037895,-1.0460656751800346,5.569579715476293,-10.633505449593127,-42.20065114349193,13.08046017011874,24.04123579027055,1.891841652284081,-6.925103642350212,27.52758712797618,18.663401181175598,10.543733138020837,19.727635425967264,8.866729535247009,-7.423344852026174,15.48120208339535,-0.09796822723893656,18.26259651778205,0.55,-0.8494810978078451,0.25550614228565993,0.8870747005064014,1.622556187450164,0.10377628523898919,1.6258714890208315,0.16725130598159818,0.36079300412553084,0.39767397598846654,-0.2052811974789696,0.2839821882154223,0.35040869461532953,2.055367720250969,0.6401208062770535,2.152740372659567,0.37982456726070823,-1.0891101021374536,1.1534415964723306,-0.6802983882188888,-1.3688078158820207,1.528542028808147,0.4413969584235236,-0.8707226900703496,0.9762116972813243,0.24188006605800957,-3.713199262509253,3.7210690304609355,1.4803566592925825,-2.033276404624927,2.515088224360403,-0.5461776946887044,-0.3303731719724467,0.6383231994331738
12,5.9117406403407085,-8.667909505472783,-10.334864335804852,-10.320378328368998,8.510676413110708,13.351213283858979,13.346145998763134,5.44060700061843,-1.0390174996904573,5.632034655669138,-10.658206655461585,-42.24694499171913,12.132331223201756,24.041536378926196,1.9076032179186342,-6.9145932809399255,27.556446753246753,18.609363636363643,10.475098701298707,19.68295844155844,8.689465982998286,-7.524658958965779,15.467794527743571,-0.08698866039648777,18.260190487024758,0.6000000000000001,-0.9224305344656615,0.22121155363575112,0.9485845467730057,1.4337637146079323,0.006475732547985155,1.4337783386696736,0.05486733017540193,0.3137232568465529,0.31848501661300294,-0.34634329494259936,0.21090690994044128,0.40550635335629676,2.005350848085458,0.5783142586579665,2.087074365154289,0.3541119432526989,-1.0808939563041418,1.1374212118336031,-0.6737319766543237,-1.3726020867153872,1.5290360573975936,0.36937111516961757,-0.8931174073322878,0.9664852425161983,0.13951924539695953,-3.5568248149304336,3.5595601391100344,1.2532898805763664,-2.0263250082146227,2.3825886266141527,-0.5041779542371165,-0.278662416256376,0.5760626283422365
13,5.408635982578776,-8.60574341299758,-10.33776856519356,-10.344860448637096,8.608424567437773,13.367622057074268,13.312791469349103,5.455444729292294,-1.0371234718437932,5.6832410338441655,-10.68106172022916,-42.29680015102727,11.195938620455287,24.03698353893317,1.920973594793138,-6.907719191400038,27.582244094967535,18.555733322341716,10.406276717228089,19.63717227830763,8.519732308879606,-7.625626567820439,15.456709727297083,-0.07768331756685712,18.260171946552088,0.65,-0.9936567560843506,0.1877270733790575,1.0112344945617413,1.2466206340268824,-0.09059284042556165,1.2499080237833333,-0.056948703487640695,0.2658994816453657,0.2719295665575875,-0.48516837945046776,0.13818147253314852,0.5044625613165187,1.9557048652982947,0.5170685876623182,2.0229042104109936,0.32862317418454157,-1.0727493405032562,1.121955586536871,-0.667240541898596,-1.3763530336850085,1.5295612488838288,0.29793597035404973,-0.9153009841721422,0.9625703787553933,0.03643629253864534,-3.4062272523295376,3.4064221256218956,1.0283186402199411,-2.019395046515306,2.2661411208736193,-0.4672551322196076,-0.23220731215092522,0.5217735087199429
14,4.911837023302636,-8.55285200493833,-10.346235199158244,-10.376171972482812,8.703708967094402,13.382767584583089,13.279757762832398,5.466740235647274,-1.040419698249909,5.723303626919336,-10.702324489817542,-42.35013046066438,10.271282361879296,24.02758886927735,1.9319150815114552,-6.904463881687138,27.605007196969698,18.502506662608226,10.33726935200218,19.59028749323593,8.357239668642075,-7.72624875032568,15.447684899475313,-0.07001169333039485,18.26245597902408,0.7000000000000001,-1.063159762663872,0.15505270151580003,1.0744068229468986,1.061126945706801,-0.1874294336815296,1.077552869939672,-0.1681967950071846,0.21732167852179154,0.2748069755414112,-0.6217564510025648,0.06580587599338675,0.6252291561328229,1.906429771889795,0.4563837932900886,1.9602960597638373,0.30335826005595223,-1.064676254734879,1.107050929876518,-0.6608240839517976,-1.3800606567911085,1.53011629830985,0.22709152397702825,-0.9372734205898221,0.9643920495350191,-0.06736879251686517,-3.2614065747066223,3.2621022975597747,0.8054429382236499,-2.012486519527078,2.167680861661273,-0.4354092286361016,-0.19100785965593198,0.4754631414019652
15,4.4213437625123255,-8.509152811682037,-10.360235840591741,-10.414201049258335,8.796548156549552,13.396661059132455,13.247041130372589,5.474523054605381,-1.0489422855186712,5.752327211812694,-10.722248810148468,-42.406849759878504,9.358362447473814,24.013363968944592,1.9403899766774786,-6.904809859757841,27.624764103084424,18.44968008066152,10.268078771814126,19.54231464336444,8.201699218036783,-7.826526578217093,15.440457261697821,-0.0639332822674271,18.266962458296916,0.75,-1.1309395542042264,0.1231884380457164,1.1376289669887094,0.8772826496478104,-0.28403404722006087,0.9221172308081499,-0.2788769443836259,0.16798984747599555,0.3255655678411896,-0.756107509599013,-0.006219879678633463,0.7561330921043187,1.8575255678597,0.39625987554116593,1.8993217537364229,0.27831720086714895,-1.0566746989989286,1.0927130839351202,-0.6544826028138979,-1.3837249560335452,1.5306999155079648,0.15683777603843652,-0.95903471658547,0.9717744983322292,-0.17189600976955438,-3.1223627820616984,3.1270909134495537,0.5846627745870616,-2.005599427249969,2.0890810473921886,-0.4086402434866646,-0.15506405877138613,0.43707174573460644
16,3.9371562002078764,-8.474563363615648,-10.37974209238693,-10.45883582831588,8.886960680272075,13.40931367346939,13.214637823129237,5.478822721088436,-1.0627273402599462,5.770416565442211,-10.74108852714365,-42.46687188791769,8.457178877238848,23.994320436920788,1.9463605788951002,-6.908739633568739,27.641542857142852,18.397250000000003,10.198707142857154,19.493264285714275,8.052822112814845,-7.926461123230157,15.434764031383985,-0.059407578958328315,18.273615956921763,0.8,-1.196996130705433,0.09213428296902747,1.2005367395552686,0.6950877458500063,-0.38040668104113495,0.7923737864237904,-0.38898915161656833,0.11790398850785322,0.4064651406719124,-0.8882215552395627,-0.07789579448315054,0.8916306892376175,1.8089922532080647,0.33669683441559073,1.8400591649379838,0.25349999661804545,-1.0487446732954555,1.078947467697543,-0.648216098484846,-1.387345931412354,1.5313108253197087,0.08717472653829467,-0.9805848721590849,0.9844521951086682,-0.2771453592195051,-2.9890958743947236,3.001916670472461,0.36597814931043476,-1.998733769684013,2.031963751607778,-0.386948176771078,-0.1243759094973131,0.40644588615182864
17,3.4592743363892424,-8.4490011911261,-10.404725557436535,-10.509964459007671,8.974965082731023,13.42073662034085,13.182544092261882,5.479668770018437,-1.081810969083532,5.777676464725948,-10.759097486724723,-42.530110684029985,7.567731651174381,23.970469872191796,1.9497891867682031,-6.916235711076518,27.6553715029762,18.345212844122017,10.129156631324413,19.443146977306544,7.910319508727355,-8.026053457100526,15.430342425953343,-0.056394077983371454,18.28234563225212,0.8500000000000001,-1.2613294921674318,0.06189023628563663,1.2628469777288314,0.5145422343132923,-0.4765473351447014,0.7013209490138101,-0.4985334167063575,0.06706410161744698,0.5030240166221389,-1.0180985879243465,-0.14922186841995919,1.028976141972345,1.7608298279349757,0.27769466991342384,1.7825924976404006,0.2289066473084641,-1.0408861776244294,1.0657590196435573,-0.6420245709647939,-1.390923582927494,1.5319477677996678,0.018102375476627994,-1.0019238873105862,1.0020874073460124,-0.3831168408666987,-2.861605851705757,2.887138126981858,0.14938906239360134,-1.9918895468290618,1.997483681718007,-0.3703330284896618,-0.09894341183380917,0.3833227761764743
18,2.987698171056416,-8.432383824600329,-10.435157838633554,-10.567475090685932,9.060579908395177,13.430941092493828,13.150756188930114,5.477090736317242,-1.1062292785993786,5.774211686581765,-10.77652953481346,-42.59647998746341,6.690020769280406,23.94182387374353,1.9506380989006795,-6.927280600237734,27.666278084415588,18.293565036525973,10.059429403409096,19.39197327516235,7.773902561525414,-8.125304651563663,15.426929662825366,-0.05485227392293581,18.293085094706626,0.9,-1.3239396385903033,0.0324562979955163,1.3243374109003327,0.33564611503756225,-0.5724560095307801,0.663599425397365,-0.6075097396528406,0.015470186804764339,0.6077066812639438,-1.1457386076533587,-0.2201981014891225,1.166706544494746,1.7130382920404177,0.21925338203459435,1.7270125174793491,0.20453715293874508,-1.0330992119859215,1.0531521394073222,-0.6359080202535695,-1.3944579105790362,1.5326094984043606,-0.05037927714638811,-1.0230517620400446,1.0242914523606221,-0.48981045471121976,-2.739892713994738,2.783330085661035,-0.06510448616318389,-1.9850667586852286,1.986134091786265,-0.35879479864234,-0.07876656578064102,0.36733891628532
19,2.522427704209397,-8.424628794425281,-10.471010538870651,-10.631255872702845,9.143823701733531,13.439938282675294,13.119270364293438,5.471118154906833,-1.1360183754172841,5.76012700792779,-10.793638517331463,-42.665893637466034,5.824046231556938,23.9083940405618,1.9488696138963828,-6.941856809009028,27.67429064529221,18.242303000710233,9.989527625304383,19.33975373630276,7.643282426960132,-8.224215778355184,15.424262959419512,-0.05474166135732816,18.30577226157881,0.9500000000000001,-1.3848265699740074,0.0038324680986802136,1.384831873087019,0.1583993880229377,-0.668132704199351,0.6866525151390466,-0.7159181204559772,-0.03687775593020945,0.7168672987936241,-1.271141614426635,-0.2908244936906838,1.30398615408968,1.6656176455241927,0.1613729707792036,1.6734166775730608,0.18039151350882215,-1.02538377637984,1.0411306291762743,-0.6298664463512791,-1.3979489143669146,1.5332947881665886,-0.1182702313312132,-1.043968496347379,1.0506465004866985,-0.5972262007529168,-2.623956461261658,2.6910642217276357,-0.27750249636001295,-1.9782654052524145,1.9976340128022796,-0.3523334872289852,-0.06384537133811817,0.3580713862684921
