frame,ball_x,8_x,9_x,11_x,15_x,26_x,19924_x,20000_x,ball_y,8_y,9_y,11_y,15_y,26_y,19924_y,20000_y,11_vx,11_vy,15_vx,15_vy,19924_vx,19924_vy,20000_vx,20000_vy,26_vx,26_vy,8_vx,8_vy,9_vx,9_vy,Time [s]
0,-17.67540799942294,-6.8594672257771565,-13.628571428571425,-18.58132314700554,-20.262585034013604,-14.277551020408163,1.9469387755101906,1.2258503401360694,19.45446391073517,16.00952014699223,23.42857142857143,16.059633280224418,-4.571428571428574,-24.757142857142863,26.2857142857143,4.142857142857155,,,,,,,,,,,,,,,0.0
1,-16.46893916211161,-6.911566711776087,-13.56477716255409,-18.33590422904954,-20.223592725948585,-14.209809401694587,1.8996482439365652,1.2258503401360694,18.813229707580582,15.980273186891672,23.52468007341584,16.358492014430297,-4.543337391559135,-24.718098944076342,26.094915926136803,4.142857142857155,,,,,,,,,,,,,,,0.05
2,-15.335589648273658,-6.961268047506234,-13.510560931467614,-18.12100640016049,-20.18681936474281,-14.124061908936977,1.852726240925141,1.2258503401360694,18.210858183405037,15.930378006237566,23.604777395406984,16.620109509672158,-4.5227697686784,-24.683195490445602,25.910414139816098,4.142857142857155,,,,,,,,,,,,,,,0.1
3,-14.275359457909156,-7.008758250434244,-13.465728342994579,-17.93551510482581,-20.152254370783822,-14.02167052218316,1.8061653745192219,1.2258503401360694,17.647349338208578,15.860638490245478,23.669320817937315,16.845831702337886,-4.50915610510958,-24.65199640159601,25.732082629899956,4.142857142857155,,,,,,,,,,,,,,,0.15000000000000002
4,-13.288248591018046,-7.054224338026603,-13.430085004817624,-17.77831578753298,-20.11988716445918,-13.903997221480946,1.7599582527619457,1.2258503401360694,17.12270317199118,15.771858524130906,23.71876776439929,17.037004528815398,-4.501926803175866,-24.62406558287287,25.559795099536085,4.142857142857155,3.188568566357393,3.877293985066714,0.6477673109909533,0.16736994574634068,-0.9244381134163351,-3.450802481367765,0.0,0.0,2.2989868121303605,0.5760601606491633,-0.9168024505118233,-1.743443913670052,0.7206424562364738,1.0072358649377426,0.2
5,-12.374257047600345,-7.097853327750022,-13.403436524619245,-17.648293892769484,-20.089707166156423,-13.772403986878217,1.7140974836966156,1.2258503401360694,16.636919684752847,15.664841993109402,23.753575658185362,17.194973925492587,-4.500512265200434,-24.598966939621544,25.39342525187225,4.142857142857155,2.6450201157705875,3.2132253890607787,0.6040231505530816,0.05107466658018009,-0.9175110595783144,-3.3324488273672763,0.0,0.0,2.577385490141008,0.51941665121309,-0.8800604931321284,-2.1081752118088963,0.5407452966642572,0.7144548114196931,0.25
6,-11.533384827656086,-7.139832237071065,-13.385588510082071,-17.544334865022815,-20.061703796263103,-13.628252798422805,1.6685756753663696,1.2258503401360694,16.189998876493586,15.5403927823965,23.774201922688,17.32108582875742,-4.504342893506542,-24.57626437718736,25.232846790056136,4.142857142857155,2.1237627754343125,2.5760755208129837,0.5604905823642727,-0.05382865905003699,-0.9107318448758597,-3.2166211104118294,0.0,0.0,2.828544567194799,0.4714950348701815,-0.8470588850843872,-2.4568288056371097,0.36473598344036257,0.43082222575085266,0.30000000000000004
7,-10.765631931185235,-7.180348083456295,-13.376346568888659,-17.465324148780454,-20.03586647516677,-13.472905636162537,1.6233854358144733,1.2258503401360694,15.781940747213383,15.399314777207712,23.78110398129964,17.416686174997768,-4.512849090417355,-24.555521800915656,25.07793341723558,4.142857142857155,1.6247965453485083,1.9658443803235923,0.5171696064244153,-0.1473400311442649,-0.9041004693091206,-3.103319330501516,0.0,0.0,3.052464043291937,0.43229531162064105,-0.81779762636844,-2.789404695154738,0.19261451656496265,0.15633810793106911,0.35000000000000003
8,-10.070998358187776,-7.219587884372332,-13.3755163087216,-17.410147188529834,-20.012184623255006,-13.307724480145234,1.5785193730841551,1.2258503401360694,15.412745296912258,15.242411862758559,23.774739257412733,17.48312090060157,-4.525461258256072,-24.53630311615176,24.928558836558256,4.142857142857155,1.1481214255131025,1.382531967592452,0.47406022273360027,-0.22945944970252133,-0.8976169328778199,-2.9925434876364267,0.0,0.0,3.249143918432214,0.40181748146429586,-0.7922767169846877,-3.105902880361795,0.024380896038032104,-0.10899754203957657,0.4
9,-9.449484108663746,-7.25773865728577,-13.382903337263487,-17.37768942875848,-19.990647660915315,-13.134071310418797,1.5339700952185902,1.2258503401360694,15.082412525590179,15.070487924264578,23.755565174419782,17.521735941956702,-4.541609799345913,-24.51817222824104,24.784596751171957,4.142857142857155,0.6937374159281565,0.826138282619634,0.43116243129171633,-0.30018691472489767,-0.8912812355822988,-2.8842935818164497,0.0,0.0,3.418584192615716,0.38006154440129836,-0.770496156932666,-3.406323361258251,-0.13996487814053576,-0.3651847241610741,0.45
10,-8.901089182613138,-7.294987419663198,-13.398313262196842,-17.366836313953833,-19.971245008535277,-12.953308107030981,1.4897302102610297,1.2258503401360694,14.790942433247167,14.88434684694132,23.72403915571319,17.533877235451143,-4.560725116010072,-24.500693042528784,24.645920864224426,4.142857142857155,0.2616445165937113,0.29666332540504736,0.38847623209882437,-0.35952242621130276,-0.8850933774222801,-2.778569613041394,0.0,0.0,3.560784865842496,0.36702750043149635,-0.7524559462125171,-3.69066613784422,-0.30042280597067006,-0.6122234384334746,0.5
11,-8.425813580035936,-7.3315211889712435,-13.421551691204312,-17.376473288603393,-19.95396608650242,-12.766796850029671,1.4457923262547088,1.2258503401360694,14.538335019883252,14.684792516004277,23.680618624685437,17.520890717472756,-4.582237610571749,-24.483429464360366,24.512404878863336,4.142857142857155,-0.1481572724902437,-0.20589290405124752,0.3460016251549445,-0.407465984161711,-0.879053358397891,-2.6753715813116226,0.0,0.0,3.6757459381125908,0.3627153495549301,-0.7381560848244004,-3.958931210119612,-0.4569928874524415,-0.8501136848567875,0.55
12,-8.02365730093215,-7.367526982676456,-13.452424231968433,-17.40548579719463,-19.938800315204322,-12.575899519462716,1.402149051242811,1.2258503401360694,14.324590285498383,14.472628816669014,23.625761004728986,17.48412232440946,-4.605577685354148,-24.46594539908109,24.383922498236494,4.142857142857155,-0.5356679513237698,-0.6815304057492713,0.303738610460087,-0.4440175885761529,-0.8731611785091336,-2.5746994866268733,0.0,0.0,3.7634674094258562,0.3671250917716508,-0.727596572768149,-4.211118578084389,-0.6096751225856982,-1.0788554634309122,0.6000000000000001
13,-7.694620345301778,-7.403191818245446,-13.490736492171806,-17.452759284215016,-19.925737115028515,-12.381978095377931,1.3587929932685716,1.2258503401360694,14.149708230092573,14.248659634151023,23.559923719236284,17.424917992649185,-4.630175742680498,-24.447804752036337,24.26034742549165,4.142857142857155,-0.9008875199068049,-1.130249179688911,0.2616871880141705,-0.4691772394546538,-0.8674168377558332,-2.4765533289872868,0.0,0.0,3.8239492797823864,0.3802567270817088,-0.7207774100438715,-4.447228241738575,-0.7584695113705512,-1.2984487741559594,0.65
14,-7.438702713144835,-7.438702713144835,-13.536294079497013,-17.51717919415204,-19.91476590636254,-12.18639455782313,1.3157167603752113,1.2258503401360694,14.013688853665847,14.013688853665847,23.483564191599765,17.34462365857983,-4.6554621848739535,-24.42857142857143,24.141553363776513,4.142857142857155,-1.2438159782394411,-1.5520492258703804,0.21984735781724593,-0.4829449367972644,-0.8618203361382499,-2.380933108392854,0.0,0.0,3.857191549182076,0.40211025548497237,-0.717698596651525,-4.667260201082265,-0.9033760538070772,-1.508893617031879,0.7000000000000001
15,-7.511537597359131,-7.474246684841184,-13.588902601626595,-17.597630971493153,-19.905876109593976,-11.990510886846184,1.2729129606059584,1.2258503401360694,13.679807515384534,13.768520360429022,23.397139845211914,17.244585258589325,-4.680867414257725,-24.407809334031683,24.02741401623885,4.142857142857155,-1.5644533263215772,-1.9469305442935998,0.178219119869293,-0.4853206806038278,-0.8563716736563396,-2.2878388248434334,0.0,0.0,3.8631942176250686,0.4326856769815533,-0.7183601325910185,-4.871214456115328,-1.044394749895109,-1.7101899920586816,0.75
16,-7.58350020751097,-7.510010750801125,-13.64836766624318,-17.69300006072586,-19.899057145110355,-11.795689062494962,1.2303742020040485,1.2258503401360694,13.34992475600478,13.513958039656076,23.301108103465197,17.126148729065584,-4.705821833155042,-24.38508237376244,23.917803086026407,4.142857142857155,-1.862799564153223,-2.3148931349583837,0.13680247417040298,-0.47630447087450584,-0.851070850309954,-2.197270478339125,0.0,0.0,3.841957285111367,0.47198299157120766,-0.7227620178625114,-5.059091006837894,-1.1815255996347773,-1.902337899236396,0.8
17,-7.654590543600399,-7.546181928491232,-13.714494881029319,-17.802171906337637,-19.89429843329924,-11.603291064817254,1.188093092612642,1.2258503401360694,13.024040575526607,13.250805776562526,23.19592638975203,16.99066000639651,-4.729755843889115,-24.359954453109044,23.812594276286926,4.142857142857155,-2.138854691734399,-2.6559369978649987,0.09559742072044383,-0.4558963076091668,-0.8459178660991754,-2.10922806887998,0.0,0.0,3.793480751640895,0.5200021992543519,-0.7309042524658642,-5.2308898532498045,-1.3147686030259567,-2.0853373385649734,0.8500000000000001
18,-7.7248086056273495,-7.5829472353781,-13.7870898536676,-17.924031952815945,-19.891589394548166,-11.414678873860897,1.1460622404749898,1.2258503401360694,12.702154973949996,12.979867456363912,23.082052127464898,16.839465026969997,-4.7520998487830886,-24.331989477416823,23.711661290168134,4.142857142857155,-2.392618709065094,-2.9700621330132804,0.05460395951943605,-0.4240961908078817,-0.8409127210239641,-2.0237115964659482,0.0,0.0,3.717764617213446,0.5767433000307419,-0.7427868364011456,-5.386610995351196,-1.444123760068722,-2.2591883100443613,0.9
19,-7.794154393591874,-7.620493688928335,-13.865958191840605,-18.057465644648257,-19.89091944924468,-11.231214469673738,1.104274253634327,1.2258503401360694,12.384267951274976,12.70194696427575,22.959942739996247,16.673909727174024,-4.772284250160225,-24.300751352031167,23.6148778308178,4.142857142857155,-2.6240916161454506,-3.2572685404032486,0.013822090567450526,-0.3809041204707063,-0.8360554150844032,-1.9407210610970078,0.0,0.0,3.614808881829429,0.6422062939003376,-0.7584097696684693,-5.526254433141984,-1.5695910707631298,-2.423890813674682,0.9500000000000001
20,-7.862627907493926,-7.659008306608499,-13.95090550323089,-18.201358426322056,-19.89227801777636,-11.054259832303618,1.0627217401338602,1.2258503401360694,12.070379507501519,12.417848185513591,22.830055650738544,16.495340043396435,-4.789739450343706,-24.265803982297314,23.522117601383655,4.142857142857155,-2.833273412975216,-3.5175562200350177,-0.02674818613553292,-0.3263200965975572,-0.8313459482805169,-1.8602564627732519,0.0,0.0,3.4846135454886387,0.7163911808631998,-0.7777730522675896,-5.6498201666222805,-1.6911705351090076,-2.5794448494558857,1.0
21,-7.930229147333552,-7.698678105885236,-14.041737395521066,-18.354595742324822,-19.895654520530737,-10.885176941798424,1.021397308016824,1.2258503401360694,11.760489642629631,12.128375005292929,22.69284828308424,16.305101912025183,-4.803895851656712,-24.22671127356067,23.43325430501343,4.142857142857155,-3.0201640995545316,-3.7509251719084538,-0.06710687058953463,-0.2603441191884239,-0.8267843206121965,-1.7823178014945076,0.0,0.0,3.3271786081911148,0.7992979609193587,-0.8008766841986844,-5.757308195791925,-1.8088621531066242,-2.725850417387941,1.05
