frame,ball_x,5_x,8_x,9_x,10_x,11_x,648_x,877_x,878_x,ball_y,5_y,8_y,9_y,10_y,11_y,648_y,877_y,878_y,10_vx,10_vy,11_vx,11_vy,5_vx,5_vy,648_vx,648_vy,8_vx,8_vy,877_vx,877_vy,878_vx,878_vy,9_vx,9_vy,Time [s]
0,-3.82176870748299,-4.110204081632645,-4.687074829931976,1.6585034013605435,-3.82176870748299,7.2829931972788975,-13.202748767760955,-14.493877551020411,-20.551020408163257,-26.42857142857143,-30.714285714285715,-16.571428571428577,-27.857142857142858,-26.42857142857143,-32.57142857142857,10.002159327271293,-24.714285714285722,-10.857142857142861,,,,,,,,,,,,,,,,,0.0
1,-3.624879429255113,-4.00332626584969,-4.561636892297772,1.7701468662380628,-3.5686160419029846,7.30319340029788,-12.896997410244005,-14.493877551020411,-20.551020408163257,-25.600617150558833,-30.637434428432584,-16.53071523855372,-27.57288860702505,-26.403616973244162,-32.627481776656104,10.027179362476144,-24.714285714285722,-10.857142857142861,,,,,,,,,,,,,,,,,0.05
2,-3.435500913684381,-3.8940468145114875,-4.431675967023001,1.8913409149578664,-3.3207831960998164,7.322564833326838,-12.599139471197596,-14.493877551020411,-20.551020408163257,-24.804246959445855,-30.562318885187015,-16.48893124095644,-27.29486635573,-26.382584031412783,-32.669553210336616,10.05763568344831,-24.714285714285722,-10.857142857142847,,,,,,,,,,,,,,,,,0.1
3,-3.253633160770861,-3.7824649635935574,-4.29741449612281,2.021878669807808,-3.0780085395927266,7.341422489603634,-12.308786749713306,-14.493877551020411,-20.551020408163257,-24.039460855232576,-30.48890280378217,-16.446129234278835,-27.022913334713273,-26.365279741757867,-32.698060357450444,10.09326093187139,-24.714285714285722,-10.857142857142861,,,,,,,,,,,,,,,,,0.15000000000000002
4,-3.079276170514561,-3.6686799490713344,-4.1590749216122695,2.161553253075673,-2.8400304419009164,7.360081362366054,-12.0255510448828,-14.493877551020411,-20.551020408163257,-23.30625883791896,-30.4171499034512,-16.40236187416297,-26.75686677543059,-26.351511242959923,-32.71342070297805,10.133787749428894,-24.714285714285722,-10.857142857142861,4.770027173069818,0.28308442873771306,0.38577718476172346,-0.3239063097670071,2.2717308514245254,1.4365092372931492,5.680242132945819,0.7998420184936298,2.757893809605961,0.8732409766335332,0.0,0.0,0.0,4.0602442043434316e-14,2.7852165568702523,5.327441927428598,0.2
5,-2.912429942915435,-3.5527910069203767,-4.016879685506549,2.310157787049323,-2.6065872725434964,7.378856444851961,-11.749044155797638,-14.493877551020411,-20.55102040816325,-22.604640907505008,-30.347023903427292,-16.357681816250953,-26.496563909337528,-26.34108567369948,-32.71605173189973,10.178948777804486,-24.714285714285722,-10.857142857142861,4.6793286063817865,0.2162258379876951,0.38810137923108146,-0.06931997764920894,2.313809404000178,1.4039712311526384,5.545665818038339,0.8925262348545664,2.8350070415103406,0.8914949325566822,0.0,0.0,2.0301221021717152e-14,1.262177448353619e-29,2.9638155709854432,5.212568063635874,0.25
6,-2.753094477973507,-3.434897373116113,-3.8710512298207007,2.4674853940165495,-2.3774174010396463,7.398062730299171,-11.478877881549504,-14.493877551020411,-20.55102040816325,-21.93460706399069,-30.278488522943537,-16.31214171618489,-26.24184196788973,-26.333810172657067,-32.706370929195934,10.228476658681691,-24.714285714285722,-10.857142857142861,4.593862649310106,0.1532244736270525,0.3967254384571182,0.17691665486093408,2.3539032370658988,1.372158840349107,5.418853521298702,0.9798632848869916,2.907671433112529,0.9086957756380594,0.0,0.0,0.0,2.524354896707238e-29,3.138277030856949,5.100949570730627,0.30000000000000004
7,-2.6012697756887686,-3.315098283634061,-3.72181199656989,2.633329196265132,-2.1522591969085534,7.418015211945501,-11.214664021229918,-14.493877551020411,-20.551020408163257,-21.29615730737608,-30.211507481233113,-16.26579422960684,-25.992538182542848,-26.32949187851323,-32.68479577984702,10.282104033744064,-24.714285714285722,-10.857142857142847,4.513629301855143,0.09408033565585631,0.4116493624395901,0.4148035877633204,2.3920123506220174,1.3410720648825551,5.299805242726774,1.06185316859087,2.975886984412457,0.9248435058777663,0.0,0.0,0.0,0.0,3.3086009364847677,4.992586448712534,0.35000000000000003
8,-2.456955836061243,-3.1934929744496277,-3.5693844277691524,2.807482316082968,-1.930851029669359,7.439028883028758,-10.956014373930586,-14.493877551020411,-20.55102040816325,-20.689291637661107,-30.14604449752916,-16.218692012158883,-25.748489784752493,-26.32793792994847,-32.65174376883333,10.339563544675242,-24.714285714285722,-10.857142857142861,4.438628564016922,0.038793424074147057,0.43287315117861364,0.644340821058234,2.4281367446683326,1.3107109047529415,5.188520982322585,1.1384958859662928,3.039653695410191,0.9399381232757213,8.120488408686852e-14,0.0,0.0,4.060244204343426e-14,3.474787287868944,4.887478697581865,0.4
9,-2.3201526590908843,-3.0701806815384227,-3.4139909654336154,2.9897378757577986,-1.7129312688412792,7.461418736786829,-10.70254073874305,-14.493877551020411,-20.551020408163257,-20.114010054845785,-30.082063291064827,-16.17088771948312,-25.50953400597428,-26.328955465643315,-32.60763238113529,10.400587833158758,-24.714285714285722,-10.857142857142847,4.368860435795286,-0.012636261118197038,0.4603968046741358,0.865528354745391,2.462276419205194,1.2810753599605305,5.085000740086075,1.2097914370131535,3.098971566105879,0.9539796278319046,0.0,0.0,-2.208810534618833e-29,4.060244204343426e-14,3.6368360850094943,4.785626317338551,0.45
10,-2.1908602447777525,-2.9452606408758513,-3.25585405157845,3.1798889975774767,-1.4982382839434263,7.48549976645749,-10.453854914758935,-14.493877551020411,-20.551020408163257,-19.570312558930173,-30.019527581073277,-16.122434007221617,-25.275508077663886,-26.332351624278317,-32.55287910173328,10.464909540878194,-24.714285714285722,-10.857142857142861,4.304324917190175,-0.06020871992117601,0.4942203229261466,1.0783661888250151,2.4944313742321724,1.2521654305049572,4.9892445160174,1.2757398217314884,3.1538405964993133,0.9669680195464839,0.0,0.0,-2.03012210217172e-14,-9.466330862652142e-29,3.7947473279063413,4.687029307982534,0.5
11,-2.0690785931217888,-2.818832088437418,-3.0951961282187024,3.3777288038298035,-1.2865104444949935,7.5115869652785685,-10.209568701069895,-14.493877551020383,-20.551020408163257,-19.058199149914174,-29.95840108678767,-16.073383531016468,-25.04624923127694,-26.33793354453397,-32.487901415607666,10.532261309517096,-24.714285714285722,-10.857142857142847,4.245022008201761,-0.10392395233458676,0.5343437059346583,1.2828543232970038,2.524601609749607,1.2239811163864438,4.90125231011636,1.3363410401213975,3.2042607865907446,0.9789032984193315,8.120488408686852e-14,0.0,2.0301221021717082e-14,-4.06024420434344e-14,3.9485210165596274,4.591687669513901,0.55
12,-1.954807704123052,-2.6909942601985586,-2.9322396373694906,3.5830504168026462,-1.077486120015146,7.539995326487909,-9.96929389676751,-14.493877551020411,-20.55102040816325,-18.577669827797873,-29.898647527441106,-16.023788946509786,-24.821594698269035,-26.34550836509085,-32.413116807738845,10.60237578075909,-24.714285714285722,-10.857142857142847,4.190951708829916,-0.14378195835860197,0.580766953699826,1.4789927581612772,2.5527871257571344,1.1965224176048497,4.821024122383223,1.3915950921826843,3.2502321363798985,0.9897854644504482,-1.8932661725304283e-28,0.0,-6.941975965944904e-29,4.060244204343426e-14,4.098157150969059,4.499601401932612,0.6000000000000001
13,-1.8480475777814824,-2.5618463921348527,-2.767207021045941,3.795646958783769,-0.870903680023085,7.571039843323322,-9.732642300943414,-14.493877551020411,-20.551020408163257,-18.128724592581232,-29.8402306222668,-15.97370290934362,-24.601381710095843,-26.35488322462948,-32.32894276310718,10.674985596287712,-24.714285714285722,-10.857142857142861,4.142114019074807,-0.17978273799335348,0.633490066221388,1.6667814934178538,2.5789879222550987,1.1697893341602748,4.748559952817632,1.4415019779154492,3.2917546458666394,0.9996145176398383,-1.8932661725304283e-28,0.0,-4.733165431326071e-29,-4.0602442043434304e-14,4.243655731134971,4.410770505238517,0.65
14,-1.7487982140971179,-2.4314877202216985,-2.600320721263129,4.015311552061002,-0.6665014940379369,7.605035509022631,-9.499225712689192,-14.493877551020383,-20.55102040816325,-17.711363444264233,-29.783114090497858,-15.923178075160074,-24.385447498212983,-26.365865261830336,-32.23579676669307,10.749823397786553,-24.714285714285722,-10.857142857142861,4.098508938936266,-0.2119262912385368,0.6925130434994334,1.8462205290668972,2.6032039992433926,1.1437818660527703,4.683859801419756,1.4860616973197434,3.328828315051508,1.0083904579874667,-1.8932661725304283e-28,0.0,-4.733165431326071e-29,0.0,4.3850167570572385,4.325194979431857,0.7000000000000001
15,-1.6570596130699506,-2.3000174804346307,-2.431803180036188,4.241837318922139,-0.4640179315788886,7.642297316823697,-9.268655931096458,-14.493877551020411,-20.55102040816325,-17.325586382846907,-29.727261651367463,-15.872267099601226,-24.17362929407608,-26.37826161537398,-32.13409630347688,10.826621826939181,-24.714285714285722,-10.857142857142847,4.060136468414294,-0.24021261809437533,0.7578358855340512,2.017309865108296,2.625435356721952,1.1185000132822662,4.626923668189852,1.5252742503955983,3.361453143934187,1.0161132854933845,-8.120488408686871e-14,0.0,-4.733165431326071e-29,-4.060244204343426e-14,4.522240228735823,4.242874824512596,0.75
16,-1.5728317746999656,-2.167534908749138,-2.2618768393802915,4.4750173816550385,-0.26319136216509664,7.683140259964315,-9.040544755256878,-14.493877551020411,-20.551020408163257,-16.97139340832926,-29.67263702410873,-15.821022638309175,-23.9657643291408,-26.39187942394099,-32.02425885843904,10.905113525429165,-24.714285714285722,-10.857142857142861,4.026996607508953,-0.2646417185606862,0.829458592325213,2.1800495015421006,2.6456819946907753,1.0939437758486394,4.577751553127517,1.5591396371428192,3.3896291325146066,1.0227830001576215,-1.8932661725304283e-28,0.0,-2.0301221021717177e-14,-4.060244204343426e-14,4.655326146170612,4.163810040480556,0.8
