frame,ball_x,549_x,893_x,894_x,1066_x,1067_x,1068_x,1069_x,1070_x,1492_x,5518_x,ball_y,549_y,893_y,894_y,1066_y,1067_y,1068_y,1069_y,1070_y,1492_y,5518_y,1066_vx,1066_vy,1067_vx,1067_vy,1068_vx,1068_vy,1069_vx,1069_vy,1070_vx,1070_vy,1492_vx,1492_vy,549_vx,549_vy,5518_vx,5518_vy,893_vx,893_vy,894_vx,894_vy,Time [s]
0,-3.82176870748299,46.88237554532168,-10.023129251700684,-9.63407231653009,6.417687074829926,-1.2258503401360468,5.985034013605437,3.6775510204081634,0.6489795918367378,-4.6204385916997435,-8.76373240876584,-26.42857142857143,-3.008991773057554,-9.285714285714288,-30.19622671039147,-25.714285714285708,-23.0,-5.714285714285719,-29.142857142857146,-26.71428571428572,-26.337641608354183,-24.526818358126857,,,,,,,,,,,,,,,,,,,,,0.0
1,-3.624879429255113,46.868506097726936,-9.847743481820569,-9.63407231653009,6.4346443283168355,-0.9357503698218625,5.706880412260764,3.676611404706323,0.5974809120507729,-4.443525770896603,-8.575107496981813,-25.600617150558833,-3.0049765045669257,-9.290158521530756,-30.19622671039147,-25.507293048929068,-22.915246950027008,-5.741640743322273,-29.055603362239953,-26.63774088055156,-26.35452107986286,-24.401240035060695,,,,,,,,,,,,,,,,,,,,,0.05
2,-3.435500913684381,46.85660189125485,-9.664008854521015,-9.63407231653009,6.462034317712861,-0.6537740031353128,5.461073565492807,3.68599198718054,0.5609139576507134,-4.266627816215517,-8.38675242261958,-24.804246959445855,-3.001530182366508,-9.295072430092123,-30.19622671039147,-25.302416689249114,-22.82523227662378,-5.765845582414062,-28.968947829131967,-26.558726095961422,-26.364640886562974,-24.267056432850502,,,,,,,,,,,,,,,,,,,,,0.1
3,-3.253633160770861,46.84656627470259,-9.4723359693472,-9.63407231653009,6.499548251733302,-0.37956931011621164,5.246735082991492,3.7055628789170303,0.5388984394391709,-4.089876636138204,-8.19849277168539,-24.039460855232576,-2.9986248254911807,-9.300432912738774,-30.19622671039147,-25.099606060494988,-22.730100693592046,-5.786981973923677,-28.88284135206684,-26.477313885091235,-26.368259596998882,-24.124655642971494,,,,,,,,,,,,,,,,,,,,,0.15000000000000002
4,-3.079276170514561,46.838302596867386,-9.273135425844412,-9.63407231653009,6.5468773390933634,-0.11278436080441794,5.062986574446564,3.735194191002099,0.5310540682188245,-3.913404139146417,-8.010154130185601,-23.30625883791896,-2.9962324529758813,-9.306216870811163,-30.19622671039147,-24.898810587915875,-22.629996914733525,-5.805131660213754,-28.79723473957819,-26.393576772517022,-26.36563577971498,-23.97442575689888,0.93423009581088,4.017932441617202,5.349776184643666,1.9962870251016993,-3.710105783304619,-0.3662634203065171,0.5874306851538387,1.7140999084271562,-0.17209899230242331,1.6718412684443251,3.524173600567673,0.042133603903400686,-0.16913960481358814,0.04896668890991432,3.7737493897438483,2.989074062444854,3.9675868882469905,-0.11475521506407102,0.0,0.0,0.2
5,-2.912429942915435,46.831714206546565,-9.066817823557859,-9.63407231653009,6.603712788508293,0.14693277476029223,4.908949649547898,3.77475603452212,0.5370005547922181,-3.737342233721812,-7.821562084126511,-22.604640907505008,-2.99432508385549,-9.312401205649664,-30.19622671039147,-24.699979696760852,-22.525065653849946,-5.82037638364692,-28.712078800199684,-26.307587282814797,-26.357028003255618,-23.81675486610782,1.1243573369082505,3.978640813134971,5.208419909702104,2.0928366656031727,-3.11587411037926,-0.3081641631682684,0.7860413138521746,1.7050864462244926,0.10371816357334436,1.716888811004854,3.5159617692234995,0.16181278741270383,-0.13563385452660068,0.03926662101156758,3.7788174809303774,3.1378941568135685,4.109928063922749,-0.12276275038671157,0.0,0.0,0.25
6,-2.753094477973507,46.82670445253734,-8.853793762032698,-9.63407231653009,6.669745808693332,0.39993402653812765,4.783745917985389,3.82411852056333,0.5563576099620536,-3.561822828346108,-7.632542219514331,-21.93460706399069,-2.992874737164915,-9.318962818594695,-30.19622671039147,-24.503062812279097,-22.415451624742985,-5.832797886585781,-28.627324342464963,-26.21941794056053,-26.342694836165172,-23.65203106207351,1.3083087523106256,3.9403606796699666,5.0741022339642425,2.1864920300702653,-2.539210243657009,-0.2516997532824838,0.9820541642763646,1.697056813349056,0.3719295355015787,1.7604858620455537,3.50511176824514,0.2763206000345621,-0.10406112829479801,0.030126172415060486,3.787373851990942,3.278952421678452,4.244057248694105,-0.13030831251759267,0.0,0.0,0.30000000000000004
7,-2.6012697756887686,46.82317668363692,-8.634473840814238,-9.63407231653009,6.744667608363734,0.6465713244892368,4.686496989448821,3.883151760212007,0.5887449445308897,-3.3869778315010577,-7.442920122355493,-21.29615730737608,-2.991853431939084,-9.325878610986713,-30.19622671039147,-24.308009359719687,-22.301299541214405,-5.842477911393,-28.54292217490764,-26.129141270330205,-26.322894846987992,-23.480642436271157,1.4860843420177643,3.9030920412220995,4.946823157430149,2.2772531185029568,-1.9801141831380826,-0.19687019064916608,1.1754692364266313,1.690011009800715,0.6325351234823654,1.8026324215662726,3.4916235976324677,0.3856570417691988,-0.07442142611803805,0.021545343120327035,3.799418502925516,3.412248857039515,4.3699744425608875,-0.13739190145684638,0.0,0.0,0.35000000000000003
8,-2.456955836061243,46.821034248642626,-8.409268659447607,-9.63407231653009,6.828169396234723,0.8871965985738739,4.616324473628023,3.951725864554584,0.6337822693014434,-3.212939151668378,-7.252521378656181,-20.689291637661107,-2.991233187212877,-9.333125484166105,-30.19622671039147,-24.114768764331828,-22.182754117065898,-5.849498200431167,-28.45882310606138,-26.036829796699863,-26.297886604268413,-23.302977080175946,1.6576841060297376,3.8668348977917226,4.8265826801000165,2.3651199309013795,-1.4385859288222134,-0.14367547526833285,1.3662865303030773,1.6839490355795304,0.8855349275156192,1.8433284895671314,3.475497257385804,0.48982211261668485,-0.04671474799605691,0.013524133127502985,3.8149514337341697,3.537783462896817,4.487679645523588,-0.14401351720434058,0.0,5.075305255429282e-14,0.4
9,-2.3201526590908843,46.82018049635167,-8.178588817478078,-9.63407231653009,6.91994238102158,1.1221617787521723,4.572349980212854,4.029710944677268,0.6910892950762659,-3.039838697329718,-7.06117157442275,-20.114010054845785,-2.9909860220212368,-9.34068033947328,-30.19622671039147,-23.923290451364625,-22.059960066099187,-5.853940496062932,-28.374977944459797,-25.942556044245478,-26.267928676550877,-23.119423085263044,1.8231080443465375,3.8315892493785024,4.713380801973802,2.4500924672654727,-0.9146254807094727,-0.09211560713993855,1.5545060459053577,1.6788708906855727,1.1309289476014688,1.88257406604806,3.456732747504697,0.5888158125767057,-0.020941093929301203,0.006062542436452593,3.8339726444169955,3.655556239250248,4.597172857581836,-0.15017315976019213,1.3195793664116135e-13,5.075305255429282e-14,0.45
