frame,ball_x,15_x,1417_x,1726_x,2150_x,2813_x,9756_x,13011_x,13961_x,13962_x,ball_y,15_y,1417_y,1726_y,2150_y,2813_y,9756_y,13011_y,13961_y,13962_y,stretch_index,Time [s],13011_vx,13011_vy,13011_speed,13961_vx,13961_vy,13961_speed,13962_vx,13962_vy,13962_speed,1417_vx,1417_vy,1417_speed,15_vx,15_vy,15_speed,1726_vx,1726_vy,1726_speed,2150_vx,2150_vy,2150_speed,2813_vx,2813_vy,2813_speed,9756_vx,9756_vy,9756_speed
0,0.07487515677932166,-17.447263015696088,-23.71248220086435,-14.38204978916448,-14.95044567933263,0.07487515677932166,-6.348565698352423,-7.879796717244044,5.393295462514917,-1.6138999929868882,-23.74301786573524,-30.224929782965276,1.9437525203043657,-10.889690421706085,5.634525497243197,-23.74301786573524,7.386236240881015,25.55835579461231,7.5670103092783485,0.5007363770250205,16.1776198147853,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.07527767242390696,-17.497775325035384,-23.88391342401528,-14.631006866742789,-14.924410000068624,-0.07527767242390696,-6.462414614668475,-8.008849020731716,5.342744933024773,-1.6785749351286892,-23.732083083016747,-30.177159009408353,1.9628404894914044,-10.796052852882562,5.507723031789222,-23.732083083016747,7.35645440976672,25.50406657976151,7.566273932253317,0.48895434462444115,16.18409593931566,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.2337145363212788,-17.552476065019764,-24.05029494224657,-14.879088368088658,-14.909841316046842,-0.2337145363212788,-6.577786904470812,-8.139425647147533,5.292194403534621,-1.743249877270512,-23.71685934969878,-30.131944571364023,1.976829415126262,-10.71559504594519,5.376002929012895,-23.71685934969878,7.326932012121346,25.448543523681504,7.565537555228281,0.47717231222386175,16.19096415329365,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.40028132554653706,-17.611331889180786,-24.21176573826246,-15.126318391630488,-14.906530394794666,-0.40028132554653706,-6.694698003549007,-8.271503706627296,5.241643874044447,-1.8079248194123052,-23.697422967302263,-30.08917591345092,1.9858596378571542,-10.647954255153971,5.239478682137098,-23.697422967302263,7.297650240069623,25.39180515424303,7.564801178203236,0.4653902798232727,16.19806040427646,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.57482393073344,-17.67430945104995,-24.368464794767128,-15.372721035796692,-14.9142680038395,-0.57482393073344,-6.81316334769259,-8.405060309306869,5.191093344554325,-1.8725997615541061,-23.67385023734809,-30.0487424802876,1.9900714983323113,-10.592767734768941,5.098263784384795,-23.67385023734809,7.268590285736317,25.333869999316843,7.564064801178201,0.45360824742268363,16.2052424357181,0.2,-2.670216459023322,-1.1579619836945199,2.9104865390035384,-1.0110105898029709,-0.014727540500756624,1.0111178532411307,-1.2934988428360987,-0.23564064801172582,1.314787348362355,-3.13954043826184,0.08985083543222519,3.140825900318134,-1.2582173786441937,0.813090878521519,1.498074680600791,-4.929016820460755,1.118240237300212,5.054272256685653,-0.1463828819923256,-2.8197582261299834,2.823555276945732,-3.484687729088558,0.4684025382459618,3.5160275179662106,-2.3699243144520152,-0.5819514016765887,2.44032962735451
5,-0.7571882425157759,-17.741375404158784,-24.52053109446479,-15.618320399015689,-14.932844910708726,-0.7571882425157759,-6.933198372691023,-8.540072565321967,5.140542815064181,-1.9372747036959066,-23.646217461357264,-30.01053371649273,1.9896053371999634,-10.54967273905009,4.952471728978843,-23.646217461357264,7.239733341246132,25.274756586773652,7.56332842415316,0.44182621502209457,16.212389361532804,0.25,-2.6993295257348695,-1.181527136034402,2.9465889196984523,-1.0110105898029507,-0.014727540500726173,1.01111785324111,-1.2934988428361198,-0.23564064801178117,1.3147873483623855,-3.046885302121873,-0.003709596717956315,3.046887560346477,-1.3399852034376023,0.7685974911528399,1.544766146974406,-4.912951201516686,0.8764097439763826,4.990509347533676,-0.3631688384802548,-2.9113013792025475,2.933865594363476,-3.6411218609967446,0.5496034589801114,3.6823677666348456,-2.401317931549587,-0.5778912048137284,2.4698757161004377
6,-0.9472201515272878,-17.812496402038803,-24.668103620059675,-15.863140579715898,-14.962051882929739,-0.9472201515272878,-7.054818514333852,-8.676517584808499,5.089992285574014,-2.0019496458377377,-23.61460094085062,-29.974439066684898,1.9846014951083264,-10.518306522257452,4.802216009142167,-23.61460094085062,7.211060598723856,25.214483444484202,7.562592047128134,0.4300441826215055,16.219400949572936,0.30000000000000004,-2.727984795162622,-1.2047217309595886,2.9821561816385005,-1.0110105898029278,-0.014727540500766776,1.0111178532410876,-1.2934988428360776,-0.235640648011795,1.3147873483623467,-2.9570098200660864,-0.0944632159036025,2.9585182735832674,-1.421086098861569,0.7263152114117486,1.595938434497298,-4.897367551140889,0.6418341654523019,4.939246908882929,-0.5757701455160102,-3.0005746678168546,3.0553166116806545,-3.794473805580009,0.6292783492957048,3.8462998715811487,-2.4330202644377557,-0.5742071654559793,2.4998602913014474
7,-1.1447655484016739,-17.887639098221555,-24.811321354255995,-16.107205676325744,-15.001679688029943,-1.1447655484016739,-7.178039208410628,-8.814372477902207,5.039441756083877,-2.066624587979523,-23.579076977349153,-29.940347975482744,1.9752003127056446,-10.49830633865101,4.6476101180977025,-23.579076977349153,7.182553250294209,25.15306910031923,7.561855670103084,0.41826215022091645,16.226196792689464,0.35000000000000003,-2.75618226730657,-1.2275457684700897,3.0171856595682023,-1.0110105898027808,-0.0147275405007414,1.0111178532409404,-1.2934988428360779,-0.2356406480118226,1.3147873483623518,-2.8699139920945425,-0.18241002212476917,2.8757050853993342,-1.501520064915951,0.6862440392984988,1.6509068377161447,-4.882265869333478,0.41451350172794466,4.899830758503129,-0.7841868030995869,-3.087578091972859,3.1856062870647257,-3.944743562838308,0.7074272091929045,4.007674516831516,-2.465031313116217,-0.5708992836034098,2.5302777252037667
8,-1.3496703237727676,-17.966770146238545,-24.950323279757935,-16.35053978727363,-15.051519093536713,-1.3496703237727676,-7.302875890710831,-8.95361435473892,4.98889122659374,-2.131299530121331,-23.539721872373708,-29.90814988750486,1.9615421306401197,-10.489309442490828,4.4887675490683305,-23.539721872373708,7.154192488081915,25.09053208214947,7.561119293078063,0.40648011782031773,16.232715542506263,0.4,-2.7839219421665513,-1.249999248565956,3.0516748682472445,-1.0110105898029937,-0.014727540500741399,1.011117853241153,-1.2934988428361187,-0.23564064801179496,1.314787348362387,-2.7855978182072096,-0.2675500153813586,2.7984170910590387,-1.5812871016008092,0.6483839748128465,1.7090554925113444,-4.867646156094365,0.194447752803367,4.87152840795479,-0.9884188112310099,-3.172311651670758,3.3227297455136755,-4.091931132771858,0.7840500386715478,4.1663695057553936,-2.4973510775851078,-0.5679675592559796,2.561122713397914
9,-1.561780368274282,-18.049856199621313,-25.0852483792697,-16.59316701098797,-15.111360866977446,-1.561780368274282,-7.429343997024026,-9.094220325454451,4.938340697103596,-2.1959744722631394,-23.496611927445283,-29.87773424736991,1.943767289560001,-10.490953088036884,4.325801795276996,-23.496611927445283,7.125959504211753,25.02689091784565,7.560382916053013,0.3946980854197335,16.238914391188644,0.45,-2.8112038197429396,-1.272082171247106,3.0856214878921953,-1.0110105898028667,-0.014727540500781998,1.0111178532410268,-1.293498842836098,-0.23564064801182252,1.3147873483623715,-2.704061298404068,-0.34988319567352233,2.7266033367802898,-1.660387208916093,0.6127350179548227,1.7698389434522763,-4.853508411423565,-0.01836308132157316,4.853543149340997,-1.188466169910315,-3.254775346910353,3.4649696096613463,-4.23603651538027,0.8591468377318987,4.3222839620297675,-2.529979557844464,-0.5654119924137162,2.592390264654633
10,-1.780941572539945,-18.13686391190137,-25.21623563549555,-16.835111445897205,-15.180995775879522,-1.780941572539945,-7.557458963139683,-9.236167500184596,4.887790167613474,-2.2606494144049325,-23.449823444084746,-29.848990499696445,1.922016130113485,-10.50287452954919,4.158826349946597,-23.449823444084746,7.097835490808429,24.9621641352785,7.559646539027977,0.3829160530191348,16.24476902374862,0.5,-2.8380279000352866,-1.2937945365135002,3.1190233510012204,-1.0110105898028847,-0.014727540500792153,1.011117853241045,-1.2934988428361192,-0.2356406480118226,1.3147873483623924,-2.625304432685068,-0.42940956300111044,2.660190958760794,-1.7388203868619658,0.5792971687245085,1.832779732389855,-4.8398526353211375,-0.22391900064673415,4.845029747119783,-1.3843288791374164,-3.3349691776917054,3.610870513015877,-4.3770597106636995,0.9327176063736736,4.475333936585607,-2.56291675389423,-0.563232583076605,2.6240756906062908
11,-2.0069998272035905,-18.227759936610234,-25.34342403113965,-17.07639719042972,-15.260214587770353,-2.0069998272035905,-7.687236224847378,-9.379432989065162,4.837239638123277,-2.325324356546748,-23.39943272381305,-29.821808089103104,1.8964289929488358,-10.524711021287763,3.9879547063000294,-23.39943272381305,7.069801639996724,24.896370262318758,7.558910162002942,0.3711340206185554,16.25027434817729,0.55,-2.8643941830438173,-1.3151363443652284,3.1518784304166294,-1.0110105898029709,-0.014727540500710946,1.01111785324113,-1.2934988428361418,-0.23564064801179496,1.3147873483624097,-2.5493272210502984,-0.5061291173642448,2.599083677651019,-1.8165866354382634,0.5480704271219443,1.8974636220856884,-4.826678827786971,-0.42222000517224234,4.845110756151469,-1.5760069389123437,-3.4128931440148245,3.7592070286116526,-4.515000718622396,1.0047623445971863,4.625449043961157,-2.5961626657344405,-0.5614293312446935,2.6561745953410556
12,-2.239801022898871,-18.322510927279417,-25.466952548906214,-17.317048343013937,-15.348808070177336,-2.239801022898871,-7.8186912179365855,-9.523993902231997,4.786689108633178,-2.389999298688541,-23.3455160681511,-29.796076460208543,1.8671462187142305,-10.55609981751264,3.813300357560219,-23.3455160681511,7.041839143901331,24.829527826837165,7.558173784977886,0.35935198821795666,16.255446478907643,0.6000000000000001,-2.8903026687686406,-1.3361075948023122,3.1841848284890037,-1.0110105898029278,-0.014727540500766776,1.0111178532410876,-1.2934988428361205,-0.2356406480117674,1.3147873483623838,-2.476129663499721,-0.5800418587628586,2.543160763377006,-1.8936859546450282,0.5190547931468765,1.9635336445064033,-4.813986988821109,-0.6132660948979612,4.852892542771818,-1.763500349235057,-3.4885472458796327,3.90895067358064,-4.649859539256003,1.075281052402072,4.772569860826026,-2.629717293365054,-0.560002236917901,2.6886828649686967
13,-2.4791910502595824,-18.42108353744049,-25.58696017149945,-17.557089002078296,-15.446566990627835,-2.4791910502595824,-7.951839378196833,-9.66982734982085,4.736138579143004,-2.4546742408303794,-23.288149778619836,-29.77168505763132,1.8343081480579377,-10.59667817248381,3.63497679695007,-23.288149778619836,7.013929194647044,24.761655356704477,7.557437407952857,0.3475699558173676,16.260326768905802,0.65,-2.915753357209506,-1.3567082878246797,3.215940767229813,-1.011010589802948,-0.014727540500723633,1.0111178532411074,-1.2934988428360987,-0.23564064801182255,1.3147873483623722,-2.405711760033426,-0.6511477871969636,2.4922765723600233,-1.9701183444822485,0.49225026679963985,2.030683780510839,-4.8017771184236775,-0.7970572698239968,4.867480229687274,-1.9468091101057332,-3.5619314832862905,4.0592390423349975,-4.7816361725647045,1.144273729788655,4.916645894862032,-2.663580636785984,-0.5589513000963184,2.7215966572107253
14,-2.725015799919513,-18.523444420624948,-25.7035858816236,-17.796543266051184,-15.553282116649264,-2.725015799919513,-8.086696141417683,-9.816910441967543,4.6855880496528375,-2.5193491829721726,-23.227410156740138,-29.748523325990064,1.7980551216281588,-10.646083340461296,3.453097517692514,-23.227410156740138,6.986052984358566,24.6927713797914,7.556701030927835,0.3357879234167882,16.264989289103355,0.7000000000000001,-2.940746248366607,-1.3769384234323307,3.2471445793506923,-1.0110105898030342,-0.014727540500738857,1.0111178532411935,-1.2934988428361187,-0.2356406480117811,1.3147873483623844,-2.3380735106511907,-0.7194469026666024,2.446260735687296,-2.0458838049499453,0.46765684808009245,2.098652775213821,-4.790049216594422,-0.9735935299503645,4.887990983927655,-2.125933221524175,-3.6330458562347423,4.209348436027194,-4.91033061854853,1.211740376756712,5.057633984791474,-2.69775269599739,-0.558276520779809,2.754912391059867
15,-3.9254635060520964,-18.629560230364305,-25.816968661982838,-18.035435233361017,-15.668744215768983,-2.9771211625123684,-8.2232769433886,-9.965220288807945,4.635037520162715,-2.5840241251139733,-23.581731056505586,-29.726480709903452,1.7585274800731192,-10.703952575705115,3.267776013010459,-23.163373504032982,6.95819170516065,24.62289442396866,7.5559646539027945,0.32400589101619914,16.269554294300384,0.75,-2.9652813422398694,-1.3967980016252872,3.2777947000964347,-1.0110105898028188,-0.014727540500726173,1.0111178532409781,-1.293498842836142,-0.2356406480117812,1.3147873483624075,-2.273214915353218,-0.784939205171734,2.4049190437933605,-2.1209823360481193,0.4452745369881025,2.1672183745802145,-4.778803283333549,-1.1428748752769888,4.913565284123017,-2.300872683490474,-3.7018903647249233,4.35867036813704,-5.035942877207285,1.2776809933063251,5.1954970294622465,-2.732233470999262,-0.5579778989686015,2.788626736547237
16,-5.090076952300123,-18.7393976201901,-25.9272474952814,-18.273789002436256,-15.792744055514452,-3.2353530286719288,-8.36159721989912,-10.114734000477778,4.5844869906725645,-2.648699067255774,-23.925475212994453,-29.705446653990037,1.7158655640410638,-10.769923132475283,3.079125776126794,-23.096116122019254,6.930326549178042,24.55204301710701,7.555228276877759,0.3122238586155956,16.274212344680574,0.8,-2.9893586388292395,-1.416287022403517,3.307889659793933,-1.0110105898030346,-0.014727540500683034,1.011117853241193,-1.293498842836142,-0.2356406480117812,1.3147873483624075,-2.2111359741394465,-0.8476246947123021,2.3680350333598787,-2.1954139377768405,0.4251033335238828,2.236192121075005,-4.768039318641043,-1.304901305803889,4.943376008558891,-2.4716274960045936,-3.768465008756818,4.506691802334664,-5.158472948541201,1.3420955794374734,5.330202970354596,-2.767022961791515,-0.5580554346624415,2.8227366046511984
