frame,ball_x,5_x,7_x,9_x,10_x,27_x,66_x,8101_x,9623_x,9626_x,9627_x,ball_y,5_y,7_y,9_y,10_y,27_y,66_y,8101_y,9623_y,9626_y,9627_y,10_vx,10_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,7_vx,7_vy,8101_vx,8101_vy,9_vx,9_vy,9623_vx,9623_vy,9626_vx,9626_vy,9627_vx,9627_vy,Time [s]
11,33.284830744250286,36.322462918830155,33.284830744250286,27.7964505080818,30.195238720489684,34.10171764018948,30.164933774552434,6.12925170068028,12.330612244897956,3.9659863945578255,15.824613481756346,-8.277705246290175,-4.175949084533961,-8.277705246290175,-6.642969316044919,1.7911135235110172,17.201290470949417,-27.577796689200557,-8.85714285714285,12.51298701298701,2.285714285714297,22.27272727272727,4.602562948685918,0.5880885774195146,2.1946451805973153,0.17060948398936254,5.1740307884225185,1.7226609402011253,3.3585941154419774,1.6721984488650117,4.4630863480568905,-2.947941958989809,5.048709793414476e-29,4.0602442043434316e-14,5.76205118170503,4.023342128211156,1.1537414965986412,-0.805194805194824,7.573064690121713e-29,1.4199496293978212e-29,1.861719233147799,-0.6233766233766045,0.55
12,33.49787367470635,36.575548913635025,33.49787367470635,28.084561603152192,30.427322138679898,34.214397937197546,30.34479609218448,6.129251700680264,12.388299319727885,3.9659863945578255,15.917699443413717,-8.415558964984015,-4.09686337283086,-8.415558964984015,-6.447389708375659,1.8215086352962258,17.200065747558003,-27.49153287267499,-8.85714285714285,12.472727272727274,2.285714285714297,22.241558441558443,4.639627472208961,0.602325664955884,2.2519329625488234,-0.013050058382901908,5.06817392720876,1.5890033054216532,3.5820437745321954,1.7208392429553196,4.2712768921455995,-2.7666537964288853,4.5677747298863686e-14,1.01506105108586e-14,5.760533020304085,3.9177415822093185,1.1537414965986312,-0.8051948051947886,9.781875224740546e-29,1.4199496293978212e-29,1.8617192331478856,-0.623376623376635,0.6000000000000001
13,33.701586589442485,36.823503416156996,33.701586589442485,28.372554568124958,30.661207760756408,34.32990079886288,30.535450828318314,6.129251700680264,12.445986394557824,3.9659863945578255,16.01078540507112,-8.544587761113618,-4.0242783160827225,-8.544587761113618,-6.256936392285859,1.852476187189549,17.18994415728411,-27.402947943633823,-8.85714285714285,12.432467532467538,2.285714285714297,22.210389610389612,4.67567154993425,0.6137744671181925,2.3083842556942455,-0.1909873960325825,4.965544081550794,1.4589902063216935,3.797892144567833,1.7672614932677022,4.084676577746627,-2.590155345144157,4.5677747298863686e-14,3.470987982972452e-29,5.758170418351176,3.8152157506191915,1.1537414965986412,-0.8051948051947884,2.1570047335574573e-14,1.4199496293978212e-29,1.8617192331478447,-0.6233766233766654,0.65
14,33.89622994553425,37.066487777173855,33.89622994553425,28.660387180972467,30.896844564429248,34.44818440074518,30.736517918501217,6.129251700680264,12.503673469387753,3.965986394557818,16.103871366728505,-8.665031120242805,-3.9580116875056284,-8.665031120242805,-6.071455632054992,1.883876764922255,17.171211810363868,-27.312152829265937,-8.857142857142854,12.392207792207792,2.285714285714297,22.179220779220778,4.710695181861876,0.6224349839063431,2.3639990600334615,-0.3632025289597301,4.866141251448537,1.3326216429012478,4.006139225549074,1.8114651998020999,3.9032854048597327,-2.418446605135662,-4.5677747298863434e-14,-1.0150610510858541e-14,5.754963375846284,3.7157646334408425,1.1537414965985702,-0.8051948051948441,-6.344131569286598e-14,-1.2688263138573206e-14,1.8617192331477936,-0.6233766233766247,0.7000000000000001
15,34.08206420005727,37.30466334746338,34.08206420005727,28.948017219667133,31.134181527408597,34.5692069184041,30.94761729828047,6.12925170068028,12.561360544217685,3.9659863945578255,16.196957328385906,-8.777128527935325,-3.8978812603155473,-8.777128527935325,-5.890793691962455,1.9155709542256987,17.144154817033403,-27.219258456760194,-8.85714285714285,12.351948051948058,2.285714285714297,22.148051948051943,4.744698367991589,0.6283072153205582,2.41877737556635,-0.5296954571642334,4.769965436902157,1.209897615160562,4.20678501747588,1.8534503625588272,3.727103373484916,-2.251527576403259,2.0194839173657902e-28,4.733165431326071e-29,5.750911892789443,3.619388230674248,1.1537414965987227,-0.8051948051947633,-2.1570047335574403e-14,0.0,1.8617192331477943,-0.6233766233766045,0.75
16,34.259349810087194,37.53819147780337,34.259349810087194,29.23540246218136,31.37316762740457,34.69292652739938,31.16836890320332,6.12925170068028,12.61904761904762,3.9659863945578255,16.290043290043293,-8.88111946975506,-3.8437048077285367,-8.88111946975506,-5.714796836287658,1.9474193408311333,17.109059287528833,-27.12437575330552,-8.857142857142854,12.311688311688313,2.285714285714297,22.116883116883116,4.777681108323638,0.6313911613606425,2.4727192022930717,-0.690466180646183,4.677016637911343,1.090818123099406,4.399829520348279,1.8932169815375182,3.5561304836222973,-2.0893982589468205,4.5677747298863737e-14,-1.0150610510858518e-14,5.746015969180586,3.526086542319542,1.1537414965986517,-0.8051948051947936,4.733165431326071e-29,0.0,1.86171923314784,-0.6233766233766249,0.8
17,34.428347232699565,37.76723351897161,34.428347232699565,29.52250068648755,31.613751842127257,34.8193014032907,31.398392668817063,6.129251700680264,12.676734693877552,3.965986394557818,16.38312925170069,-8.97724343126579,-3.7953001029606144,-8.97724343126579,-5.543311329310011,1.9792825104698708,17.0662113320863,-27.027615646090833,-8.857142857142854,12.271428571428567,2.285714285714297,22.08571428571429,4.8096434028577715,0.6316868220265702,2.5258245402136277,-0.8455146994055494,4.58729485447632,0.9753831667178186,4.585272734166119,1.9307650567383152,3.3903667352717344,-1.9320586527666908,1.0097419586828951e-28,-5.075305255429287e-14,5.740275605019727,3.43585956837649,1.1537414965986619,-0.8051948051948139,-2.157004733557445e-14,-5.5828357809722224e-14,1.8617192331477994,-0.6233766233766147,0.8500000000000001
18,34.58931692497001,37.99195082174591,34.58931692497001,29.809269670558106,31.85588314928674,34.9482897216377,31.637308530668992,6.12925170068028,12.73442176870751,3.965986394557818,16.476215213358074,-9.065739898031316,-3.7524849192277645,-9.065739898031316,-5.376183435308932,2.0110210488732125,17.015897060941935,-26.929089062304968,-8.85714285714285,12.231168831168842,2.285714285714297,22.05454545454546,4.840585251594395,0.6291941973185753,2.578093389327896,-0.994841013442362,4.500800086597049,0.8635927460158411,4.763114658929471,1.9660945881613197,3.2298121284333092,-1.7795087578625461,4.5677747298863636e-14,-4.417621069237666e-29,5.733690800306955,3.348707308845249,1.1537414965986517,-0.8051948051948139,0.0,-5.5828357809722224e-14,1.8617192331477994,-0.6233766233766045,0.9
19,34.74251934397415,38.212504736903995,34.74251934397415,30.095667192365397,32.09951052659317,35.07984965800012,31.88473642430638,6.12925170068028,12.792108843537413,3.9659863945578255,16.56930117501546,-9.146848355615402,-3.7150770297460682,-9.146848355615402,-5.213259418563819,2.0424955417724506,16.95840258433184,-26.82890692913686,-8.857142857142854,12.190909090909097,2.285714285714297,22.023376623376624,4.87050665453307,0.623913287236437,2.629525749636078,-1.1384451227565604,4.417532334273549,0.7554468609934324,4.933355294638366,1.9992055758063383,3.074466663107061,-1.6317485742346647,-4.5677747298863535e-14,-1.0150610510858633e-14,5.726261555042159,3.2646297637257824,1.153741496598641,-0.8051948051948238,-4.733165431326071e-29,-1.199068575935938e-28,1.8617192331477481,-0.6233766233765841,0.9500000000000001
20,34.88821494678759,38.42905661522371,34.88821494678759,30.381651029881862,32.34458295175663,35.21393938793765,32.140296285276456,6.129251700680264,12.849795918367356,3.965986394557818,16.662387136672848,-9.22080828958196,-3.682894207731486,-9.22080828958196,-5.054385543354088,2.0735665748988485,16.894014012492168,-26.727180173775412,-8.857142857142868,12.150649350649353,2.2857142857142776,21.992207792207797,4.899407611673973,0.6158440917802788,2.6801216211379333,-1.2763270273482261,4.337491597505881,0.6509455116506337,5.095994641292874,2.0300980196735954,2.9243303392927897,-1.488778101882845,0.0,-6.941975965944904e-29,5.717987869225423,3.1836269330180413,1.1537414965986512,-0.8051948051948187,-4.733165431326071e-29,-1.199068575935938e-28,1.86171923314788,-0.6233766233766348,1.0
