frame,ball_x,379_x,380_x,381_x,382_x,1330_x,7027_x,8231_x,9233_x,9624_x,9625_x,10267_x,ball_y,379_y,380_y,381_y,382_y,1330_y,7027_y,8231_y,9233_y,9624_y,9625_y,10267_y,stretch_index,Time [s],10267_vx,10267_vy,10267_speed,1330_vx,1330_vy,1330_speed,379_vx,379_vy,379_speed,380_vx,380_vy,380_speed,381_vx,381_vy,381_speed,382_vx,382_vy,382_speed,7027_vx,7027_vy,7027_speed,8231_vx,8231_vy,8231_speed,9233_vx,9233_vy,9233_speed,9624_vx,9624_vy,9624_speed,9625_vx,9625_vy,9625_speed
0,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.2,0.06630222389333086,0.10945048403013646,0.12796637584784734,0.3323283662713144,0.11934821572358957,0.35310924602021593,-0.0014463478379411756,-0.24025248903123858,0.2402568425826281,0.5721657130087823,-0.48651467709528845,0.7510460266667955,0.09101570309322175,-0.4174336960822675,0.4272408557645867,-0.015768906797494053,1.0577611766842514,1.0578787101185276,0.8032879103202464,0.19955027253861402,0.8277027112054807,0.722710331485601,0.08652948770971543,0.7278719499193063,0.34220830645314293,-0.09290563478348954,0.3545955188380859,0.24348440674975186,-0.14471243042671797,0.2832425530358853,0.0,0.0,0.0
5,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.25,0.13200951406253533,0.20560266301993294,0.24433372023508096,0.6918111098606212,0.22510848917169166,0.7275138786468243,0.02758812710352134,-0.4696248741398789,0.47043450890424393,1.1400057375762378,-0.9528023450779872,1.4857474181343389,0.2074389855654602,-0.8128110361020597,0.8388639419725532,-0.008684133973478734,2.0665878203866637,2.066606066369053,1.5827309168216481,0.374626774597172,1.6264631490778312,1.4381360324374983,0.17629761524696214,1.448901686429012,0.6981462324861809,-0.19008575651240686,0.7235611631116906,0.48696881349941235,-0.2894248608534309,0.5664851060716894,0.0,0.0,0.0
6,32.07054985852442,35.67401777319628,38.17123006508347,36.47620189674126,36.12829233420646,28.395787907549263,28.56696817646417,26.326216134343156,22.38859649293176,15.791836734693872,9.590476190476178,50.46839892190323,-7.44768081962427,4.511363935345968,-0.25778294668596313,-6.008808578605486,-14.695219844584454,-14.43909221701473,-8.299157048603195,-4.866446832344419,18.708156254276854,12.714285714285715,-1.4285714285714333,-0.9002042072847257,23.20511773041503,0.30000000000000004,0.19714429407784453,0.2888759069942815,0.3497358465030721,1.077823641848659,0.3177036307657032,1.1236722831544868,0.08635199542171434,-0.6885957124321558,0.6939889929193834,1.7035414428899087,-1.3993626526523695,2.204601841893839,0.3486655991706707,-1.1867334007660117,1.2368928266178547,0.02058069500819216,3.027485857996507,3.027555810447739,2.338997719417628,0.5260320655815118,2.397419459640056,2.1465902238408017,0.2691080637798622,2.1633928767286466,1.067493307880168,-0.29144580511427876,1.1065634277743204,0.7304532202491693,-0.4341372912801742,0.8497276591075921,0.0,0.0,0.0
7,32.33414972371434,35.673511551453004,38.371488064636544,36.508057392823886,36.12277321682734,28.512102835744223,28.848118945076255,26.579164750363116,22.50836940019036,15.877056277056285,9.590476190476178,50.491604700265896,-7.633251434596372,4.4272755641850345,-0.42806308366931406,-6.15491037223428,-14.325003432744966,-14.397320341511474,-8.22931445321468,-4.836161511646019,18.675639282102633,12.663636363636364,-1.4285714285714333,-0.861896537874178,23.24519234903758,0.35000000000000003,0.2617289875099159,0.3596895859782132,0.4448355439532054,1.4897413733160345,0.39755645092724434,1.5418756405895422,0.17409382771404583,-0.8976435610144307,0.9143700692163954,2.2627941981373167,-1.8266952485227343,2.908101290206281,0.5140912956624433,-1.5398021707808294,1.6233547318492174,0.07135195668396933,3.9414612164030727,3.9421070028770426,3.0727570180213455,0.6545687048974613,3.141702704144772,2.8483860266808443,0.36476451447663905,2.871646933035478,1.4499290624161583,-0.39689122051615505,1.503268747417375,0.9739376269988704,-0.5788497217068617,1.1329702121434182,9.135549459772717e-14,0.0,9.135549459772717e-14
8,32.58711728780631,35.683673617682516,38.570232073235154,36.54880554168917,36.125252887315746,28.63792179600048,29.120923997351746,26.82956374569628,22.632947674301924,15.962275819418666,9.590476190476178,50.51460225182512,-7.808799699185215,4.34699522939701,-0.5912637674632586,-6.293292441241207,-13.971914107449122,-14.360304245804638,-8.168037677494185,-4.804742667007982,18.641626239497512,12.612987012987015,-1.4285714285714333,-0.8282432752277492,23.28824041210764,0.4,0.3257860179287775,0.4184630699964811,0.5303280781070993,1.926939715343394,0.46508976007780334,1.9822727237938045,0.2900621945777004,-1.0972469769928697,1.134939207730186,2.8177853725057798,-2.235299781393466,3.596731782911427,0.7031118267948955,-1.872618726853223,2.00026676649397,0.14295602759028314,4.809519822495609,4.811643934125071,3.784677512545948,0.7610392519508379,3.860435806613144,3.543836561942746,0.46307064850545276,3.573963066858616,1.8451330258752456,-0.5063274426456437,1.9133435034911053,1.2174220337485915,-0.7235621521335744,1.4162127651792744,1.0097419586828951e-28,0.0,1.0097419586828951e-28
9,32.829713007875874,35.70424097159388,38.76746957009494,36.59823485645099,36.13549557745933,28.773026182196293,29.38561737826034,27.077522712687436,22.76221915068982,16.04749536178108,9.590476190476178,50.537399424830475,-7.974565098954605,4.270355435994714,-0.7475598751142923,-6.42416526887359,-13.635599794285676,-14.327895946246734,-8.115045825649666,-4.772259010021467,18.606150222486857,12.562337662337654,-1.4285714285714333,-0.7990976398367272,23.334150451088885,0.45,0.38933780890482284,0.46561572907418597,0.6069447558090392,2.3887940790112028,0.5207263686388736,2.444891225170316,0.43350566661014694,-1.2878845174737534,1.358886931768685,3.3685363351828403,-2.6256758999689187,4.270973070990338,0.9151229443214753,-2.1857844496899017,2.3696209957986514,0.23471928426338134,5.632667603163256,5.637555983769031,4.475427902904606,0.8462462661474643,4.554732446265713,4.233254950611789,0.5638301470346132,4.270638349425562,2.2527847280385456,-0.6196599114298958,2.3364540305165455,1.4609064404982517,-0.8682745825602871,1.6994553182150782,1.0097419586828951e-28,0.0,1.0097419586828951e-28
