frame,ball_x,3269_x,3270_x,3271_x,11005_x,12132_x,14856_x,19900_x,19901_x,19902_x,20705_x,ball_y,3269_y,3270_y,3271_y,11005_y,12132_y,14856_y,19900_y,19901_y,19902_y,20705_y,stretch_index,Time [s],11005_vx,11005_vy,11005_speed,12132_vx,12132_vy,12132_speed,14856_vx,14856_vy,14856_speed,19900_vx,19900_vy,19900_speed,19901_vx,19901_vy,19901_speed,19902_vx,19902_vy,19902_speed,20705_vx,20705_vy,20705_speed,3269_vx,3269_vy,3269_speed,3270_vx,3270_vy,3270_speed,3271_vx,3271_vy,3271_speed
10,-35.114106251773926,-33.77952461094117,-40.01325254148851,-37.615763417815344,-18.6647776625768,-24.991877995207798,-50.1156462585034,-31.171117035015303,-36.37009047587153,-37.26670420442317,-12.937401553495832,28.479454918251903,9.73592895203037,3.9408087411318236,-6.658645557529806,-6.0950457040297685,4.66648991280535,-0.7142857142857094,18.200785657953322,19.559422887149495,25.36013833888575,7.374660275732569,29.988564070432027,0.5,-5.030155099579738,0.7789630882077323,5.090112358152634,-4.459375130419677,0.02334721352795808,4.4594362475749145,-0.034216515055537196,0.01371906518950012,0.03686438189119082,-4.090661289097609,-0.5842680623830075,4.132176055160586,-6.474746472317687,-4.059272918612587,7.641991789355173,-0.1005649904802145,2.9858799510819876,2.9875729948544616,-4.493536414911884,0.9370830656717566,4.590206333500481,-4.026296575306085,-0.7347530344308899,4.092789529639523,-2.994231049286518,0.020702962327038114,2.9943026215064767,-4.026839559159895,1.4829276027060294,4.291213244536155
11,-35.09440675813374,-33.96772045729019,-40.15102903170648,-37.805551597327195,-18.917039891430207,-25.2146128265704,-50.11765836174723,-31.36014789227198,-36.67567344095433,-37.26629405093031,-13.156924624744384,28.42458880889395,9.69901733750411,3.939268105041659,-6.590229411849716,-6.053334371762653,4.670141776572021,-0.7134789642258397,18.17355680570354,19.35978329558497,25.494005407363645,7.420439664970103,30.08697008071396,0.55,-5.041126336524967,0.8263503953534188,5.108405790137114,-4.446480226292216,0.07093417041740678,4.447045992492149,-0.03765968638187392,0.015099600051324507,0.04057400522614275,-3.790092690645962,-0.5455632646528332,3.8291568105036657,-6.126291726920181,-3.9909063527637807,7.311551397607826,0.0018160984854529855,2.68995989322766,2.6899605062876057,-4.392594010970038,0.9160325147008205,4.487092345071467,-3.7764755266569434,-0.7380692139842789,3.8479232799095944,-2.7679566353892984,-0.028423863070351003,2.768102572410836,-3.8074557582710806,1.3744611292679487,4.047945497046635
12,-35.07121471589754,-34.14373921619867,-40.27780247200533,-37.984662890995445,-19.169747726117293,-25.43649750270266,-50.11977806409501,-31.53438720824389,-36.96419947939886,-37.26092451727347,-13.371453890445832,28.37396949555955,9.661943990913711,3.9353308491499686,-6.527083134449881,-6.009450580387965,4.676120410560269,-0.7126290724515161,18.14823853784882,19.16360916927606,25.61339193604057,7.4651776449078575,30.17895933303859,0.6000000000000001,-5.050038453198645,0.8697995775046128,5.124396518987593,-4.429477121684826,0.11746957484872059,4.431034492366814,-0.039811668460864834,0.015962434339935293,0.042892519810505014,-3.4942618649507597,-0.5073515767511542,3.5309023780446043,-5.7851531941548515,-3.921597047651712,6.989057224260701,0.10100370176530764,2.4003490972083137,2.402473212387406,-4.292717900027522,0.8952043287048358,4.385067588914517,-3.532933777846015,-0.74130385526728,3.6098687627778725,-2.5478956370071364,-0.07635625910154686,2.5490395162460673,-3.59391804139932,1.2690637636628843,3.8113999691107896
13,-35.04467786412149,-34.30789485265851,-40.393883533160825,-38.153389603020976,-19.4227982106245,-25.657326613580533,-50.121940806084375,-31.694071871568834,-37.23603440183673,-37.25075527773692,-13.581042665250123,28.326440300784395,9.624712989172684,3.929056694925011,-6.469053269938637,-5.963591236155465,4.684373237147195,-0.7117619239914302,18.124806198897794,18.970947645185916,25.71861338800829,7.508885333794543,30.264668830262885,0.65,-5.056891449600584,0.9093106346612878,5.137995422667443,-4.408365816597453,0.16295342682193995,4.41137654165431,-0.040672461292449,0.016307568055374016,0.04381992564423652,-3.2031688120117647,-0.46963299867816277,3.2374134106864236,-5.451330874021614,-3.851345003276419,6.674568647659824,0.19699781935928834,2.117047563023797,2.126193435446858,-4.193908082084476,0.8745985076839293,4.284132065029794,-3.2956713288733996,-0.7444569582798874,3.378707692400972,-2.334048054139969,-0.1230942257665722,2.3372917035431517,-3.386226408544611,1.1667355058910516,3.581591968752413
14,-35.01494394186174,-34.46050133166163,-40.49958288594871,-38.312024037604616,-19.676088388938197,-25.876894749180018,-50.12408202825294,-31.83943877088465,-37.49154401889953,-37.23594600660496,-13.785744263807215,28.280844547104223,9.587328409194532,3.920505363835134,-6.415986362924343,-5.9159532453148245,4.694847678709841,-0.7109034038742253,18.10323513335895,18.7818458602777,25.809985226358496,7.551573849878938,30.34423731872989,0.7000000000000001,-5.06168532573107,0.9448835668234775,5.149122574922286,-4.383146311030035,0.20738572633691524,4.3880497289097,-0.04024206487664676,0.016135001197668607,0.043356222727366535,-2.9168135318291215,-0.4324075304337679,2.9486908030238275,-5.12482476652043,-3.7801502196378314,6.368152367097471,0.2897984512674562,1.8400552906741088,1.8627363246296549,-4.096164557140764,0.8542150516381265,4.184285773417169,-3.064688179739017,-0.7475285230221015,3.1545384023282472,-2.1264138867879008,-0.16863776306533312,2.1330904137087363,-3.1843808597069354,1.0674763559522682,3.358539448954711
15,-34.98216068817445,-34.60187261819995,-40.59521120114476,-38.46085849894723,-19.929515305044863,-26.09499649947715,-50.12613717113836,-31.970724794829177,-37.731094141218904,-37.216656378161886,-13.985612000767112,28.236025557054727,9.549794327892798,3.9097365773486197,-6.367728958015314,-5.866733514115814,4.707491157625357,-0.7100793971285743,18.083500685740933,18.59635095151458,25.887822914182983,7.593254311409795,30.417804886117978,0.75,-5.064420081589935,0.9765183739912484,5.157706747921397,-4.353818604982657,0.25076647339388003,4.3610343118658825,-0.0385204792134987,0.015444733766762921,0.041501411059911834,-2.6351960244027794,-0.39567517201795965,2.664735808439489,-4.805634871651421,-3.708012696735891,6.069883415584416,0.37940559748979097,1.5693722801593932,1.6145829062452255,-3.9994873251964282,0.8340539605673059,4.08552871407666,-2.839984330442929,-0.7505185494938615,2.9374800578549873,-1.9249931349508285,-0.21298687099780317,1.936740038524854,-2.988381394886354,0.9712863138466534,3.142263589320401
16,-34.94647584211577,-34.73232267726539,-40.68107914952469,-38.600185291249666,-20.182976002930882,-26.31142645444792,-50.12804167527825,-32.08816683204017,-37.95505057942642,-37.19304606669199,-14.18069919077974,28.190826653171605,9.51211482218099,3.896810056933787,-6.324127599819915,-5.816128948808135,4.722251096270809,-0.7093157887831151,18.065578200552252,18.414510055859704,25.95244191457347,7.633937836635872,30.48551262005161,0.8,-5.065095717177215,1.0042150561644445,5.163684973271929,-4.320382698455185,0.2930956679926539,4.330313121669952,-0.03550770430294392,0.014236765762658216,0.03825549064181637,-2.358316289732656,-0.35943592343065645,2.3855502311774637,-4.493761189414483,-3.634932434570766,5.779846315550477,0.46581925802635327,1.3049985314795063,1.3856438028266465,-3.9038763862514916,0.8141152344715229,3.9878608870083,-2.621559780985052,-0.753427037695294,2.72767813101339,-1.7297857986287926,-0.25614154956415974,1.7486473065060828,-2.7982280140828055,0.8781653795741158,2.932789534330814
17,-34.90803714274184,-34.85216547384983,-40.75749740186428,-38.73029671871277,-20.436367526582675,-26.52597920406831,-50.12973098121023,-32.192001771155496,-38.16377914415368,-37.16527474647956,-14.3710591484951,28.14409115799053,9.474293968972635,3.881785524058957,-6.285028832946512,-5.764336455641551,4.73907491702327,-0.7086384638665254,18.049443022301503,18.236370310276254,26.00415769062169,7.673635543805913,30.547502317064918,0.8500000000000001,-5.063712232492779,1.0279736133432087,5.167002160172462,-4.2828385914477805,0.3343733101332117,4.295871496090618,-0.03120374014500271,0.012511097185353861,0.03361846147309872,-2.0861743278189744,-0.323689784672112,2.1111367560515895,-4.189203719809659,-3.560909433142316,5.498136393098029,0.5490394328770216,1.0469340446344786,1.182165467550389,-3.809331740305935,0.7943988733508054,3.8912822922120767,-2.409414531365489,-0.7562539876263535,2.5253115605318763,-1.5407918778218335,-0.29810179876425075,1.569364295881684,-2.6139207172962897,0.7881135531346497,2.7301473383217383
18,-34.86699232910885,-34.96171497294522,-40.82477662893927,-38.85148508553742,-20.689586919986684,-26.73844933831433,-50.131140529471956,-32.28246650081295,-38.357645646032324,-37.133502091808886,-14.556745188563134,28.09466239404728,9.436335845181258,3.864722700192428,-6.250279202003387,-5.711552940865716,4.757910042259879,-0.7080733074074727,18.035070495497255,18.061978851727407,26.043285705419432,7.71235855116866,30.603916233534882,0.9,-5.060269627536879,1.0477940455273682,5.1676107695157185,-4.241186283960384,0.3745993998157563,4.257697242124669,-0.025608586739715684,0.01026772803487714,0.027590323553806757,-1.818770138661553,-0.2884367557420526,1.841499546388748,-3.891962462836948,-3.4859436924505927,5.224861265054596,0.6290661220418567,0.7951788196244132,1.0139198888867182,-3.715853387359798,0.7749048772051356,3.795792929688024,-2.203548581584118,-0.7589993992869282,2.330602162429121,-1.3580113725298713,-0.3388676185981332,1.3996521535205935,-2.435459504526847,0.7011308345282987,2.534373185881768
19,-34.823489140272926,-35.061285139543436,-40.883227501525404,-38.96404269592443,-20.94253122712932,-26.948631447161976,-50.13220576060104,-32.35979790965032,-38.537015895693926,-37.09788777696425,-14.737810625633854,28.04138368387752,9.398244527720358,3.8456813068025126,-6.21972525159894,-5.65797531073041,4.778703894357698,-0.7076462044345857,18.02243596464809,17.891382817176293,26.0701414220584,7.7501179769728905,30.654896871807516,0.9500000000000001,-5.054767902309322,1.0636763527171005,5.16547054289792,-4.195425775992984,0.413773937040044,4.215780629117216,-0.018722244087001624,0.00750665831121536,0.020171076883860363,-1.5561037222603293,-0.2536768366407114,1.5766454046108436,-3.6020374184962676,-3.4100352124956035,4.960142509515951,0.7058993255208582,0.5497328564491659,0.8947066956441994,-3.623441327412994,0.7556332460344856,3.7013927994360523,-2.0039619316410997,-0.7616632726771244,2.1438270369626267,-1.181444282752904,-0.37843900906580574,1.2405751395349789,-2.2628443757744567,0.6172172237550732,2.3455109827655916
