frame,ball_x,5_x,9_x,11_x,14_x,27_x,66_x,20703_x,20704_x,ball_y,5_y,9_y,11_y,14_y,27_y,66_y,20703_y,20704_y,11_vx,11_vy,14_vx,14_vy,20703_vx,20703_vy,20704_vx,20704_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,9_vx,9_vy,Time [s]
0,-35.08650842304128,-28.61596232823763,-27.49998338691686,-30.14764362587881,-35.08650842304128,-23.968754604735366,-17.8108843537415,-10.600000000000001,-5.55238095238094,29.516158835272563,0.03307170888912736,-14.72402601341236,18.40845477145373,29.516158835272563,-9.447581937823239,20.999999999999986,-15.999999999999996,6.857142857142862,,,,,,,,,,,,,,,,,0.0
1,-35.109860063449695,-28.871219221291735,-27.81424772916463,-30.766797787029414,-35.109860063449695,-24.298713936431646,-17.805090723405886,-10.853278103873865,-5.805659056254813,29.355207505142687,0.052885516662859684,-14.547801163926879,18.385174822088075,29.355207505142687,-9.367656062897687,21.000933025977197,-15.848520037554982,6.847675359490044,,,,,,,,,,,,,,,,,0.05
2,-35.128241764700554,-29.121039527622887,-28.118680248963454,-31.35121043115413,-35.128241764700554,-24.617749765961705,-17.800966040080503,-11.10141711198489,-6.053798064365823,29.210069745679363,0.07310568710889384,-14.378923394891958,18.35257096184469,29.210069745679363,-9.290379950064487,21.00159727903917,-15.70011365320948,6.83839996046845,,,,,,,,,,,,,,,,,0.1
3,-35.14180126584999,-29.36543539744745,-28.413485713669346,-31.901869579229597,-35.14180126584999,-24.926072250022315,-17.79836725116451,-11.344466597604118,-6.296847549985051,29.07958887941824,0.09370321040474863,-14.21723464461811,18.3112632068028,29.07958887941824,-9.21570680959504,21.002015796864345,-15.55475119830014,6.829314807036617,,,,,,,,,,,,,,,,,0.15000000000000002
4,-35.15068630595421,-29.604418980981837,-28.698868890638334,-32.41976325223247,-35.15068630595421,-25.223891545310362,-17.79715130405705,-11.582476134002562,-6.534857086383478,28.96260822889505,0.11464907672800564,-14.062576851415828,18.261871573041688,28.96260822889505,-9.143589851760773,21.002211617131177,-15.412403024163668,6.820418046153075,,,-0.1836103643303285,-2.385880109035564,-4.762173658809812,2.848149429263168,-4.7621736588097505,-0.17800933932898638,-5.964792173634124,1.4442107458284372,-4.780157679342126,0.41775693356713395,0.030041046184743028,0.004837912474450994,-5.715854233620396,3.0994783316249492,0.2
5,-35.15504462406932,-29.83800242844237,-28.97503454722642,-32.9058794711394,-35.15504462406932,-25.51141780852265,-17.797175146157194,-11.815495294451235,-6.767876246832176,28.857971116645487,0.13591427625621263,-13.914791953595667,18.2050160766406,28.857971116645487,-9.073982286833093,21.002207777518088,-15.273039482136683,6.8117078247764,-9.761845217204623,-1.112309284851796,-0.09307592454845802,-2.1390093435628286,-4.662366139814661,2.7884567870732107,-4.662366139814554,-0.1742785491920554,-5.758931532119189,1.3940228876962326,-4.6721549578652795,0.4241435976659821,0.005245262032269287,0.0008447148765355901,-5.531503826002557,2.9620204239830317,0.25
6,-35.1550239592515,-30.066197890045405,-29.242187450789643,-33.361206256927055,-35.1550239592515,-25.788861196356034,-17.798295724864076,-12.043573652221191,-6.995954604602109,28.764520865205284,0.1574697991668884,-13.773721889468083,18.14131673367876,28.764520865205284,-9.006837325083474,21.00202731570355,-15.136630923555876,6.803182289865087,-9.146056554818703,-1.2491862160663405,-0.005496265889714115,-1.9152721273761333,-4.563550086240003,2.729357118149938,-4.563550086239957,-0.17058481988439206,-5.557274024540806,1.3447708241356486,-4.5643952407159105,0.4299500653158548,-0.01668947010266209,-0.002687729152443451,-5.351248765505048,2.8277237501309465,0.30000000000000004
7,-35.150772050556895,-30.289017516007373,-29.500532368684,-33.78673163057203,-35.150772050556895,-26.05643186550731,-17.80036998757684,-12.266760780583436,-7.219141732964353,28.681100797110116,0.17928663563762426,-13.639208597343627,18.071393560235464,28.681100797110116,-8.942108176783286,21.001693269366044,-15.003147699757887,6.794839588377717,-8.550028311965798,-1.3736628256957724,0.07912861164590321,-1.7146684604752442,-4.465725498085804,2.6708504224934413,-4.465725498085715,-0.16692815140584166,-5.359819650899097,1.2964545551465787,-4.456878527893846,0.4351763365167658,-0.03576315021996988,-0.005759419612455677,-5.17508905212788,2.696588310068526,0.35000000000000003
8,-35.142436637041655,-30.506473456544583,-29.750274068265526,-34.18344361305103,-35.142436637041655,-26.314339972673363,-17.803254881694592,-12.485106252808997,-7.437487205189907,28.606554234895697,0.2013357758459534,-13.511094015532818,17.995866572389946,28.606554234895697,-8.879748052204006,21.001228676183985,-14.872560162079358,6.786677867272824,-7.973760488645818,-1.4857391137401925,0.16079870805847507,-1.5371983428602827,-4.368892375352087,2.61293670010375,-4.368892375352069,-0.16330854375647263,-5.166568411194023,1.2490740807289162,-4.349604819399094,0.4398224112686737,-0.05197577831958304,-0.008370356503379282,-5.003024685871031,2.5686141037957504,0.4
9,-35.130165457761954,-30.718577861873456,-29.99161731689022,-34.552330225340675,-35.130165457761954,-26.562795674550987,-17.806807354616435,-12.698659642168892,-7.651040594549809,28.539724501097716,0.22358820996944304,-13.389220082346126,17.915355786221472,28.539724501097716,-8.81971016161701,21.000656573835816,-14.744838661857,6.778695273508912,-7.417253084858845,-1.5854150801994793,0.23951402334794064,-1.3828617745312497,-4.273050718038838,2.5556159509808847,-4.27305071803884,-0.15972599693631545,-4.977520305425631,1.2026294008826506,-4.242574115231748,0.4438882895716062,-0.06532735440171472,-0.010520539825305618,-4.835055666734564,2.443801131312928,0.45
10,-35.114106251773926,-30.925342882210295,-30.224766881914103,-34.89437948841763,-35.114106251773926,-26.802009127837,-17.8108843537415,-12.90747052193415,-7.859851474315051,28.479454918251903,0.24601492818561665,-13.273428736094125,17.83048121780928,28.479454918251903,-8.761947715293738,20.999999999999986,-14.619953550427436,6.770889954044573,-6.880506100604738,-1.6726907250737255,0.31527455751432043,-1.2516587554882566,-4.178200526146146,2.498888175124796,-4.1782005261461235,-0.15618051094528393,-4.792675333593845,1.1571205156080617,-4.13578641539185,0.44737397142561863,-0.07581787846627361,-0.012209969578265145,-4.67118199471843,2.322149392619681,0.5
11,-35.09440675813374,-31.12678066777152,-30.449927530693195,-35.21057942325851,-35.09440675813374,-27.03219048922827,-17.815342826468903,-13.111588465375792,-8.063969417756702,28.42458880889395,0.2685869206720415,-13.163561915087316,17.74186288323262,28.42458880889395,-8.706413923505652,20.999281992354994,-14.497875179127355,6.76326005583831,-6.363519535883718,-1.7475660483629083,0.3880803105575937,-1.1435892857311203,-4.084341799673885,2.4427533725354973,-4.084341799673905,-0.1526720857834286,-4.6120334956987605,1.1125474249048088,-4.029241719879225,0.4502794568306414,-0.08344735051313786,-0.013438645762288304,-4.511403669822604,2.2036588877162138,0.55
