frame,ball_x,5_x,10_x,11_x,14_x,27_x,66_x,68_x,7621_x,ball_y,5_y,10_y,11_y,14_y,27_y,66_y,68_y,7621_y,10_vx,10_vy,11_vx,11_vy,14_vx,14_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,68_vx,68_vy,7621_vx,7621_vy
19,19.99381848899936,29.526850465975112,15.439122348290299,30.332394698496525,27.690906145790294,23.558885869763436,20.0904700328728,7.7071265684938375,19.764439419814632,-8.43841813682343,18.44526347193296,16.063276723493466,10.783432201496465,-3.3891023423012743,10.550904300221015,-27.499927765812295,0.06372144847891605,31.92202654669579,4.427168537681212,-2.2765361126990404,-0.3881946407366143,-1.8573803285470238,0.2356931886698987,-2.284937481320071,1.5184553696383416,-0.843741059005626,-0.7805735911429473,-2.9271100044858187,3.9004036684384635,2.170488131187013,1.931492312260828,-0.9136090292108591,0.8684129118245005,-0.6894693488933255
20,20.29995799019049,29.492494518745104,15.666191807070435,30.3225030014372,27.701974007978613,23.63046013011123,20.283722045607334,7.804370955861439,19.813995696045176,-9.471785506905796,18.297948170429823,15.945275551856405,10.688565329137441,-3.5012413851374387,10.510953384922438,-27.38339062749682,0.01759869491629672,31.883063009571213,4.535035830698755,-2.3556235371819807,-0.20795630155616002,-1.8939978152621244,0.22215585360602363,-2.257862121108455,1.4450220650362917,-0.8059793779313953,-0.6865433723945507,-2.942903538889903,3.8727599882984753,2.313133739835616,1.944977527787456,-0.9225143602190515,0.9842977691363124,-0.7742741741448759
21,20.596378777058057,29.462854471757662,15.89849579687885,30.32137016232767,27.712384968659737,23.69870114668092,20.475784867675074,7.9022918485162705,19.869175521254498,-10.472347563652185,18.149928254485808,15.82343000638418,10.591951073240619,-3.6124036915726516,10.472716526878592,-27.260161434410758,-0.02897080742089713,31.839984145392688,4.639726451264226,-2.432511013885353,-0.03277914256053878,-1.9289454860180852,0.20901782346187348,-2.238327393089464,1.3783571894746718,-0.7716982328371862,-0.5922253675434266,-2.956995827707586,3.848976174962297,2.4469748352474485,1.9585076335319451,-0.9314493357106111,1.0967687487105995,-0.8565807152230824
22,20.883080849602123,29.437944714317904,16.13587548409292,30.32874312215868,27.722158993079635,23.763947340924553,20.666851492416185,8.000891490969193,19.929808201555623,-11.440104307062668,18.001288786380226,15.697850084465765,10.49367292460398,-3.7229662932165457,10.436019699290442,-27.130680412215952,-0.07598854075682765,31.792914868368978,4.741240399377672,-2.5071985428091383,0.13733683625024,-1.9622233408150032,0.1962790982375192,-2.226333297262945,1.3184607429534623,-0.7408976237228717,-0.49761957658939227,-2.9693868709389397,3.829052228429889,2.572011417422218,1.9720826294938758,-0.9404139556855796,1.2058258505472708,-0.9363889721277122
23,21.160064207822657,29.417779635731016,16.37817203509008,30.344368821920966,27.73131604648431,23.826537134294135,20.857114913170868,8.100172127731096,19.99572304306168,-12.375055737137162,17.852114828392388,15.568645783490147,10.393814374025425,-3.833306221678741,10.400688875359,-26.995387786574263,-0.12345598731568601,31.741980092708673,4.839577675039192,-2.5796861239531763,0.302391634876236,-1.9938313796528007,0.18393967793283902,-2.2218798336289947,1.265332725472693,-0.7135775505886548,-0.402725999532661,-2.980076668583992,3.81298814870135,2.6882434863602964,1.985702515673558,-0.9494082201438735,1.3114690746463862,-1.0136989448589062
24,21.427328851719658,29.402373625302047,16.625226616247712,30.36799420260531,27.739876094119733,23.886808948241715,21.04676812327932,8.200136003312894,20.06674935188584,-13.277201853875724,17.702491442801627,15.435927100846289,10.292458912302935,-3.9438005085688745,10.366550028285282,-26.854723783147502,-0.17137462932162947,31.687304732620486,4.934738278248669,-2.649973757317687,0.4623852533173687,-2.0237696025314778,0.1719995625479242,-2.224967002187617,1.2189731370323333,-0.689738013434383,-0.3075446363731412,-2.9890652206426327,3.80078393577662,2.795671042061381,1.9993672920709895,-0.9584321290854929,1.4136984210080474,-1.0885106334166748
25,21.684874781293125,29.391741072336238,16.876880393943225,30.399366205202483,27.747859101231906,23.945101204219277,21.236004116081716,8.300785362225415,20.14271643414119,-14.146542657278355,17.552503691887242,15.29980403392319,10.18969003023447,-4.054826185496541,10.33342913127028,-26.70912862759754,-0.21974594899881056,31.62901370231309,5.026722209006121,-2.7180614429026098,0.6173176915735568,-2.0520380094510866,0.16045875208271398,-2.2355948029387642,1.1793819776323131,-0.6693790122601785,-0.21207548711083332,-2.996352527114974,3.792439589655741,2.8942940845256047,2.0130769586860193,-0.9674856825105212,1.5125138896318897,-1.1608240378009678
26,21.932701996543095,29.38589636613868,17.132974534554016,30.438231770703208,27.755285033066787,24.00175232367888,21.425015884918274,8.402122448979583,20.223453595940867,-14.983078147345013,17.402236637928564,15.160386580109854,10.085591218617985,-4.166760284071422,10.301152157514986,-26.55904254558619,-0.2685714285714397,31.567231915995173,5.115529467311593,-2.7839491807078782,0.7671889496449626,-2.078636600411713,0.14931724653731998,-2.253763235882486,1.146559247272774,-0.6525005470659193,-0.11631855174563557,-3.0019385880009244,3.78795511033853,2.984112613752997,2.026831515518731,-0.9765688804189581,1.6079154805182478,-1.2306391580118763
27,22.170810497469496,29.384853896014505,17.39335020445747,30.48433784009828,27.762173854870387,24.057100728072548,21.61399642312915,8.504149508086286,20.308790143397992,-15.786808324075748,17.2517753432049,15.017784736795214,9.980245968251424,-4.279979835903105,10.269545080220404,-26.404905762775336,-0.3178525502636259,31.502084287875377,5.201160053165058,-2.847636970733575,0.9119990275315972,-2.103565375413176,0.13857504591152905,-2.279472301018733,1.120504945953595,-0.6391026178516263,-0.020273830277750822,-3.0058234033005258,3.7873304978253137,3.06512662974353,2.0406309625691126,-0.9856817228107211,1.6999031936671225,-1.2979559940492085
28,22.3992002840724,29.38862805126887,17.657848570030993,30.537431354378416,27.768545531888687,24.11148483885223,21.803138724054584,8.606868784056378,20.39855538262566,-16.557733187470514,17.101204869995566,14.872108501368267,9.873737769932738,-4.394861872601219,10.23843387258753,-26.247158504826796,-0.3675907962995797,31.43369573216235,5.283613966566544,-2.90912481297956,1.0517479252334185,-2.1268243344555273,0.1282321502055238,-2.3127219983474827,1.101219073674886,-0.62918522461741,0.0760586772930744,-3.0080069730137646,3.7905657521157927,3.13733613249722,2.0544752998372378,-0.9948242096858508,1.7884770290783898,-1.3627745459130434
