frame,ball_x,1475_x,1802_x,3006_x,3007_x,3340_x,4286_x,4287_x,4288_x,4289_x,4290_x,4291_x,ball_y,1475_y,1802_y,3006_y,3007_y,3340_y,4286_y,4287_y,4288_y,4289_y,4290_y,4291_y,1475_vx,1475_vy,1802_vx,1802_vy,3006_vx,3006_vy,3007_vx,3007_vy,3340_vx,3340_vy,4286_vx,4286_vy,4287_vx,4287_vy,4288_vx,4288_vy,4289_vx,4289_vy,4290_vx,4290_vy,4291_vx,4291_vy,Time [s]
0,-18.53197278911565,47.66394557823131,18.964625850340134,15.9360544217687,14.061224489795913,18.09931972789117,0.9388901259379326,6.465604642234901,-9.013605442176871,-10.414687341549055,-1.0816326530612348,-2.6680272108843575,13.142857142857146,5.0000000000000036,23.571428571428562,11.571428571428566,-1.5714285714285683,-19.0,-19.302827502989647,2.4156369705409437,-5.285714285714279,4.986064577133598,15.71428571428572,24.7142857142857,,,,,,,,,,,,,,,,,,,,,,,0.0
1,-18.143824404761894,47.6478021462724,19.00238539849775,15.872382996190922,14.00761210246657,18.070711977576106,0.9695068322498801,6.479317344373994,-8.92813153079448,-10.450480122604798,-1.0872897748415313,-2.8085048314076477,13.06891741071428,5.016195842025119,23.53087118328118,11.568924239169858,-1.5774186483678503,-19.015535022257602,-19.305830920926518,2.4174787789510557,-5.111975845455487,5.1570250668105855,15.716405542588962,24.593422016943368,,,,,,,,,,,,,,,,,,,,,,,0.05
2,-17.776181972789104,47.63811608709706,19.046673780453567,15.831295787102755,13.972920860545157,18.051744606298648,1.0038243440591736,6.492961847388861,-8.8432843068609,-10.49101037640698,-1.0906840479097335,-2.942416346641192,12.998883928571434,5.025913347240189,23.489393893249876,11.567064496957496,-1.5813698373885565,-19.025927464183606,-19.30454667506879,2.4193114272613294,-4.938391904017696,5.3313783176169975,15.717677439570927,24.47415364138865,,,,,,,,,,,,,,,,,,,,,,,0.1
3,-17.42904549319728,47.633964918879,19.096558305664956,15.810596604199093,13.955349103803306,18.04168424601356,1.0414598922849807,6.506332938387285,-8.759053807705744,-10.535601321134742,-1.0921387363675374,-3.0699879802711543,12.932756696428566,5.03007799233236,23.44712811588953,11.56588481151952,-1.5834458571729524,-19.031529327049846,-19.299266975176018,2.421107352499369,-4.7650463711711515,5.508639649391509,15.718222538277473,24.357040961040095,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002
4,-17.10241496598637,47.634426159792135,19.151106283589314,15.808089257174778,13.95309517201273,18.039797528675606,1.0820307078464757,6.519225404477077,-8.67543007065862,-10.583576174967096,-1.0919771043166628,-3.1914459559835717,12.870535714285717,5.029615253988788,23.40420526575498,11.565420649584071,-1.5838104264032498,-19.032692612128198,-19.290284031007825,2.4228389916927484,-4.592023156686107,5.688324381972759,15.718161971754524,24.242644349316265,-0.027674454786798766,0.02776430061449072,1.0536519367833819,-0.853200420497576,-0.1379945526911592,-0.0078645695863904,-0.11714504494551342,-0.01384013189591725,-0.0670690685672883,-0.037345752441564975,0.7961055479984266,0.16797049298002006,0.2496408061060506,0.033530264971073365,1.6728732477571888,3.45710789889149,-0.9324258038101363,3.5743074451711743,-0.009697923051919287,0.0036339913769976666,-2.4382084616925783,-2.2655172977341813,0.2
5,-16.79629039115646,47.63857732801013,19.209385023684057,15.821577555724701,13.964357404945037,18.04535108623962,1.1251540216629168,6.531434032765963,-8.59240313304922,-10.634258156083142,-1.090522415858889,-3.307016497464601,12.812220982142858,5.025450608896622,23.36075675740103,11.565707477879172,-1.5826272637617185,-19.029769320690523,-19.277890052323798,2.4244787818690616,-4.4194061703327785,5.869947835199413,15.717616873047989,24.131524179635726,0.04612409131118917,-0.046273834357471844,1.1282671801910737,-0.863713584885011,0.18191835879365315,0.0071552350248792005,0.15317824951240866,0.017114505540805708,0.08173642947161242,0.0443857778788624,0.8471555130969602,0.2361911832965343,0.23596405008790705,0.0316932846296325,1.660937259003745,3.448983336256922,-0.9865683494839317,3.6130818580789956,0.016163205086561532,-0.006056652295001186,-2.3204597770642934,-2.1999884568684838,0.25
6,-16.510671768707486,47.64549594170684,19.270461835406586,15.848865309543754,13.987334142371896,18.057611550660358,1.1704470646534788,6.542753610361661,-8.509963032207073,-10.686970482661955,-1.0880979350958744,-3.4169258284002932,12.757812499999998,5.018509533742992,23.31691400538257,11.566780763132895,-1.5800600879306144,-19.023111454008696,-19.262377248883546,2.4259991600558823,-4.247279321881415,6.053025328910098,15.716708375203728,24.024240825417024,0.10147300088450249,-0.10180243558644568,1.1842286127467867,-0.8715984581755264,0.4579074641760579,0.022884374197609247,0.3874683394034559,0.044794769332570414,0.21587456660615853,0.11907728276212434,0.8905500965793354,0.29856767842120335,0.2181830362251854,0.029305044839942337,1.6492005236578728,3.4391805782176923,-1.0271752587393783,3.6421626677599583,0.035559051190574564,-0.013324635049067574,-2.2072355661581153,-2.1232521476316077,0.30000000000000004
7,-16.24555909863944,47.654259519055934,19.333404028214318,15.887756328326795,14.020223724064984,18.07584555389262,1.217527067737382,6.5529789243720185,-8.428099805461855,-10.741036372882602,-1.0850269261294065,-3.52140017247676,12.707310267857146,5.009717505215075,23.27280842425441,11.56867597207333,-1.5762726175921393,-19.013071013354548,-19.24403783044664,2.4273725632808194,-4.075726521102258,6.237072182943509,15.71555761126767,23.921354660078737,0.13837227393360813,-0.1388215030723978,1.2215362344506224,-0.8768550403692643,0.6899727634558367,0.039322847931850494,0.5857252247277853,0.06920065947958497,0.3353453428364414,0.186728762208099,0.9262892984459192,0.3550999783538547,0.19629776451774866,0.02636554560195847,1.6376630417196278,3.427699624773564,-1.0542465315761669,3.6615498742138746,0.0484896152599225,-0.018169956885054312,-2.098535828973759,-2.035308370023543,0.35000000000000003
8,-16.000952380952388,47.66394557823131,19.397278911564626,15.9360544217687,14.061224489795913,18.09931972789117,1.2660112618338162,6.561904761904762,-8.34680349014317,-10.795779044924174,-1.0816326530612348,-3.6206657533801505,12.660714285714283,5.0000000000000036,23.228571428571428,11.571428571428566,-1.5714285714285683,-19.0,-19.22316400677273,2.428571428571427,-3.9048316777655643,6.421603717138234,15.714285714285712,23.8234260570394,0.1568219104580188,-0.15733103681543475,1.24019004530254,-0.8794833314661636,0.8781142566331619,0.05647065622749128,0.747948905485108,0.09033217598157274,0.440148758162471,0.24734021621674573,0.954373118696518,0.40578808309448827,0.17030823496551808,0.0228747869157215,1.6263248131888575,3.414540475924674,-1.0677821679947133,3.671243477440844,0.05495489729456411,-0.020592617803027378,-1.9943605655116154,-1.93615712404433,0.4
9,-15.77685161564626,47.673631637406636,19.461153794914942,15.991563399564376,14.108534779336367,18.127300704610803,1.315516877861941,6.5693259100676755,-8.266064123580644,-10.850521716965762,-1.0782383799930324,-3.7149487947965323,12.618024553571429,4.990282494784933,23.18433443288844,11.575074027926659,-1.5656916681221569,-18.984250415216863,-19.200047987621367,2.4295681929553092,-3.7346787016415033,6.606135251332983,15.713013817303754,23.731015389717587,0.1568219104580797,-0.1573310368154347,1.2401900453025299,-0.8794833314661228,1.022331943708049,0.0743277990845925,0.8741393816755707,0.10818931883874057,0.5302848125842679,0.3009116447881966,0.9748015573311966,0.45063199264316506,0.14021444756863333,0.018832768781218735,1.6151858380658162,3.399703131671033,-1.0677821679946624,3.671243477440828,0.05495489729458695,-0.020592617803144107,-1.894709775771382,-1.8257984096939386,0.45
