frame,ball_x,19_x,698_x,911_x,1025_x,10051_x,10052_x,10053_x,11235_x,11236_x,11237_x,ball_y,19_y,698_y,911_y,1025_y,10051_y,10052_y,10053_y,11235_y,11236_y,11237_y,stretch_index,Time [s],10051_vx,10051_vy,10051_speed,10052_vx,10052_vy,10052_speed,10053_vx,10053_vy,10053_speed,1025_vx,1025_vy,1025_speed,11235_vx,11235_vy,11235_speed,11236_vx,11236_vy,11236_speed,11237_vx,11237_vy,11237_speed,19_vx,19_vy,19_speed,698_vx,698_vy,698_speed,911_vx,911_vy,911_speed
10,5.898115681080794,21.105764872123352,5.535998717810669,9.034675554972118,5.898115681080794,3.702561287971473,-2.3098508761706196,1.7553714910943752,-9.194931995815875,-10.58857404778032,-11.934399948386172,-31.5276078019922,-21.93164108896697,-11.351305151593635,-24.144589254116447,-31.5276078019922,-32.1902955351188,-30.60298515589622,-24.73723658454024,-29.611191713425722,-1.3615785163240768,-15.494340919891197,18.82881737892937,0.5,1.6436041947706113,0.6723093636692364,1.7757912685743453,0.002622924045496692,0.0016409554604227307,0.0030939401047104824,0.002358548416115769,-0.012102623796366181,0.012330298187291788,2.8815497602149875,-1.886324405841344,3.4440599275662658,-1.7280758318517846,-0.12013445258593793,1.7322466242796837,-0.00033559042155470106,-6.04408134887071e-05,0.0003409897696037795,-0.0003737256968605572,-0.00016621223716230434,0.00040902005363601334,-0.0463157885429715,-0.1630192419967967,0.1694710167833055,-0.8683120796745061,-0.12082770580874529,0.8766785056106203,-0.10776341121705,0.12663512185867937,0.1662811080228226
11,6.043703791491767,21.106292436446083,5.5084288382668145,9.038436523261101,6.043703791491767,3.784289593882074,-2.3067002679275026,1.7583470773232717,-9.274282606029598,-10.5860886617909,-11.931632132170698,-31.602510378427162,-21.93867131156045,-11.354015237456457,-24.134017234139478,-31.602510378427162,-32.157723519695736,-30.601014070302234,-24.733489098630738,-29.614553527766247,-1.3611308910601183,-15.493109950415311,18.844904411438854,0.55,1.6348627240448783,0.6519742391480827,1.7600700369542575,0.05998104989437787,0.03752538374726553,0.0707522492349988,0.05664706400369009,0.07109684374535769,0.09090462612425161,2.908198205835468,-1.5192892130406628,3.2811364673366374,-1.5938625935008788,-0.06980514904081964,1.5953904618600296,0.04727749621458545,0.008514814927138249,0.048038148606743346,0.05264993896630136,0.023415741049745965,0.057622157214599456,0.009283487301589462,-0.13639641750163126,0.13671198134676446,-0.5680594756308035,-0.05283857659388199,0.5705115976300665,0.06979787783649263,0.2031853413816467,0.21483953710351888
12,6.190535224124185,21.10956826958221,5.495455041806316,9.050940018804233,6.190535224124185,3.86558824140223,-2.3007575312661466,1.763965472817194,-9.347093814056425,-10.581283377059023,-11.926280792355662,-31.65959213733062,-21.944265192069963,-11.353291788341966,-24.119824079640253,-31.65959213733062,-32.126154912231534,-30.59729617149719,-24.725677961205253,-29.615463098485293,-1.3602654452679135,-15.490729974486776,18.860900347742604,0.6000000000000001,1.6262695562355551,0.6319060799702112,1.7447228901581788,0.11582361825913629,0.07246164796751284,0.13662284206093023,0.10950324930421158,0.15236987406455327,0.1876367238325913,2.933064650263643,-1.1628728624110147,3.1551769422265643,-1.4630745497635036,-0.02076027661088019,1.4632218311830367,0.09367547106401326,0.016871225491809562,0.09518262514062255,0.10432041095764283,0.046395870102376856,0.11417234737416987,0.06424886356964321,-0.10766957582267722,0.12538203231653994,-0.2761378139640413,0.0158321229520959,0.27659130213730465,0.24464842291805622,0.27560803182516175,0.3685276625205108
13,6.33852087891839,21.11556067655292,5.49666078131032,9.072050504402803,6.33852087891839,3.9464646456777133,-2.29209844406072,1.7721550610617856,-9.413536879627063,-10.574218949174,-11.918413588574612,-31.69938402081111,-21.948317529636334,-11.34910072573363,-24.10221616707286,-31.69938402081111,-32.09557636445909,-30.591878867684475,-24.71389949412494,-29.613984647138558,-1.358993121206301,-15.487231083317322,18.876800314836235,0.65,1.6178246913426755,0.6121048861354185,1.7297482832912066,0.17015062913986054,0.10644974812130668,0.2007057185826552,0.1609271043175513,0.2317164671612204,0.28211709281379777,2.9561490934997,-0.8170753539523696,3.0669903157713896,-1.335711700639511,0.02700016470402237,1.3359845643267512,0.1388583341264241,0.025008790880430683,0.14109243983171724,0.1546376902771789,0.06877417492114646,0.16924155042525804,0.11858034026112868,-0.0768387169598128,0.1412992764329502,0.007452905325803075,0.08518439282924917,0.08550980399628584,0.4167882240276758,0.34390319318934603,0.540353430611829
14,6.487571655814794,21.12423796237939,5.511629509659918,9.101632442858257,6.487571655814794,4.0269262218543815,-2.280798784185496,1.7828442255426813,-9.473783062472155,-10.564956133725238,-11.90809818046116,-31.722416970977264,-21.95072312340037,-11.341407971114855,-24.08139987289121,-31.722416970977264,-32.06597452811122,-30.58480956706738,-24.69825001925092,-29.610182395281853,-1.3573248611340545,-15.482643368118623,18.892603317731563,0.7000000000000001,1.6095281293662245,0.5925706576437659,1.7151445372100578,0.222962082536467,0.13948968420846436,0.263000878800006,0.2109186290436878,0.3091366230353794,0.3742353801812264,2.9774515355435955,-0.4818966876650521,3.016196622253507,-1.2117740461290891,0.07347617490369525,1.2139996240322903,0.1828260854019601,0.032927511092972435,0.18576759268016216,0.20360177692491474,0.09055065550565895,0.22282976636770785,0.17227791737626924,-0.04390384091323084,0.17778421769785677,0.2827126822384075,0.1552182330375931,0.3225200157598708,0.5862172811651027,0.4080708254739459,0.7142636063384391
15,6.6375984547537605,21.135568432082774,5.539944679736331,9.139550296972006,6.6375984547537605,4.10698038507804,-2.266934329514652,1.7959613497455402,-9.528003622322423,-10.553555686302001,-11.895402227648951,-31.729221929937594,-21.951376772502915,-11.330179445969124,-24.05758157354931,-31.729221929937594,-32.03733605492076,-30.57613567784928,-24.678825858444316,-29.604120564470946,-1.355271607309979,-15.47699692010242,18.908311916303294,0.75,1.6013798703061801,0.5733033944954562,1.7009098362822912,0.2742579784490167,0.17158145622935145,0.32350832271322816,0.25947782348277026,0.3846303416870915,0.4639711635712767,2.9969719763953506,-0.15733686354851417,3.0010991179783346,-1.0912615862319541,0.11866775398836182,1.0976948052269007,0.22557872489068742,0.04062738612958773,0.22920808368604947,0.2512126709011144,0.11172531185631535,0.2749369952019235,0.22534159491489247,-0.008864947682708027,0.2255159012047812,0.5496415167741986,0.2259336435770568,0.5942657724131907,0.7529355943306878,0.46811092867954024,0.8865888848611445
16,6.788512175675719,21.149520390684245,5.581189744420691,9.18566852954542,6.788512175675719,4.186634550494536,-2.2505808579223547,1.81143481715599,-9.576369818908475,-10.54007836249369,-11.880393389771525,-31.720329839800613,-21.950173276084694,-11.315381071779859,-24.030967645501097,-31.720329839800613,-32.00964759662057,-30.56590460823345,-24.655723333566257,-29.59586337626154,-1.3528443019928635,-15.470321830480355,18.923931919435027,0.8,1.593379914162452,0.5543030966901951,1.6870422264592795,0.3240383168774257,0.20272506418349068,0.38222805032199736,0.30660468763460624,0.4581976231162445,0.5513179629840574,3.014710416054778,0.15660411839681776,3.0187752057031374,-0.9741743209484051,0.1625749019576667,0.9876468024257614,0.26711625259247895,0.04810841599002722,0.27141391284920996,0.2974703722053716,0.13229814397266385,0.32556323692735023,0.2777713728770489,0.02827796273154244,0.27920705357538345,0.8082394089328964,0.2973306244477567,0.8611947761027644,0.9169431635240952,0.5240235028054485,1.0561180789220812
17,6.940223718521053,21.166062143205046,5.6349481565941115,9.239851603379904,6.940223718521053,4.265896133249652,-2.231814147282856,1.829193011259666,-9.619052911961056,-10.524584917889634,-11.863139326462452,-31.69627164267497,-21.9470074332866,-11.296978770030478,-24.001764465200566,-31.69627164267497,-31.98289580494348,-30.554163766423258,-24.62903876647786,-29.58547505220943,-1.3500538874415364,-15.462648190464217,18.939472094998216,0.8500000000000001,1.5855282609352819,0.5355697642281447,1.6735396136870648,0.3723030978217119,0.23292050807120698,0.43916006162650123,0.3522992214994115,0.5298384673229505,0.6362731669057125,3.030666854522216,0.4599262581710968,3.0653668207989155,-0.8605122502782132,0.20519761881188409,0.8846396982076611,0.3074386685073754,0.05537060067451297,0.31238508016972294,0.3423748808377982,0.15226915185512574,0.37470849154426145,0.3295672512626981,0.0675248903296628,0.3364137094692833,1.0585063587145909,0.3694091756496475,1.1211150032415829,1.0782399887455998,0.5758085478521785,1.2223571315739707
18,7.09264398323014,21.185161994666295,5.700803369137784,9.301963981276842,7.09264398323014,4.344772548489237,-2.2107099754703468,1.8491643155422413,-9.656224161210782,-10.507136108079159,-11.843707697355308,-31.657578280669142,-21.9417740432494,-11.274938462204487,-23.97017840910164,-31.657578280669142,-31.957067331622326,-30.54096056062196,-24.598868479040256,-29.57301981387032,-1.3469113059147626,-15.454006091265601,18.954943894313605,0.9,1.5778249106245823,0.5171033971093969,1.6603997626745042,0.4190523212820299,0.2621677878923683,0.4943043566268007,0.3965614250770364,0.5995528743071483,0.7188355952156885,3.0448412917973626,0.7526295557743521,3.13648047028183,-0.7502753742215112,0.2465359045511052,0.7897424196509013,0.34654597263551373,0.06241394018307033,0.35212158564772783,0.3859261967985057,0.17163833550340662,0.4223727590526394,0.3807292300718197,0.10887583511160209,0.3959907752742851,1.3004423661194078,0.44216929718268305,1.373558893884522,1.2368260699949878,0.6234660638195169,1.38508074138436
19,7.245683869743357,21.206788250089176,5.77833883493283,9.371870126037667,7.245683869743357,4.423271211359088,-2.1873441203590476,1.8712771134893063,-9.688054826388367,-10.487792688651655,-11.822166162083782,-31.604780695891733,-21.934367905113923,-11.249226069785252,-23.936415853658346,-31.604780695891733,-31.932148828389966,-30.52634239903297,-24.565308793114568,-29.55856188280011,-1.343427499671404,-15.444425624096343,18.970361189854724,0.9500000000000001,1.5702698632302432,0.4989039953337379,1.647620296041868,0.4642859872582935,0.2904669036471675,0.547660935322925,0.439391298367498,0.667340844068848,0.7990047028920406,3.0572337278803716,1.0347140112066655,3.227585963514636,-0.6434636927781816,0.2865897591752083,0.7043998963570608,0.38443816497667566,0.06923843451556418,0.39062342928298577,0.42812432008764634,0.19040569491774503,0.46855603945271995,0.4312573093046064,0.15233079707748226,0.457370242327712,1.534047431147114,0.5156109890470006,1.618380737970854,1.3927014072724266,0.6669960507074432,1.5441829365324315
