frame,ball_x,1634_x,1635_x,1636_x,3837_x,4777_x,5201_x,5566_x,10054_x,10055_x,11234_x,12853_x,ball_y,1634_y,1635_y,1636_y,3837_y,4777_y,5201_y,5566_y,10054_y,10055_y,11234_y,12853_y,10054_vx,10054_vy,10055_vx,10055_vy,11234_vx,11234_vy,12853_vx,12853_vy,1634_vx,1634_vy,1635_vx,1635_vy,1636_vx,1636_vy,3837_vx,3837_vy,4777_vx,4777_vy,5201_vx,5201_vy,5566_vx,5566_vy,Time [s]
10,5.898115681080794,20.29399604027298,21.177929337361917,14.430044203406155,9.402388166906388,44.34654412753797,5.677760555297586,4.1694278163124565,0.3639191527536658,1.124682572165558,-6.553525714291581,-7.988011817421554,-31.5276078019922,-6.123107385022977,-25.080337248639538,-33.32870620961576,12.257266694917536,-2.3941356194490386,-15.096042886919598,-32.640940303462,-19.139919137063277,-27.772281537935193,-29.466848036257588,-8.387290461805458,-0.6076917882076452,0.9537925638367183,0.0027609726793974138,0.001777701748823442,-0.6853135891158121,-0.0680500479964812,-0.3896840479274972,-0.0950173005106387,-0.12438542839870845,-0.14005244270869355,0.0225071004030448,0.3198786440304551,-0.2554222410397752,-0.11403266000203065,-0.01675427404123299,-0.018613088764978566,0.00013633387335890493,0.0163632879818871,-0.4636842465407196,0.26245298434702646,1.9213331382269163,0.2849722155027377,0.5
11,6.043703791491767,20.28901558511813,21.18480817417626,14.412775379114308,9.409660912324142,44.34826749673153,5.66861459971523,4.280094661183941,0.33974080456470734,1.1279990018951374,-6.582917483441706,-8.002710458339564,-31.602510378427162,-6.1339475652139415,-25.05039128334297,-33.32338161022996,12.253562103563345,-2.392635268486061,-15.081111025701617,-32.62191053036841,-19.091970542320315,-27.770146195208355,-29.46707567631817,-8.390874455527138,-0.4897971565774975,0.9587119288863426,0.06313794725717943,0.04065249905949029,-0.5925691592741877,-0.007636380321847432,-0.2986207859983177,-0.07281319600544629,-0.0967726497490925,-0.20850509375821902,0.1312316450927702,0.5749050087971697,-0.33268205955223035,0.09944306701460234,0.13808711975206572,-0.07078024346574703,0.032788264882697135,0.028809331945963523,-0.19788676970133168,0.2964570816639065,2.1863727151253514,0.37880253959156907,0.55
12,6.190535224124185,20.285486680229475,21.19696461094526,14.391960924553988,9.424491532716502,44.35158148450077,5.672384326523506,4.403339380342741,0.3213014331373442,1.1342545141702862,-6.607790375506546,-8.012972135352058,-31.65959213733062,-6.148002915205859,-25.00829435723641,-33.307559447510876,12.247331944064591,-2.390542557507713,-15.064533463185182,-32.598234064127375,-19.04378247847416,-27.766118471502903,-29.464359722472743,-8.393376577062838,-0.3750176213464062,0.9635013109491147,0.1219195981675725,0.0785001186314308,-0.5021916175684054,0.05123549779722025,-0.2098815078884922,-0.05117575228631717,-0.06774164442550806,-0.27280848977731864,0.23678364418537567,0.8179242249966125,-0.4035946649226574,0.30939433368031044,0.28924461924377565,-0.12129160635766366,0.06460063639843434,0.040656532252990124,0.06042687811070084,0.3293711076326947,2.4379302008714214,0.4717364025400579,0.6000000000000001
13,6.33852087891839,20.28348023694066,21.21424002038902,14.367918200382235,9.446695833368388,44.35644411287119,5.688695544271015,4.538487869231242,0.30844528365154955,1.1433693428075378,-6.628262734892886,-8.018913047650027,-31.69938402081111,-6.165065972247195,-24.954646827748242,-33.281415944476,12.238659006011668,-2.3878874286968648,-15.0463647029377,-32.56995572779594,-18.995361444674195,-27.760249725705794,-29.45877726419915,-8.394825159451887,-0.2633531825146069,0.9681607100250844,0.1791059254104026,0.11532056046473622,-0.41418096399843707,0.1085655863608232,-0.12346621359773885,-0.030104969353276688,-0.03729241242808711,-0.3329626307658298,0.33916309768066805,1.048936292628844,-0.4681600571509544,0.5158211399952961,0.436718224433749,-0.17014717744079427,0.0955734484202253,0.05190488890327265,0.3112566968953827,0.36119506225352277,2.676005595465407,0.5637738043483255,0.65
14,6.487571655814794,20.283067166585447,21.23647577522766,14.340964567256187,9.476089619564647,44.36281340386795,5.717174061506388,4.684866023291831,0.30101660128735663,1.155263721623554,-6.644452906007518,-8.020649394424417,-31.722416970977264,-6.184929273586422,-24.890049052306818,-33.24512732414296,12.22762607899502,-2.38469982423633,-15.02665924852659,-32.53712034443109,-18.946713940069817,-27.752591316703956,-29.450405390975163,-8.395248535733593,-0.1548038400820999,0.9726901261141,0.2346969289856705,0.15111382455926448,-0.3285371985641915,0.16435388536888032,-0.03937490312606022,-0.00960084720635531,-0.005424953756707799,-0.38896751672391505,0.43837000557872874,1.267941211694016,-0.5263782362375072,0.7187234859593565,0.580507935322103,-0.2173469567151136,0.12570670094819186,0.06255440189658908,0.554602686652671,0.3919289455262132,2.9005988989070923,0.6549147450164532,0.7000000000000001
15,6.6375984547537605,20.284318380497485,21.263513248181376,14.31141738583288,9.51248869659024,44.37064737951648,5.757445686778253,4.841799737966856,0.29885963122482107,1.1698578844350038,-6.6564792332572305,-8.018297374866197,-31.729221929937594,-6.207385356472074,-24.815101388340516,-33.19886980952927,12.21431595260512,-2.3810096863090173,-15.005471603519245,-32.499772737089856,-18.89784646381032,-27.743194603384335,-29.439321192278534,-8.394675038947263,-0.04936959404882126,0.977089559216507,0.28869260889367954,0.18587991091502587,-0.24526032126575512,0.21860039482161503,0.042392423526492945,0.010336614154543415,0.02786073158860957,-0.44082314765153646,0.5344043678796189,1.4749389821919376,-0.5782492021817427,0.9181013715726345,0.7206137519087313,-0.2628909441805456,0.1550003939823747,0.07260507123306503,0.7904648473827791,0.4215727574509843,3.111710111196518,0.7451592245443399,0.75
16,6.788512175675719,20.287304790010474,21.29519381197026,14.279594016769487,9.555708869730093,44.37990406184199,5.809136228635259,5.008614908698778,0.30181861864400644,1.1870720650584587,-6.664460061048826,-8.011973188166298,-31.720329839800613,-6.232226758152537,-24.730404193277664,-33.142819623652414,12.19881141643237,-2.376846957097682,-14.98285627148304,-32.45795772882924,-18.84876551504503,-27.732110944633856,-29.425601757587046,-8.393133002132192,0.05294955558503608,0.9813590093317869,0.3410929651340615,0.21961881953210138,-0.1643503321032343,0.27130511471865143,0.12183576635974544,0.029707414729196142,0.06256464360780405,-0.48852952354867335,0.6272661845832366,1.6699296041225558,-0.6237729549840714,1.113954796835149,0.8570356741936382,-0.30677913983724736,0.18345452752281433,0.0820568969125736,1.0188431790853336,0.45012649802771926,3.309339232333695,0.8345072429319648,0.8
17,6.940223718521053,20.292097306458132,21.331358839314472,14.245811820723027,9.605565944269124,44.390541472869835,5.871871495626021,5.184637430929939,0.30973780872493084,1.2068264973105427,-6.668513733789048,-8.001793033515675,-31.69627164267497,-6.259246015876347,-24.63655782454663,-33.077152989529985,12.181195260067247,-2.3722415787852325,-14.958867755985423,-32.411720142706244,-18.799477592923342,-27.71939169933945,-29.40932417637848,-8.390650758327682,0.15215360881973017,0.9854984764602547,0.3918979977071821,0.2523305504105419,-0.0858072310765223,0.3224680450602132,0.19895512537391577,0.04851155451789729,0.0986867823010077,-0.532086644415283,0.7169554556896125,1.852913077486065,-0.6629494946443971,1.3062837617468201,0.9897737021767483,-0.34901154368507703,0.2110691015694499,0.09090987893528484,1.2397376817606496,0.47759016725640796,3.493486262318614,0.9229588001794095,0.8500000000000001
18,7.09264398323014,20.298766841174142,21.371849702934128,14.210388158350698,9.661875725492198,44.40251763462536,5.945277296299203,5.369193200102723,0.3224614466476199,1.2290414150079252,-6.668758595884721,-7.9878731101052916,-31.657578280669142,-6.288235666891979,-24.534162639575793,-33.00204613017954,12.161550273100154,-2.367223493554488,-14.933560560593772,-32.36110480177789,-18.749989196594537,-27.705088226388096,-29.390565538130605,-8.387256640573048,0.24824256565526048,0.9895079606020221,0.441107706612741,0.2840151035500936,-0.009631018185550975,0.37208918584644224,0.27375050056903405,0.06674903352043365,0.1362271476680478,-0.5714945102515148,0.803472181198848,2.023889402282362,-0.695778821162725,1.4950882663076877,1.118827835858391,-0.3895881557240039,0.23784411612222045,0.09916401730102996,1.453148355408612,0.5039637651371263,3.664151201151292,1.0105138962866735,0.9
19,7.245683869743357,20.307384305492207,21.41650777554939,14.173640390309563,9.724454018684275,44.415790569133755,6.028979439203373,5.561608111659535,0.33983377759210687,1.2536370519672078,-6.665312991742678,-7.970329617126147,-31.604780695891733,-6.318988248447894,-24.423818995793514,-32.917675268618574,12.139959245121554,-2.361822643588312,-14.90698918887548,-32.30615652910119,-18.700306825208035,-27.689251884666668,-29.369402932321215,-8.38297898190762,0.34121642609149905,0.993387461756906,0.4887220918507604,0.31467247895111167,0.06417830656964693,0.420168537077105,0.3462218919449964,0.08441985173694223,0.17518573970900567,-0.6067531210570793,0.8868163611107602,2.1828585785115093,-0.7222609345389838,1.6803683105178528,1.2441980752382873,-0.42850897595427173,0.2637795711811869,0.10681931201005639,1.6590752000292848,0.5292472916698288,3.8213340488318477,1.0971725312536962,0.9500000000000001
20,7.399254278001165,20.318020610746014,21.465174429880385,14.135885877256696,9.79311662913025,44.430318298420495,6.122603732887242,5.7612080610427565,0.3616990467384551,1.2805336420050515,-6.658295265769669,-7.949278753769157,-31.538409830451226,-6.351296297792544,-24.30612725062812,-32.824216627864615,12.11650496572189,-2.356068971069515,-14.879208144397957,-32.24692014773315,-18.650436977913106,-27.671934033062104,-29.345913448428075,-8.377846115370623,0.43107519012833695,0.9971369799248563,0.5347411534214327,0.34430267661330194,0.13562074318906364,0.4667060987522727,0.41636929950170637,0.10152400916729623,0.21556255842407412,-0.6378624768323272,0.9669879954255121,2.3298206061734756,-0.7423958347731635,1.8621238943769511,1.3658844203164575,-0.46577400437559624,0.2888754667464102,0.11387576306199493,1.8575182156225438,0.5534407468544444,3.9650348053601436,1.1829347050804775,1.0
21,7.5532661079438705,20.330746668269263,21.517691038647257,14.097441979849233,9.867679362115084,44.44605884451073,6.225775985899403,5.967318943694783,0.3879014992666978,1.3096514189380133,-6.647823762372461,-7.924836719225255,-31.45899662645624,-6.3849523521744525,-24.18168776150799,-32.72184643093527,12.091270224491618,-2.3499924181809697,-14.850271930728596,-32.18344048073075,-18.60038615385911,-27.653186030461423,-29.32017417592891,-8.371886374001441,0.5178188577660332,1.0007565151060858,0.5791648913247807,0.3729056965368571,0.2046962916725394,0.5117018708719961,0.48419272323934415,0.11806150581162754,0.25735760381288775,-0.664822577577068,1.0439870841429508,2.4647754852682313,-0.7561835218652592,2.0403550178854086,1.4838868710928967,-0.5013832409881704,0.31313180281778874,0.12033337045718688,2.0484774021885137,0.5765441306910595,4.095253470736054,1.267800417767089,1.05
22,7.707630259511891,20.345633389395637,21.57389897457014,14.058626058744236,9.947958022923642,44.46297022942989,6.3381220067885025,6.179266655058003,0.41828538035684576,1.34091061658277,-6.634016825957854,-7.897119712685448,-31.36707202601526,-6.419748948842051,-24.051100885861487,-32.61074090084802,12.064337811021124,-2.3436229271054976,-14.820235051434805,-32.11576235115106,-18.550160852195404,-27.633059235751446,-29.292262204301547,-8.365128090839333,0.6014474290044806,1.0042460673003109,0.6219933055604588,0.4004815387217369,0.27140495202029524,0.5551558534361638,0.5496921631577808,0.13403234166979927,0.3005708758756092,-0.6876334232913018,1.1178136272633108,2.5877232157957866,-0.7636239958155143,2.2150616810430233,1.5982054275677426,-0.5353366857918728,0.33654857939522137,0.12619213419545594,2.2319527597270854,0.5985574431797503,4.211990044959845,1.3517696693134291,1.1
23,7.862257632645655,20.3627516854589,21.63363961036919,14.01975547459888,10.033768416840854,44.481010475203234,6.459267604103149,6.396377090574829,0.45269493518892445,1.3742314687559603,-6.616992800932653,-7.866243933340701,-31.263166971236927,-6.455478625043852,-23.914966981116947,-32.49107626062048,12.035790514900912,-2.3369904400259838,-14.789152010083985,-32.043930582051075,-18.49976757207133,-27.6116050078192,-29.26225462302375,-8.357599598923638,0.6819609038436134,1.0076056365078148,0.6632263961287471,0.42703020316783935,0.33574672423225954,0.5970680464449479,0.6128676192572081,0.14943651674197866,0.3452023746123091,-0.7062950139750284,1.1884676247863168,2.698663797756252,-0.7647172566237005,2.386243883849874,1.708840089740902,-0.5676343387867381,0.35912579647911363,0.13145205427681464,2.407944288238438,0.6194806843203031,4.315244528031366,1.4348424597195881,1.1500000000000001
24,8.017059127285492,20.382172467792643,21.696754318764505,13.981147588070186,10.124926349151638,44.50013760385606,6.588838586392001,6.6179761456875585,0.49097440894304256,1.409534209274216,-6.596870031703659,-7.832325580381904,-31.147812404229736,-6.491933918028321,-23.77388640470275,-32.36302873327009,12.005711125721387,-2.330124899125217,-14.757077310243552,-31.967989996487763,-18.449212812636212,-27.58887470555155,-29.23022852157328,-8.349329231293613,0.7593592822834755,1.010835222728415,0.7028641630295606,0.4525516898751341,0.3977216083084833,0.6374384498982366,0.6737190915374517,0.16427403102797802,0.3912521000229368,-0.720807349628316,1.2559490767121821,2.7975972311494646,-0.7594633042897971,2.5539016263057075,1.8157908576123303,-0.5982761999727767,0.3808634540689378,0.1361131307012897,2.5764519877223275,0.6393138541129466,4.405016919950659,1.5170187889854752,1.2000000000000002
25,8.171945643371835,20.403966647730606,21.763084472476287,13.943119759815268,10.221247625140908,44.52030963741369,6.726460762203683,6.8433897158386685,0.5329680467991881,1.4467390719540858,-6.573766862677617,-7.795480853000068,-31.021539267102284,-6.528907365043935,-23.628459514047268,-32.22677454181448,11.974182433072999,-2.3230562465860785,-14.72406545548086,-31.88798541751819,-18.39850307303943,-27.564919687835488,-29.196260989427948,-8.340345320988618,0.8336425643240886,1.0139348259621628,0.7409066062629623,0.4770459988439158,0.45732960424887015,0.6762670637959493,0.7322465799985115,0.17854488452791928,0.43872005210744175,-0.7311704302510967,1.3202579830407448,2.884523515975487,-0.7478621388138554,2.718034908410931,1.9190577311819565,-0.6272622693501005,0.40176155216520154,0.1401753634688951,2.7374758581788674,0.6580569525574932,4.481307220717719,1.5982986571111721,1.25
