Team,Start Frame,End Frame,Start X,Start Y,End X,End Y,From,To
attack,52,82,12.060448066668092,-25.425007523843746,22.659950002615233,-25.01673588433812,5,9
attack,82,102,22.659950002615233,-25.01673588433812,29.742566896889464,-14.964129335894128,9,11
attack,118,152,32.4193962714963,-14.03801232921897,44.00928948512774,-6.742844529800454,11,10
