frame,ball_x,13_x,747_x,21030_x,21031_x,21032_x,21033_x,21034_x,24770_x,24771_x,ball_y,13_y,747_y,21030_y,21031_y,21032_y,21033_y,21034_y,24770_y,24771_y,stretch_index,Time [s],13_vx,13_vy,13_speed,21030_vx,21030_vy,21030_speed,21031_vx,21031_vy,21031_speed,21032_vx,21032_vy,21032_speed,21033_vx,21033_vy,21033_speed,21034_vx,21034_vy,21034_speed,24770_vx,24770_vy,24770_speed,24771_vx,24771_vy,24771_speed,747_vx,747_vy,747_speed
10,52.148842340100174,45.966470900533444,53.081353762424726,28.464540398154465,25.690532207025708,41.61562772403394,40.50799586366567,43.657992616456404,16.637404600725393,16.576146683883685,-33.622784323395386,-13.564224732759833,-33.800273976122625,-6.053198775319899,-21.179705266453688,-23.094182721494537,0.5991151333311961,2.376628738520279,-3.397348237135407,5.023405010517045,33.63064036572921,0.5,-0.49540865168525877,1.2473595420214068,1.3421384277474733,-0.361200628953264,-0.06261378827364185,0.36658748047118295,-0.36898912134901707,0.8019598935526773,0.882775533497016,-0.032014459811985516,-1.496526177747382,1.4968685734960976,-1.5388562146306128,-0.16964425831776486,1.5481788086934414,-1.227039238635338,-0.8343234231696365,1.48381968837197,1.5258610484759823,0.071468156731679,1.5275338414198383,2.0036649325639035,-0.20876368067260942,2.0145112152465887,0.8368972513308595,-0.2670175461740598,0.8784619395568393
11,52.14181985936417,45.94187876277805,53.11383259197062,28.449248186814025,25.672343703102676,41.61711180813958,40.4319372141642,43.59828943556824,16.715043866291154,16.6779315996791,-33.62756451354274,-13.500881804220379,-33.81155993391657,-6.055849665729169,-21.13939671366889,-23.16835748896533,0.5912972917537983,2.3362886895964454,-3.3936761823883894,5.013295564796605,33.61979470651279,0.55,-0.49153018333013515,1.266004355381227,1.358075457759543,-0.3071067387882716,-0.05323666344558323,0.3116868482050309,-0.3639920535391841,0.8063299451654362,0.8846797135179305,0.027230611360258578,-1.483772123671798,1.4840219746286007,-1.5220138050146657,-0.15668537086745216,1.530057622476713,-1.1949591761444365,-0.8078387286423284,1.4424045355399586,1.5520574903023638,0.07338889424216152,1.5537916150506668,2.034803975914566,-0.20239041834308574,2.0448445177653034,0.6609514169483481,-0.2282208716761147,0.6992435497268708
12,52.13491180058138,45.917488362734865,53.137798500448156,28.436629107182338,25.654399503193154,41.62149686903502,40.356699664768904,43.54016786884509,16.793974758422923,16.78125110914222,-33.63226681687003,-13.436627990398122,-33.820968600880555,-6.058037171278532,-21.098865686066752,-23.241901473088724,0.5841191810659089,2.2972469316448385,-3.3899093957833126,5.003499744594284,33.608545893826005,0.6000000000000001,-0.48749542908660304,1.284222061037121,1.3736368135117676,-0.2536441046131139,-0.043968966247798544,0.2574268863151017,-0.35910597326865257,0.8107794415130851,0.8867470906732632,0.08525014715617986,-1.4711564567242466,1.4736244120370667,-1.5055918028917654,-0.14389075307674207,1.5124520573412794,-1.163326892843709,-0.7818729091980003,1.40166140909677,1.5778900216222218,0.07528353140341235,1.5796849465749632,2.0654958492684523,-0.19611790798080367,2.0747856123407,0.4906929955810466,-0.19067505507702467,0.5264376435447292
13,52.128116299398776,45.89330751469831,53.15353585850808,28.42665159645994,25.63669405792023,41.62872162995145,40.282262195105105,43.48360552732749,16.87417908159538,16.886082853773217,-33.636892502439046,-13.371484646678278,-33.82856251990948,-6.059766763349493,-21.058108211410413,-23.314821593221144,0.5775725877845894,2.2594775209113016,-3.386049182337617,4.994012512311713,33.596919700703225,0.65,-0.4833043889544187,1.3020126589890422,1.3888196774780805,-0.20081272642781092,-0.034810696680267476,0.2038075948014117,-0.35433088053733075,0.8153083825955726,0.8889758892303934,0.14204414757557515,-1.45867917690487,1.4655788893800088,-1.4895902082613026,-0.13126040494575786,1.4953622579343357,-1.1321423887335207,-0.7564259648366037,1.361589743148144,1.6033586424357384,0.07715206821554686,1.6052138106505658,2.0957405526253474,-0.1899461495857199,2.1043307733483436,0.3261219872291373,-0.15438009637650546,0.36081680214687994
14,52.121431521840464,45.86934403296277,53.16132903680117,28.41928409184729,25.619221817906904,41.63872481412002,40.20860378479822,43.42858002205582,16.955638640283148,16.99240447507215,-33.64144281863396,-13.305473128446042,-33.834404233898354,-6.061043913323635,-21.017120317463263,-23.38712476871903,0.5716492984268433,2.222954513641687,-3.382096847068751,4.984828830350555,33.58494219063135,0.7000000000000001,-0.47895706293376483,1.3193761492368843,1.4036214914674425,-0.14861260423246433,-0.02576185474320067,0.15082897366409692,-0.3496667753453204,0.8199167684129193,0.8913643255734882,0.19761261261868812,-1.4463402842136874,1.459777709928917,-1.4740090211236019,-0.11879432647430675,1.4787882493299178,-1.1014056638138516,-0.7314978955582049,1.3221889454564781,1.6284633527428427,0.07899450467858035,1.6303781840407072,2.1255380859852826,-0.18387514315789028,2.1334765579319854,0.16723839189235634,-0.11933599557490225,0.20545013887217126
15,52.11485566381266,45.84560573182268,53.16146240597817,28.414495030544938,25.60197723377619,41.651445144771955,40.13570341347352,43.37506896407063,17.03833523896097,17.100193614539258,-33.64591899349814,-13.238614791086599,-33.83855628574209,-6.061874092582413,-20.975898031988503,-23.45881791893874,0.5663410995096737,2.187651966081841,-3.3780536949942284,4.975943661112412,33.572639692736644,0.75,-0.47445345102447944,1.3363125317810136,1.4180399358918,-0.09704373802684073,-0.016822440436275846,0.09849102290287243,-0.3451136576925405,0.8246045989649632,0.8939106115043561,0.2519555422854581,-1.434139778650569,1.456103876787732,-1.4588482414787256,-0.1064925176626238,1.4627299299541576,-1.0711167180846815,-0.7070887013627467,1.283458396425593,1.6532041525434238,0.08081084079245571,1.6551780454006764,2.154888449348249,-0.17790488869728702,2.1622197803546466,0.01404220957082556,-0.08554275267186993,0.08668763570608957
16,52.108386950617025,45.822100425572486,53.1542203366899,28.41225284975338,25.584954756151173,41.666821345138345,40.063540060756495,43.3230499644124,17.12225068210347,17.20942791367467,-33.650322235065644,-13.170930989985147,-33.84108121833559,-6.0622627725073635,-20.934437382749387,-23.529907963236717,0.5616397775501131,2.1535439344776393,-3.37392103113145,4.967351966998943,33.56003877803871,0.8,-0.46979355322662286,1.352821806620901,1.432072911245211,-0.04610612781113287,-0.00799245375969855,0.04679374251796323,-0.340671527579011,0.8293718742520183,0.8966129574701242,0.30507293657576284,-1.4220776602156753,1.4544326620079215,-1.4441078693265093,-0.09435497851047296,1.4471870646949767,-1.041275551545888,-0.6831983822501796,1.2453974481090186,1.6775810418375416,0.0826010765572135,1.6796133750899764,2.1837916427142443,-0.17203538620392017,2.1905574890641217,-0.1334665597353128,-0.053000367667753595,0.1436048799327407
17,52.10202363647144,45.79883592850663,53.13988719958705,28.412525986673103,25.568148835654846,41.68479213845048,39.99209270627241,43.272500634121556,17.207366774185388,17.320085013978535,-33.65465373168722,-13.102443080526923,-33.84204157457384,-6.062215424480019,-20.892734397509166,-23.600401820969328,0.5575371190651888,2.120604475074907,-3.3697001604979038,4.959048710411784,33.54716623671715,0.8500000000000001,-0.46497736954031715,1.3689039737570092,1.4457185215498773,0.004200226414740563,0.0007281052864652636,0.0042628674906995435,-0.33634038500480296,0.8342185942736688,0.8994695757039897,0.3569647954897043,-1.4101539289088754,1.4546332762714265,-1.4297879046669948,-0.08238170901807626,1.4321592782622938,-1.011882164197857,-0.6598269382206099,1.2080054232590693,1.7015940206251454,0.08436521197281317,1.7036841550059874,2.212247666083158,-0.1662666356777314,2.218486946148201,-0.27528791602630276,-0.021708840562390752,0.27614255461385884
18,52.095764004039076,45.775820054919485,53.11874736532041,28.41528287850463,25.551553922910287,41.70529624793949,39.92134032964665,43.2233985842386,17.293665319681352,17.432142556950986,-33.65891465235103,-13.033172418097024,-33.841499897351724,-6.0617375198818655,-20.850785104031154,-23.67030641149303,0.55402491057188,2.088807644119484,-3.36539238811103,4.951028853752555,33.53404905634078,0.9,-0.4600048999653999,1.3845590331891646,1.4589750595462185,0.053875324650840224,0.009339236702443948,0.05467880712321464,-0.33212022996997753,0.8391447590302902,0.9024786832736352,0.4076311190273836,-1.398368584730209,1.4565705708821268,-1.4158883475001818,-0.07057270918524024,1.417646048867114,-0.9829365560400812,-0.636974369273953,1.171281614434328,1.7252430889063979,0.08610324703921281,1.7273903684373098,2.2402565194553854,-0.1605986371188603,2.246005608899228,-0.41142185930200165,0.008331828644360573,0.41150621584621905
19,52.08960636396467,45.75306061910555,53.091085204540796,28.42049196244844,25.5351644685405,41.72827239683654,39.851261910504626,43.17572142580403,17.381128123066063,17.545578184092207,-33.66310614699812,-12.963140358080807,-33.83951872956427,-6.060834530094427,-20.808585530078545,-23.73962865416421,0.5510949385872433,2.0581274978572757,-3.360999018988288,4.943287359422912,33.520714401014715,0.9500000000000001,-0.4548761445018506,1.3997869849172615,1.4718409934434582,0.10291916689702416,0.017840940488019284,0.10445407637940493,-0.32801106247420964,0.8441503685216893,0.9056385050232592,0.4570719071883541,-1.386721627679656,1.4601067087769009,-1.402409197825887,-0.05892797901206128,1.4036467022926724,-0.9544387270727024,-0.6146406754102421,1.1352252831948904,1.7485282466810652,0.0878151817564822,1.7507319999327378,2.2678182028304703,-0.15503139052714937,2.273111113240619,-0.5418683895623692,0.03712163995227715,0.5431384425352913
