frame,ball_x,1450_x,1451_x,1452_x,1453_x,1454_x,2916_x,4168_x,4169_x,4170_x,4270_x,6328_x,8161_x,ball_y,1450_y,1451_y,1452_y,1453_y,1454_y,2916_y,4168_y,4169_y,4170_y,4270_y,6328_y,8161_y,1450_vx,1450_vy,1451_vx,1451_vy,1452_vx,1452_vy,1453_vx,1453_vy,1454_vx,1454_vy,2916_vx,2916_vy,4168_vx,4168_vy,4169_vx,4169_vy,4170_vx,4170_vy,4270_vx,4270_vy,6328_vx,6328_vy,8161_vx,8161_vy
10,-21.60481648333697,-31.5217921215912,-31.78018283143099,-31.64120888430816,-31.735246421995548,-27.831461182097268,-31.49549589818714,-22.64704424452734,-22.74068256062295,-23.85154458251819,-4.398639455782321,-48.28762066571778,51.70204081632656,-27.685528936478836,9.269199780621882,-0.6116377580033389,-7.3352620052708986,-16.852110167168906,15.562786660899597,-26.78002186506105,-0.2861202069739772,-14.17466324185449,-24.13866020777988,0.4285714285714295,-1.8832813438987754,-34.142857142857174,-1.340317937794353,-1.6115057607754224,-1.9849872423590194,-1.304927143842288,-2.584230880263547,-1.7816527072900077,-2.4862751118391913,-2.2886988714322296,-2.2198942715319907,-2.4493533095559528,-0.056211901778259035,0.08073535469699372,-1.9977805761412726,-3.7786548883977877,-1.6730011087159065,-4.1961379408022434,-0.41413557808636725,-5.143499432728181,4.567774729886359e-14,3.155443620884047e-29,0.157807994592259,-0.2737700939592713,1.8271098919545474e-13,5.048709793414476e-29
11,-21.688140931134377,-31.5897715424241,-31.87998267045365,-31.769489896828507,-31.85601749227005,-27.943843888425306,-31.499805477323463,-22.74345969612122,-22.82092867241836,-23.869271087999163,-4.398639455782307,-48.279811715275706,51.702040816326495,-27.679260011117034,9.187369052861582,-0.6770899446689043,-7.424291066414913,-16.96271665371597,15.437832988864166,-26.7738321545343,-0.47636442712606536,-14.379618382176405,-24.38149740582019,0.4285714285714295,-1.8968285479030944,-34.142857142857174,-1.3567323393315636,-1.6334185328639046,-1.9896163060911216,-1.3044663055584225,-2.553271795798792,-1.773510514151089,-2.3970449035937538,-2.193821544780385,-2.242413780550529,-2.4956336386511015,-0.08965077668225009,0.1287625400553338,-1.9120047116421135,-3.793385181319824,-1.5900537428132517,-4.070854531177613,-0.34560427579366754,-4.801529562370398,-8.628018934229775e-14,1.3957089452430542e-14,0.15536451596631196,-0.2695310731496621,6.058451752097371e-28,4.0602442043434354e-14
12,-21.76274447275549,-31.658500281400705,-31.979854450803856,-31.89591424376043,-31.971867639584865,-28.057221561554005,-31.505873480053882,-22.835178746484242,-22.89665570359126,-23.883347882519846,-4.398639455782307,-48.2721453010868,51.702040816326495,-27.660907437797036,9.104522587055435,-0.7424046537264567,-7.51273625018375,-17.068121569276443,15.310651295425428,-26.76511687650162,-0.6670576813812094,-14.577603145135603,-24.605855750381707,0.4285714285714198,-1.910128475693505,-34.142857142857174,-1.3717187022055048,-1.6537332937816527,-1.991055132642257,-1.301716753398026,-2.5161384840297627,-1.7618329666477326,-2.298626444400245,-2.089790125047973,-2.2623131165639165,-2.540194066717594,-0.12481924856400288,0.1792738901733263,-1.8180766870251828,-3.8023658633810644,-1.4996721303629306,-3.9314469839226516,-0.27261005658804793,-4.43195249279514,4.0602442043434543e-14,0.0,0.15251379090273076,-0.264585548871632,-1.2180732613030243e-13,4.0602442043434354e-14
13,-21.828026856320534,-31.727906936587836,-32.07963866062256,-32.02017321373868,-32.08233745139261,-28.171463192833123,-31.51378638622728,-22.92179378761054,-22.967491941814263,-23.89355182023461,-4.398639455782291,-48.26464178547296,51.70204081632656,-27.629838729393988,9.020740283761915,-0.807467449482171,-7.600420788859198,-17.167867209196245,15.18132757563478,-26.75375182272505,-0.8579124891963906,-14.767911323850514,-24.810354881503596,0.4285714285714198,-1.923145802096589,-34.14285714285716,-1.3852770264162266,-1.6724500435284078,-1.9893037220124852,-1.2966784873612072,-2.4728309449564576,-1.746620064779802,-2.1910197342586555,-1.9766046122348102,-2.2795922795721926,-2.583034593755237,-0.16171731742357814,0.23226940505133645,-1.715996502290581,-3.805596934581287,-1.4018562713651757,-3.777915299036982,-0.19515292046947808,-4.034768224002048,4.0602442043434543e-14,0.0,0.1492558194014545,-0.2589335211253894,4.796274303743752e-28,4.0602442043434354e-14
14,-21.883387829949804,-31.797920106052352,-32.179175788050756,-32.14195809539807,-32.18696751514587,-28.286437773612413,-31.52363067569256,-23.002897211494226,-23.033065674760024,-23.8996597552978,-4.398639455782337,-48.257321530756066,51.702040816326495,-27.585421398783012,8.936102043539623,-0.8721638962422121,-7.687167914723002,-17.261495868821363,15.04994782454371,-26.73961278496654,-1.0486413700284845,-14.949836711439598,-24.993614439224896,0.4285714285714295,-1.9358452019389762,-34.14285714285716,-1.3974141117230228,-1.6895672131099606,-1.9844077037397558,-1.2893479189374828,-2.423491255291421,-1.7278970445440727,-2.074542971962541,-1.8545334074929993,-2.2942834184860716,-2.6240947643048322,-0.20026041655359192,0.28761797020542135,-1.6061010191177765,-3.8031232479185464,-1.2968926717146747,-3.6106701232671043,-0.1134719899534226,-3.6110379303770643,8.628018934229808e-14,-2.7755575615628888e-14,0.14559060146252376,-0.2525749899108374,-1.8271098919545396e-13,9.466330862652142e-29
15,-21.928227141763514,-31.868468387861068,-32.27830632122935,-32.26096017737334,-32.28529841829724,-28.402014295241592,-31.53549282829858,-23.078081410129418,-23.093005190101106,-23.90144854186379,-4.398639455782307,-48.250204899258,51.70204081632645,-27.527022958839318,8.850687766947049,-0.9363795583127503,-7.772800860056978,-17.348549843497775,14.916598037203599,-26.72257555498819,-1.2389568433345306,-15.122673101021386,-25.154254063584837,0.4285714285714295,-1.9481913500471955,-34.14285714285716,-1.4081639569230069,-1.705076957553859,-1.9765952255138635,-1.2797071055747455,-2.3688297985973197,-1.7057900859246695,-1.9507871514796957,-1.7249185165813479,-2.306547277859384,-2.663072301068818,-0.24002571241763146,0.34466401321665785,-1.4900745459046556,-3.795169068382931,-1.1862138608855184,-3.43176469034344,-0.028762877617631508,-3.1660674838481686,1.7670484276950664e-28,-1.3957089452430496e-14,0.14151813708597924,-0.24550995522801727,1.827109891954547e-13,9.466330862652142e-29
16,-21.96194453988192,-31.939480380080834,-32.37687074829932,-32.37687074829932,-32.37687074829932,-28.51806174907042,-31.549459323894247,-23.1469387755102,-23.1469387755102,-23.898695034086877,-4.398639455782307,-48.24331225330065,51.70204081632645,-27.454010922438087,8.764577354542784,-0.9999999999999988,-7.857142857142856,-17.428571428571427,14.781364208665927,-26.70251592455194,-1.4285714285714333,-15.285714285714281,-25.290893394622433,0.4285714285714295,-1.9601489212478722,-34.14285714285716,-1.4175673605723813,-1.7189698628936767,-1.9661400645626006,-1.2677345162102933,-2.3096990351491797,-1.6804506049025596,-1.821661465571428,-1.5893703464103885,-2.3165767511566617,-2.6996044712906047,-0.2805058047717474,0.40262084718180396,-1.3699382527285004,-3.782003513962673,-1.0715388742466456,-3.2436628807427126,0.057539681444954485,-2.7062239307299154,1.7670484276950664e-28,3.155443620884047e-29,0.13703842627173962,-0.23773841707690035,-1.218073261303022e-13,1.0150610510858573e-13
17,-21.98414076517731,-32.01088706069426,-32.474725527739906,-32.48943082366016,-32.46133646218244,-28.634460378567393,-31.565587043980898,-23.209179601218562,-23.194594995723087,-23.89125977900189,-4.398639455782291,-48.2366639552059,51.702040816326495,-27.36594203062109,8.677851256033396,-1.062909529631458,-7.940025970861324,-17.501196859791456,14.644353493392906,-26.679355575489154,-1.617213343745469,-15.438397784997976,-25.40252348341185,0.4285714285714198,-1.9716825903675685,-34.142857142857174,-1.4256651212276137,-1.731236515162427,-1.9533159981138835,-1.2534086197817411,-2.2469514252222007,-1.6520300174584233,-1.689075106999017,-1.4494993038911932,-2.324564731842358,-2.733328542213331,-0.32119329337212277,0.46070178519819655,-1.247713309666807,-3.7638957026458035,-0.9545867471669667,-3.048828574941698,0.1440009521411818,-2.237874317336071,1.7670484276950664e-28,1.3798486163198424e-14,0.13215146901984554,-0.22926037545757108,-1.827109891954537e-13,-1.3883951931889808e-28
18,-21.995220529530176,-32.08262892734715,-32.5717909993835,-32.59858032633757,-32.53879299528794,-28.75113543567609,-31.583814476669634,-23.26498578718785,-23.236103523728293,-23.879338095165334,-4.398639455782307,-48.23028036729561,51.70204081632656,-27.263129937096835,8.590592117717732,-1.1249874316200652,-8.021317596488547,-17.56643813451944,14.50575768349008,-26.65319974990847,-1.8046736010600912,-15.580736023796609,-25.48962102516705,0.4285714285714246,-1.9827570322329005,-34.142857142857174,-1.4324980374450593,-1.7418675003935797,-1.9383968033952619,-1.2367078852264308,-2.1814394290913697,-1.6206797395733221,-1.5549372685238643,-1.3069157959343565,-2.330704113380985,-2.7638817810801393,-0.36158077797492993,0.518120140362695,-1.125420886796777,-3.7411147524205597,-0.8370765150153302,-2.849725653417247,0.2291861993780689,-1.7673856899808273,8.628018934229799e-14,-1.3957089452430465e-14,0.12685726533027672,-0.22007583036980805,1.8271098919545457e-13,-4.06024420434344e-14
19,-21.995789537572968,-32.15464885760104,-32.668003473400766,-32.70430890606264,-32.609449152534864,-28.868023424458837,-31.604050511723994,-23.314657134939218,-23.271694309577587,-23.863208994014112,-4.398639455782307,-48.22418185189169,51.70204081632645,-27.146077523740587,8.502883135042648,-1.1861117344000593,-8.100893961899645,-17.62440119052008,14.365789730473717,-26.624199579987987,-1.990758911268145,-15.712885153395552,-25.553034126137177,0.4285714285714198,-1.9933369216704202,-34.14285714285714,-1.4381069077810333,-1.750853404620385,-1.9216562576347729,-1.217610781481878,-2.1140155070320477,-1.5865511872280254,-1.4211571429072474,-1.1632302294506247,-2.335187789237177,-2.790901455134395,-0.40116085833635184,0.5740892257727075,-1.0050821541958346,-3.7139297812748877,-0.7207272131606958,-2.6488179966459056,0.31166068806248237,-1.3011250949779192,0.0,-2.7755575615628825e-14,0.12115581520309397,-0.21018478181392838,7.573064690121713e-28,-1.3883951931889808e-28
