frame,ball_x,7_x,8_x,9_x,10_x,11_x,14_x,66_x,7540_x,8162_x,8163_x,ball_y,7_y,8_y,9_y,10_y,11_y,14_y,66_y,7540_y,8162_y,8163_y,10_vx,10_vy,11_vx,11_vy,14_vx,14_vy,66_vx,66_vy,7_vx,7_vy,7540_vx,7540_vy,8_vx,8_vy,8162_vx,8162_vy,8163_vx,8163_vy,9_vx,9_vy
10,-21.60481648333697,-30.871328236786187,-14.431030341951168,-21.60481648333697,-30.685343688699465,-28.131751671596465,-8.970029203794457,-25.38213531445519,-13.34175269581961,-0.6489795918367378,0.07210884353735339,-27.685528936478836,-30.23799109429386,-20.53710855176031,-27.685528936478836,5.0996295797545725,14.211399816400032,9.652356920957912,28.51420439838549,-3.10075219809314,-9.428571428571386,5.285714285714288,-1.4379088109444536,-1.4372954536370053,-1.9608935776983467,-1.456848894031023,-1.709497113144981,-0.09771268502626235,-0.5984948893813525,-0.08018727012382344,-0.06600587579670097,0.09909786607991578,-1.3767569062577474,-0.18873820518032453,-0.7162659231082255,-0.19930033014159476,0.0,0.0,8.604228440844975e-14,-2.7914178904861084e-14,-1.804891966689226,-0.0783452244373401
11,-21.688140931134377,-30.87638868726393,-14.467720618148448,-21.688140931134377,-30.75869315472546,-28.230843813340243,-9.05367544048373,-25.41158933498493,-13.412071304523721,-0.6489795918367378,0.0721088435373835,-27.679260011117034,-30.230393591227752,-20.547220405655413,-27.679260011117034,5.026271142121789,14.137401530909065,9.647549494840922,28.509959251498103,-3.11036319846363,-9.428571428571386,5.285714285714288,-1.464956709967637,-1.4652357963380194,-1.9767756801467173,-1.4771276603675325,-1.6617795456144842,-0.09557604401612604,-0.5855943308632813,-0.08516917439791881,-0.10527090960398561,0.15804839154289949,-1.4046433484940222,-0.19191207582288172,-0.7331676719622542,-0.20182113719808314,0.0,0.0,1.0097419586828951e-28,0.0,-1.642478880758235,0.15067799222998285
12,-21.76274447275549,-30.88351393693327,-14.505240035488852,-21.76274447275549,-30.83334420043881,-28.330603381338204,-9.134657169092222,-25.440311175595507,-13.483741014699937,-0.6489795918367378,0.07210884353735339,-27.660907437797036,-30.21969610363297,-20.557447901385736,-27.660907437797036,4.951564011261888,14.06246025833757,9.642863212732516,28.50545835348077,-3.120125194076583,-9.428571428571386,5.285714285714288,-1.4909883037146645,-1.4922096608802806,-1.9901242052306551,-1.4959874019782453,-1.6084893839983092,-0.0931531638441996,-0.570950732479188,-0.09028419699750959,-0.14656689343572643,0.22004808211587856,-1.4316653779361437,-0.19493198067196182,-0.7497504948247726,-0.20413397390268323,-8.596298276383366e-14,5.048709793414476e-29,0.0,0.0,-1.4680607572321642,0.3923509513939955
13,-21.828026856320534,-30.89280553329541,-14.543572647672809,-21.828026856320534,-30.9092460105757,-28.43090369672216,-9.212695759915597,-25.468213684293552,-13.556718605708546,-0.6489795918367378,0.0721088435373835,-27.629838729393988,-30.20574617325403,-20.567780640433686,-27.629838729393988,4.875556511082811,13.986646949921832,9.638312386590792,28.500695048417164,-3.1300304866423194,-9.428571428571386,5.285714285714288,-1.516003592185484,-1.5182170472636662,-2.000939152950189,-1.5134281188631347,-1.54962662829645,-0.09044404451035096,-0.5545640942292757,-0.09553233792228101,-0.18989382729204501,0.285096937799137,-1.4578229945841108,-0.19779791972754954,-0.7660143916956282,-0.20623884025545586,-1.0097419586828951e-28,1.0097419586828951e-28,-8.604228440844964e-14,0.0,-1.281637596111145,0.6466736530548697
14,-21.883387829949804,-30.904365023851607,-14.582702508400697,-21.883387829949804,-30.98634776987232,-28.531618080623865,-9.287512583249615,-25.495209709085827,-13.630960856909867,-0.6489795918367378,0.0721088435373835,-27.585421398783012,-30.1883913418354,-20.578208224281692,-27.585421398783012,4.798296965492528,13.910032556898152,9.633911328373896,28.495662680391106,-3.1400713778711546,-9.428571428571386,5.285714285714288,-1.5399676273713474,-1.5432189764659978,-2.0092668687466637,-1.5294462936416047,-1.4855072201017698,-0.08746410045494554,-0.5365279957216069,-0.10089610184698874,-0.23515997025038507,0.3530404697897892,-1.4831161984379393,-0.20050989298976665,-0.7819593625746533,-0.20813573625623852,-1.8932661725304283e-28,1.0097419586828951e-28,0.0,0.0,-1.0837836624009811,0.9131054453078489
15,-21.928227141763514,-30.91829395610307,-14.622613671372982,-21.928227141763514,-31.064598663064885,-28.632619854175115,-9.358829009389993,-25.521212097978985,-13.706424547664174,-0.6489795918367679,0.07210884353735339,-27.527022958839318,-30.167479151121622,-20.588720254412145,-27.527022958839318,4.719833698398938,13.83268803050279,9.629674350039865,28.49035459348623,-3.15024016947342,-9.42857142857137,5.285714285714288,-1.5627056692284924,-1.5670205533754076,-2.0153390798269704,-1.5440243394103854,-1.417710867377703,-0.08429040387967338,-0.5173103349972966,-0.10628801214533976,-0.2819066176985631,0.42310623407513304,-1.5075449894976853,-0.20306790045843823,-0.797585407462163,-0.20982466190514312,-1.8932661725304283e-28,1.0097419586828951e-28,-8.604228440844956e-14,2.7914178904861112e-14,-0.877370281130853,1.1889430686291393
16,-21.96194453988192,-30.934693877551016,-14.663290190290052,-21.96194453988192,-31.14394787488954,-28.73378233850768,-9.426366408632411,-25.54613369897978,-13.783066457331731,-0.6489795918367679,0.07210884353735339,-27.454010922438087,-30.142857142857146,-20.59930633230746,-27.454010922438087,4.640215033709995,13.75468432197207,9.625615763546792,28.484764131786356,-3.1605291631594348,-9.428571428571386,5.285714285714288,-1.5840080297042138,-1.5893879038578769,-2.019433858839211,-1.5571411518857812,-1.348133219680148,-0.08101544142667093,-0.49747258970535924,-0.1116030968657457,-0.3295833241017273,0.4943672978389506,-1.5311093677632621,-0.2054719421335603,-0.8128925263579387,-0.21130561720221003,-8.596298276383366e-14,4.5677747298863636e-14,0.0,2.7914178904861112e-14,-0.6658430423356524,1.470942611589854
17,-21.98414076517731,-30.953634226373822,-14.704716118852296,-21.98414076517731,-31.224332358279437,-28.834995075657798,-9.489956730830077,-25.569920112957753,-13.860843365272888,-0.6489795918367378,0.07210884353735339,-27.36594203062109,-30.114426929867435,-20.609956059449992,-27.36594203062109,4.559502937991473,13.67609361362547,9.621744485798681,28.478890762739045,-3.1709306606395584,-9.428571428571386,5.285714285714288,-1.6036650207458791,-1.6100871537793233,-2.0218292784314276,-1.5687756267839046,-1.2786699265656005,-0.07773169973800874,-0.4775762374951853,-0.11673638405640523,-0.3776396439253002,0.5658967282656135,-1.5538093332347813,-0.2077220180152585,-0.8278807192619502,-0.21257860214740884,0.0,0.0,-8.604228440844975e-14,0.0,-0.45264753605059527,1.7558601627613413
18,-21.995220529530176,-30.975056003458427,-14.746875510760205,-21.995220529530176,-31.305640138955432,-28.936212491279683,-9.549874244065926,-25.592647952233985,-13.93971205084791,-0.6489795918367378,0.07210884353735339,-27.263129937096835,-30.082306409301456,-20.620659037322213,-27.263129937096835,4.477813948440397,13.59699301211543,9.618047853483036,28.472758447247234,-3.1814369636240833,-9.428571428571386,5.285714285714298,-1.6214669543009157,-1.628884429005714,-2.022803411251977,-1.578906659821046,-1.2112166375899847,-0.07453166545585382,-0.4581827560159419,-0.12158290176588235,-0.4255251316343893,0.6367675925395945,-1.5756448859120857,-0.20981812810349354,-0.8425499861744561,-0.21364361674060764,0.0,0.0,-1.8932661725304283e-28,0.0,-0.24122935231045325,2.0404518107148055
19,-21.995789537572968,-30.998868100368874,-14.78975241971413,-21.995789537572968,-31.387747010835284,-29.037405231931928,-9.606503795980274,-25.614426581992383,-14.01962929341708,-0.6489795918367679,0.07210884353735339,-27.146077523740587,-30.046667549389337,-20.63140486740651,-27.146077523740587,4.395278244911631,13.517460855177546,9.614507808233181,28.466397269577758,-3.192040373823329,-9.42857142857137,5.285714285714298,-1.6372041423166495,-1.645545855402958,-2.0226343299488896,-1.5875131467132466,-1.1476690023095257,-0.07150782522223609,-0.43985362291677566,-0.12603767804237564,-0.4726893416943461,0.7060529578450718,-1.5966160257952258,-0.2117602723982336,-0.8569003270951263,-0.2145006609819789,1.8932661725304283e-28,-1.0097419586828951e-28,0.0,2.7914178904861052e-14,-0.03503408115036115,2.321473644021624
20,-21.986453493938242,-31.024979408669264,-14.833330899414491,-21.986453493938242,-31.470528767836758,-29.13854394417316,-9.660230234213557,-25.635365367416867,-14.10055187234072,-0.6489795918367378,0.07210884353735339,-27.01528767242752,-30.007682318361066,-20.64218315118528,-27.01528767242752,4.312026007260048,13.437575480547466,9.61110629168249,28.459837313997422,-3.20273319294766,-9.428571428571386,5.285714285714288,-1.6506668967406002,-1.6598375588369503,-2.0216001071703404,-1.5945739831768582,-1.0899226702804905,-0.06875266567910437,-0.42315031584689455,-0.12999574093431723,-0.5185818285704307,0.7728258913661024,-1.616722752884339,-0.21354845089954994,-0.8709317420241492,-0.21514973487145173,8.596298276383366e-14,-1.0097419586828951e-28,0.0,0.0,0.1624926873945955,2.5956817512533084
21,-21.967818103258463,-31.053298819923643,-14.877595003561757,-21.967818103258463,-31.55386120387764,-29.239599274562057,-9.71143840640611,-25.655573673691407,-14.182436566979097,-0.6489795918367378,0.0721088435373835,-26.87126326503283,-29.96552268444654,-20.652983490140905,-26.87126326503283,4.228187415340528,13.357415225960786,9.607825245464348,28.453108664773048,-3.2135077227073774,-9.428571428571386,5.285714285714288,-1.6616804775288019,-1.6715646441961085,-2.019932470123251,-1.6000715823085387,-1.0395573494661847,-0.06634325902836681,-0.4085407328473016,-0.13336961381538356,-0.5627438876504491,0.8363139490899735,-1.6359650671792987,-0.2151826636073345,-0.88464423096155,-0.21559083840912757,1.8932661725304283e-28,4.5677747298863434e-14,8.604228440844956e-14,0.0,0.3484796282953182,2.8603728728856472
22,-21.94048907016614,-31.083735225696092,-14.922528785856276,-21.94048907016614,-31.637620112875712,-29.340541869657226,-9.760513160198327,-25.675160865999857,-14.265240156692503,-0.6489795918367679,0.07210884353735339,-26.71450718343175,-29.920360615875847,-20.663795485755838,-26.71450718343175,4.143892649007903,13.277058429153154,9.604646611212083,28.4462414061714,-3.2243562648128017,-9.42857142857137,5.285714285714298,-1.670209936672415,-1.6806881324578833,-2.017677764248792,-1.6040024267277584,-0.9968889814592581,-0.06429501971039896,-0.39611845352627234,-0.13614180136016785,-0.6050837780117848,0.8963626422134854,-1.654342968680013,-0.21666291052162429,-0.8980377939071968,-0.215823971594844,1.8932661725304283e-28,-3.155443620884047e-28,-3.7865323450608567e-28,-2.7914178904861112e-14,0.5223524765461363,3.1150063570138142
23,-21.90507209929381,-31.116197517550667,-14.968116299998504,-21.90507209929381,-31.72168128874875,-29.4413423760173,-9.807839343230583,-25.694236309526193,-14.34891942084125,-0.6489795918367378,0.07210884353735339,-26.54552230949943,-29.87236808087901,-20.67460873951247,-26.54552230949943,4.059271888117062,13.196583427860169,9.601552330559105,28.439265622459345,-3.2352711209742773,-9.428571428571386,5.285714285714288,-1.6762552741716217,-1.6872080236224118,-2.0148359895470644,-1.6063665164345409,-0.9619175662598727,-0.06260794772508912,-0.38588347788368493,-0.1383123035689136,-0.6456014996545585,0.9529719707371852,-1.6718564573867514,-0.21798919164249142,-0.9111124308612415,-0.21584913442870246,8.596298276383366e-14,-4.567774729886385e-14,-3.7865323450608567e-28,-2.7914178904861112e-14,0.684111232146754,3.359582203638009
24,-21.86217289527395,-31.15059458705148,-15.014341599688839,-21.86217289527395,-31.805920525414518,-29.541971440200935,-9.853801803143242,-25.71290936945431,-14.433431138785643,-0.6489795918367378,0.0721088435373835,-26.36481152511111,-29.821717047685944,-20.685412852893187,-26.36481152511111,3.974455312522835,13.116068559817482,9.598524345138753,28.43221139790366,-3.2462445929021255,-9.42857142857137,5.285714285714288,-1.6798164900262993,-1.6911243176896633,-2.0114071460180982,-1.6071638514288515,-0.9346431038679776,-0.06128204307251851,-0.3778358059196205,-0.1398811204413874,-0.6842970525786993,1.0061419346608091,-1.6885055332992844,-0.21916150696986614,-0.9238681418235926,-0.2156663269106319,0.0,-2.145701662201152e-28,8.604228440844918e-14,0.0,0.8337558950974151,3.594100412758111
25,-21.81239716273903,-31.18683532576255,-15.061188738627724,-21.81239716273903,-31.890213616790778,-29.64239970876676,-9.898785387576666,-25.73128941096818,-14.518732089885916,-0.6489795918367378,0.07210884353735339,-26.172877712142,-29.768579484526736,-20.696197427380408,-26.172877712142,3.8895731020801376,13.035592162760715,9.595544596584396,28.425108816771175,-3.257268982306652,-9.428571428571386,5.285714285714288,-1.6808935842365809,-1.6924370146596557,-2.007391233661814,-1.6063944317106094,-0.9150655942835427,-0.0603173057526415,-0.371975437634059,-0.14084825197769082,-0.7211704367842992,1.0558725339843376,-1.7042901964176638,-0.22017985650374725,-0.9363049267942001,-0.21527554904071364,0.0,-2.145701662201152e-28,-8.604228440844993e-14,0.0,0.9712864653979579,3.8185609843742028
26,-21.756350606321604,-31.22482862524797,-15.108641770515565,-21.756350606321604,-31.97443635679535,-29.7425978282734,-9.94317494417123,-25.749485799251673,-14.604779053502442,-0.6489795918367378,0.07210884353735339,-25.970223752467284,-29.713127359631322,-20.706952064456555,-25.970223752467284,3.8047554366437866,12.955232574425457,9.5925950265294,28.41798796332864,-3.268336590898201,-9.428571428571386,5.285714285714288,-1.6794865568022537,-1.69114611453239,-2.0027882524782514,-1.604058257279972,-0.9031850375065426,-0.059713735765381915,-0.3683023730270308,-0.14121369817773244,-0.756221652271236,1.1021637687078718,-1.7192104467419962,-0.22104424024416394,-0.9484227857731699,-0.21467680081889684,8.596298276383347e-14,-4.567774729886375e-14,8.604228440844918e-14,-2.7914178904861052e-14,1.0967029430484128,4.032963918486223
27,-21.694638930654147,-31.26448337707181,-15.156684749052749,-21.694638930654147,-32.05846453934596,-29.842536445279496,-9.98735532056735,-25.767607899488734,-14.69152880899547,-0.6489795918367378,0.0721088435373835,-25.75735252796218,-29.655532641229783,-20.717666365604,-25.75735252796218,3.7201324960686657,12.875068132547367,9.589657576607108,28.410878921842937,-3.279439720387113,-9.428571428571386,5.285714285714288,-1.6755954077234192,-1.68725161730786,-1.9975982024674321,-1.6001553281367318,-0.8990014335370033,-0.059471333111008794,-0.36681661209845484,-0.14097745904166464,-0.7894506990396826,1.145015638831412,-1.7332662842721756,-0.22175465819107446,-0.9602217187605334,-0.2138700822451715,0.0,-2.145701662201152e-28,8.604228440844918e-14,0.0,1.210005328048963,4.237309215094133
28,-21.627867840369177,-31.30570847279815,-15.205301727939727,-21.627867840369177,-32.142173958360445,-29.942186206343692,-10.03171136440535,-25.785765076863328,-14.77893813572528,-0.6489795918367378,0.07210884353735339,-25.53476692050186,-29.595967297552022,-20.728329932305154,-25.53476692050186,3.6358344602096486,12.795177174862072,9.586714188450923,28.403811776580856,-3.290570672483689,-9.428571428571386,5.285714285714288,-1.6692201370001571,-1.6807535229859858,-1.9918210836293433,-1.5946856442811104,-0.902514782374954,-0.059590097789182006,-0.36751815484850336,-0.14013953456941616,-0.8208575770893948,1.1844281443548361,-1.746457709008139,-0.22231111034451911,-0.9717017257561726,-0.21285539331959827,0.0,-4.567774729886375e-14,-8.604228440844993e-14,0.0,1.3111936203993735,4.431596874198039
29,-21.556643040099196,-31.348412803991025,-15.254476760876885,-21.556643040099196,-32.2254404077565,-30.041517758024614,-10.076627923325617,-25.804066696559318,-14.866963813052202,-0.6489795918367378,0.0721088435373835,-25.30296981196157,-29.53460329682809,-20.73893236604245,-25.30296981196157,3.551991508921566,12.715638039105164,9.583746803694199,28.396816611809193,-3.301721748898259,-9.428571428571386,5.285714285714288,-1.6603607446324067,-1.6716518315669335,-1.985456895963904,-1.5876492057130416,-0.9137250840203742,-0.06007002980009444,-0.37040700127688186,-0.13869992476098703,-0.8504422864205551,1.2204012852782848,-1.7587847209500695,-0.22271359670453977,-0.9828628067600622,-0.21163273404213653,0.0,0.0,0.0,0.0,1.4002678200996546,4.615826895797891
30,-21.481570234476674,-31.392505262214556,-15.304193901564691,-21.481570234476674,-32.30813968145195,-30.1405017468809,-10.122489844968534,-25.822622123760652,-14.955562620336512,-0.6489795918367378,0.0721088435373835,-25.062464084216483,-29.471612607288016,-20.74946326829828,-25.062464084216483,3.4687338220593116,12.636529063012313,9.580737363970252,28.389923511794763,-3.3128852513411533,-9.428571428571386,5.285714285714288,-1.649017230620119,-1.6599465430505242,-1.9785056394712284,-1.5790460124324106,-0.9326323384734125,-0.060911129143746155,-0.3754831513838954,-0.13665862961621497,-0.8782048270331644,1.2529350616016592,-1.7702473200978015,-0.22296211727109488,-0.9937049617723047,-0.21020210441276627,0.0,0.0,8.604228440844956e-14,0.0,1.4772279271500208,4.789999279893644
31,-21.40325512813417,-31.437894739032767,-15.3544372037035,-21.40325512813417,-32.39014757336457,-30.239108819471205,-10.169681976974475,-25.841540723651285,-15.044691336938492,-0.6489795918367378,0.07210884353735339,-24.8137526191418,-29.40716719716175,-20.759912240555046,-24.8137526191418,3.38619157947774,12.557928584319093,9.577667810912539,28.383162560804365,-3.324053481522707,-9.428571428571386,5.285714285714288,-1.6351895949633741,-1.6456376574368554,-1.9709673141512947,-1.568876064439293,-0.9592365457337437,-0.06211339582000515,-0.3827466051694016,-0.13401564913528263,-0.9041451989271918,1.2820294733252013,-1.7808455064514253,-0.2230566720440206,-1.0042281907929098,-0.20856350443143656,-8.596298276383347e-14,4.5677747298863535e-14,-8.604228440844956e-14,2.7914178904861052e-14,1.542073941550238,4.954114026485396
32,-21.32230342570415,-31.484490126009746,-15.405190720993746,-21.32230342570415,-32.47133987741212,-30.337309622354127,-10.218589166983797,-25.86093186141509,-15.13430674221844,-0.6489795918367378,0.07210884353735339,-24.557338298612738,-29.341439034679336,-20.770268884295156,-24.557338298612738,3.3044949610317107,12.47991494076115,9.574520086154363,28.37656384310483,-3.335218741153241,-9.428571428571386,5.285714285714288,-1.6188778376620612,-1.628725174725927,-1.9628419200040939,-1.557139361733755,-0.993537705801637,-0.06367682982899836,-0.3921973626333399,-0.13077098331833226,-0.9282634021025366,1.3076845204485164,-1.7905792800109825,-0.22299726102361778,-1.0144324938218374,-0.20671693409829983,3.7865323450608567e-28,-2.145701662201152e-28,8.604228440844993e-14,2.7914178904861052e-14,1.594805863300378,5.108171135573089
