frame,ball_x,3_x,5_x,9_x,10_x,11_x,12_x,14_x,22035_x,22036_x,24074_x,ball_y,3_y,5_y,9_y,10_y,11_y,12_y,14_y,22035_y,22036_y,24074_y,10_vx,10_vy,11_vx,11_vy,12_vx,12_vy,14_vx,14_vy,22035_vx,22035_vy,22036_vx,22036_vy,24074_vx,24074_vy,3_vx,3_vy,5_vx,5_vy,9_vx,9_vy
0,7.434636061281144,6.706122448979595,11.5363917026844,21.318010911895897,14.100679756995033,20.406802721088432,5.380652581354914,10.41068064596931,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.45899392044626,23.0,33.422001845099516,14.896547211508347,26.39049763425186,-6.428571428571427,31.652455727779525,-4.955166712493021,15.714285714285712,5.285714285714288,-6.857142857142862,,,,,,,,,,,,,,,,,,,,
1,7.559492705490503,6.730806144341456,11.5454514252524,21.36064787594794,14.05109249086298,20.4646351942182,5.590719270367423,10.382100894992929,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.42926049045924,23.057787982897803,33.40156573116272,14.996478742514098,26.50198552086019,-6.403892957616062,31.657852335845593,-5.0126844299089806,15.714285714285712,5.285714285714288,-6.8571428571428426,,,,,,,,,,,,,,,,,,,,
2,7.668399292839339,6.752465672575418,11.550414930841153,21.391851552072104,13.997511507538038,20.518929300840767,5.787612060738451,10.358609416100677,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.39161014581511,23.119952701358617,33.3835744687371,15.089034973223656,26.613551415731077,-6.380498904989914,31.65893692335511,-5.06040440493994,15.714285714285712,5.285714285714288,-6.8571428571428426,,,,,,,,,,,,,,,,,,,,
3,7.76230932371593,6.771322314203004,11.551581942644184,21.412238678276747,13.940435870012744,20.56980700103445,5.971761688483394,10.339932429588192,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.3464785520873,23.18617390643878,33.367849166248654,15.17453778972138,26.725034072418335,-6.3583489906266015,31.65592577605517,-5.098782790456517,15.714285714285712,5.285714285714288,-6.8571428571428426,,,,,,,,,,,,,,,,,,,,
4,7.84217629850868,6.787597349745828,11.54925218385517,21.42242599257015,13.88036464127964,20.61739025487772,6.1435988896177545,10.325796155751046,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.29430137484928,23.25613134919466,33.35421093212341,15.253309078091702,26.836272244475786,-6.337402934459659,31.64903517969293,-5.128275739329307,15.714285714285712,5.285714285714288,-6.8571428571428426,-1.1814620549602441,2.2183135833019305,0.9565434800004116,0.4205323259946247,3.453973463304877,-0.12916049736011204,-0.29367666492029904,-0.6081050922805835,-1.4718385240744936e-13,0.0,-2.0301221021717152e-14,0.0,0.0,-3.470987982972452e-29,0.3343519317183815,1.3863388973723239,-0.03460624803615531,-0.2799203454644936,0.2284158062015962,1.5883012107818877
5,7.908953717605865,6.801512059725411,11.543725377667677,21.423030232960706,13.817796884331264,20.66180102244891,6.303554400156912,10.315926814884778,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.23551427967454,23.32950478068264,33.34248087478736,15.32567072441899,26.94710468545725,-6.317620456422734,31.638481420015513,-5.149339404428949,15.714285714285712,5.285714285714288,-6.857142857142872,-1.2313926192653972,2.2101989617822273,0.8930937545589652,0.3972607633945176,3.216339651401722,-0.20242376366423642,-0.2083380055024416,-0.43951941681746515,0.0,0.0,-2.0301221021717152e-14,0.0,8.628018934229789e-14,-5.5828357809722186e-14,0.28714542045355174,1.4546586720142023,-0.09854719600529194,-0.24175680968034333,0.036754328143960666,1.4601083699212782
6,7.963595081395852,6.8132877246632795,11.535301247275353,21.414668137456694,13.7532316621602,20.703161263826406,6.452058956116412,10.310050627284973,-5.119727891156444,-2.6680272108843575,-1.514285714285709,32.17055293213655,23.405973951959073,33.33248010266656,15.391944614787612,27.05737014891657,-6.298961276449401,31.62448078276999,-5.162429938626044,15.714285714285712,5.285714285714288,-6.857142857142862,-1.271341923719709,2.198859411338958,0.8320832306851043,0.37479480212252314,2.9873205598074795,-0.2713613150261247,-0.12847494017295596,-0.2800567987666495,0.0,2.537652627714644e-14,0.0,0.0,8.628018934229789e-14,-1.8932661725304283e-29,0.2443645196198218,1.5165734677833294,-0.15649368010242778,-0.20717110537601358,-0.14257238974708336,1.338353250748361
7,8.007053890266938,6.823145625081029,11.524279515871745,21.397956444066455,13.687168037758948,20.741592939088576,6.589543293511621,10.307893813247205,-5.119727891156495,-2.6680272108843646,-1.514285714285709,32.09985299780872,23.485218614080313,33.32402972418694,15.452452635282008,27.166907388407537,-6.281385114473308,31.607249553703486,-5.1680034947912254,15.714285714285712,5.285714285714288,-6.857142857142862,-1.3013099683231744,2.1842949319721736,0.7735119083789093,0.3531344421785753,2.766916188522343,-0.33597315144561435,-0.0540874689320755,-0.12971723812819488,-6.090366306515146e-14,0.0,-2.0301221021717152e-14,0.0,0.0,-5.5828357809722186e-14,0.206009229217164,1.572083284679735,-0.2084457003274106,-0.17616323255146377,-0.3095643474716476,1.2230358532634256
8,8.040283644607488,6.8313070415001995,11.510959906650548,21.373511890798326,13.62010507412009,20.777218008313838,6.7164381483580256,10.309182593067074,-5.119727891156444,-2.6680272108843646,-1.5142857142856787,32.02385014226461,23.566918518102774,33.3169508477746,15.507516671986545,27.27555515748397,-6.264851690427981,31.58700401856311,-5.166516225795093,15.714285714285712,5.285714285714288,-6.857142857142862,-1.321296753075666,2.1665055236817308,0.7173797876401875,0.3322796835625929,2.5551265375459478,-0.3962592729229998,0.014824408220265779,0.011499265097944425,-6.090366306515146e-14,0.0,-2.0301221021717152e-14,0.0,0.0,-5.5828357809722186e-14,0.17207954924551722,1.6211881227035616,-0.2544032566803216,-0.14873319120661269,-0.46422154502955937,1.114156177466187
9,8.06423784480581,6.837993254442356,11.495642142805304,21.341951215660625,13.55254183423614,20.810158431580554,6.833174256671069,10.313643187040142,-5.119727891156444,-2.6680272108843575,-1.5142857142856787,31.942980031077624,23.650753415082782,33.3110645818555,15.557458610985583,27.383152209699713,-6.249320724247031,31.563960463095967,-5.158424284508268,15.71428571428572,5.285714285714288,-6.8571428571428426,-1.3313022779773165,2.145491186467651,0.6636868684691622,0.31223052627472303,2.3519516068787274,-0.4522196794581389,0.07826069128419477,0.14359271091172277,-6.310887241768094e-29,2.537652627714641e-14,-2.208810534618833e-29,0.0,0.0,8.374253671458315e-14,0.14257547970496526,1.6638879818546566,-0.29436634916105414,-0.12488098134150095,-0.6065439824210523,1.0117142233568643
